expiry,tenor,F0_bp,mean_SR_bp,mean_minus_F0_bp,std_SR_bp,p5_SR_bp,p95_SR_bp,skew,n_finite
1,1,0.0,584864113617007.9,584864113617007.9,2341442262263276.5,-5538.4,1e+16,3.768,4844
1,5,220.3,159441.2,159220.9,9035645.1,-5538.4,25108.8,62.453,3905
1,10,321.0,6981.3,6660.2,6767.9,-5538.4,12413.3,-0.341,3360
5,1,-1049.1,10460.2,11509.3,5589.9,-5538.4,12413.3,-2.513,5000
5,5,0.0,10460.2,10460.2,5589.9,-5538.4,12413.3,-2.513,5000
5,10,200.6,10460.2,10259.6,5589.9,-5538.4,12413.3,-2.513,5000
10,1,-2796.9,10460.2,13257.1,5589.9,-5538.4,12413.3,-2.513,5000
10,5,-367.1,10460.2,10827.2,5589.9,-5538.4,12413.3,-2.513,5000
10,10,0.0,10460.2,10460.2,5589.9,-5538.4,12413.3,-2.513,5000
