ccy,rmse_bps,n
AUD,0.11845692855518677,170
CAD,0.0951379537151443,164
DKK,0.12232365894172273,168
EUR,0.1844073602649137,170
GBP,0.11199535703360321,127
JPY,0.13098266174219828,170
NOK,0.10776218050645572,169
SEK,0.12636561949519212,170
USD,0.11824797627606562,162
