,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,7.102849960327148,1.1658526734707917,10.951587359110514,1.2211688660145203
Average,7.473198078296802,0.8195491840866207,12.334613022980864,1.9737330181679145
CAD,5.878590265909831,1.0874487309425518,10.728013674418131,1.6831500285178833
DKK,7.486670176188151,0.37842282336135646,12.412161509195963,2.1343215011914256
EUR,9.398483276367188,0.6120350627167921,21.798208872477215,3.0709365696516993
GBP,7.005669752756755,1.1224815798120138,11.946800231933594,1.6444806228289044
JPY,9.773471196492514,1.323353313293998,7.847567558288574,0.4826278089080094
NOK,5.930215835571289,0.38234496758649456,12.83184782663981,3.3422164603887663
SEK,7.237107435862224,0.5656210308313574,10.58877976735433,2.1751923608576154
USD,7.445724805196126,0.764712397868532,11.906550407409668,2.1992891630873315
