Currency,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,5.043447408541238,,9.353860442856467,
CAD,5.5200973725599765,,7.746238522532031,
DKK,5.241563952418593,,9.248636699098398,
EUR,5.0119603450011745,,9.487317699221174,
JPY,3.945513226061788,,3.2614694460864078,
NOK,4.366178853574327,,8.143763467589809,
SEK,4.011014638364073,,7.133339903143117,
GBP,4.547107123043979,,4.960822694028446,
USD,4.83273957841138,,7.112088687145332,
Average,4.72440249977517,,7.383059729077909,
