,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,8.410143481360542,0.8055418120224919,377.90312366485597,1136.0283883014954
Average,311.69760284125203,739.9524768596273,303.1510516300587,732.9594201547624
CAD,7.499881903330485,0.927961809168989,49.05777380201552,64.78474653926696
DKK,492.8636700023304,1077.4943954201533,450.0788437236439,1002.5993535074484
EUR,654.2197216207331,1429.0408967536507,655.7962372519753,1400.6399044128937
GBP,365.1504623413086,1121.8089794760267,370.91627531051637,1123.476388509622
JPY,608.4334422024814,1327.56848153673,9.386216799418131,1.9674411911365866
NOK,7.031681590610081,0.9966864305853217,56.70364909701877,72.89207345231465
SEK,366.2101841926575,1130.6397948608246,379.0127582550049,1116.6582737885242
USD,9.722219626108805,1.144921985302416,106.49219618903265,190.99579390076426
