tau,dG_dz_norm,dP_dz_norm,dG_dz1,dG_dz2,dP_dz1,dP_dz2
1.0,0.1584124818240991,0.25655113509729344,0.15803244463151028,0.010966350416577156,0.10453413092383748,0.2342884982061811
2.0,0.14996014612210826,1.2610982534795516,0.13921391730477223,0.05574522987327348,0.7424790795306955,1.0193594171774873
3.0,0.13760943755959984,1.4936511879736658,0.11716180563717186,0.07217664861509554,0.8805129778472637,1.2065201064125237
4.0,0.12184668301782026,1.4785969734165403,0.09623398974857716,0.07473709507009162,0.9023042450966645,1.1713650409146978
5.0,0.1068063135230985,1.43375941651533,0.07815035021922816,0.07280186377426334,0.941940380957002,1.0809321825021942
6.0,0.09440528738233574,1.392610237417614,0.06365687857143863,0.06971484846345515,1.0163605082828682,0.9520370741538026
7.0,0.08489654497792506,1.3667770356604079,0.05281880234343563,0.06646500935224436,1.104063570896753,0.8056817589019638
8.0,0.07784933039598121,1.4094307237028203,0.04524191447267142,0.06335366933296074,1.2113818932693565,0.7204504657341857
9.0,0.07272439246752214,1.505759406623141,0.04034026834821098,0.06051032977405196,1.3347795993142366,0.6969037321528704
10.0,0.06907105480652463,1.632570329118138,0.0375013572469896,0.05800395518169076,1.467453889264824,0.7154473861846495
11.0,0.06653874060289662,1.7744326492409859,0.0361614635646034,0.0558547451331167,1.603717181058359,0.7594092637508539
12.0,0.0648417713894807,1.9325601982973162,0.035836310255491235,0.05403900613628873,1.750901177184921,0.8180061049744187
13.0,0.06373395533228315,2.1007388385360812,0.03613182434965714,0.05250246024200188,1.9036755606049458,0.8883259692755626
14.0,0.06300178461865506,2.2685097119155935,0.03674423319096656,0.05117700843487506,2.0508147142188298,0.9696882596994298
15.0,0.06246784755677352,2.4672833926773015,0.03745306591516285,0.049994998069114505,2.22206693871158,1.0723366354210617
16.0,0.06199503944700961,2.665604774786414,0.03810953732068569,0.04889834436092435,2.3900598525755767,1.1802807786584273
17.0,0.061486784644565265,2.850448727816176,0.0386226950363948,0.04784257637348548,2.546574458049215,1.2806312816420664
18.0,0.06088282994949763,3.025318894729733,0.03894540727736591,0.04679716054056635,2.691318197794521,1.3817962125540741
19.0,0.06015228885709942,3.1881338315818017,0.039061670542336474,0.045743674417233794,2.8257156721271626,1.4763225488934988
20.0,0.05928589799785735,3.3390710834443635,0.038976042271898555,0.04467309962641414,2.951080787448041,1.5622156977349084
21.0,0.0582888830635408,3.4799879669859966,0.0387054380630777,0.0435830580976185,3.0686763370374153,1.6412013249062292
22.0,0.05717513378172951,3.6168989969877097,0.038273153358948285,0.042475424128795854,3.185039170917097,1.7139089340260851
23.0,0.055962861475524074,3.7452794366666464,0.03770476939130113,0.041354470492045936,3.2947939314562933,1.7808568184884523
24.0,0.054671610128646055,3.8674722821011387,0.037025537500015915,0.04022554570038285,3.398747479878763,1.8454965242011008
25.0,0.053320363079827425,3.9831101283151447,0.036258853257357365,0.03909420263192548,3.4975606806447717,1.9058424854888631
26.0,0.05192646535305392,4.09291592692914,0.03542549005787144,0.03796567473681405,3.5917725260131266,1.9624298474818163
27.0,0.05050511289055603,4.19728880513621,0.03454333277714909,0.03684460053705218,3.6818220191743003,2.0152964875782
28.0,0.04906921061622176,4.297089277496445,0.03362741976053196,0.03573491389031343,3.768067266870965,2.0655859534549745
29.0,0.04762945290570489,4.392312734075748,0.032690158492226645,0.034639837208766754,3.8508016749992664,2.1127559285792614
30.0,0.046194524440954364,4.4831458236054695,0.03174162485412804,0.03356193289942835,3.9302673911141204,2.1567555981279303
