expiry,tenor,F0_curve_bp,implied_fwd_mc_bp,fwd_error_bp,A0_curve,E[D*A]_mc,annuity_error_pct
1,1,183.67,105.99,-77.68,0.969008,0.975875,0.7086
1,5,299.35,111.63,-187.72,4.562889,4.770266,4.5449
1,10,372.31,111.22,-261.08,8.293818,9.284083,11.9398
5,1,394.76,97.23,-297.53,0.850216,0.936869,10.1918
5,5,441.93,103.31,-338.62,3.903124,4.587365,17.5306
5,10,464.12,103.51,-360.6,6.988841,8.943874,27.9736
10,1,490.63,96.94,-393.69,0.678021,0.889833,31.2397
10,5,492.17,103.11,-389.06,3.085717,4.357235,41.2066
10,10,478.03,103.39,-374.65,5.530117,8.495377,53.6202
