ccy,rmse_bps,n
AUD,0.1268875429079489,170
CAD,0.10772607492977562,164
DKK,0.1335636412034307,168
EUR,0.18495779336158816,170
GBP,0.10816031439069364,127
JPY,0.16237956692118435,170
NOK,0.11918201790410293,169
SEK,0.13418487815695868,170
USD,0.13446838000023806,162
