tau1,error,abs_error
1.0,-1.3654901425963484e-06,1.3654901425963484e-06
1.0,-7.895909260347694e-05,7.895909260347694e-05
1.0,-0.000562708162881306,0.000562708162881306
1.0,-0.0008747667783469588,0.0008747667783469588
1.0,0.001990002901278343,0.001990002901278343
1.0,4.458661214928536e-05,4.458661214928536e-05
1.0,-0.0027215452478791397,0.0027215452478791397
1.0,-0.0005854700746177471,0.0005854700746177471
1.0,-0.0026377217146018456,0.0026377217146018456
1.0,0.0004956195058586407,0.0004956195058586407
1.0,-0.00017677978108975555,0.00017677978108975555
1.0,-0.0014953785471935634,0.0014953785471935634
1.0,0.0009631764299658993,0.0009631764299658993
1.0,-0.0007896722048273373,0.0007896722048273373
1.0,0.0009146085289611491,0.0009146085289611491
1.0,0.000325118821413355,0.000325118821413355
1.0,-0.0009393445717516286,0.0009393445717516286
1.0,0.000926013346059051,0.000926013346059051
1.0,-0.00014220224008217042,0.00014220224008217042
1.0,0.000711001716257046,0.000711001716257046
1.0,-0.0031450675424223133,0.0031450675424223133
1.0,0.0003649413307903488,0.0003649413307903488
1.0,0.0008407252509162206,0.0008407252509162206
1.0,-0.00029443534037408917,0.00029443534037408917
1.0,-0.0020994247499875173,0.0020994247499875173
1.0,0.00010348818656730208,0.00010348818656730208
1.0,-0.00016085067526722466,0.00016085067526722466
1.0,0.000611554537975581,0.000611554537975581
1.0,-0.0022855227793376585,0.0022855227793376585
1.0,0.000987993580463406,0.000987993580463406
1.0,0.001145674250541658,0.001145674250541658
1.0,-0.0026127644891535337,0.0026127644891535337
1.0,0.001523518028890473,0.001523518028890473
1.0,0.0006650370727438988,0.0006650370727438988
1.0,-0.00048509737381290975,0.00048509737381290975
1.0,-0.003912811069387071,0.003912811069387071
1.0,-0.0007031821237083614,0.0007031821237083614
1.0,0.0006596197532227881,0.0006596197532227881
1.0,-0.0027778355841006873,0.0027778355841006873
1.0,0.0006413804331615869,0.0006413804331615869
1.0,0.0005459325606516317,0.0005459325606516317
1.0,-0.0005958707622439365,0.0005958707622439365
1.0,-0.0009401577067290005,0.0009401577067290005
1.0,0.0006838600065816169,0.0006838600065816169
1.0,-0.003413540552862993,0.003413540552862993
1.0,0.0005268085594292322,0.0005268085594292322
1.0,-0.0016803920642185916,0.0016803920642185916
1.0,0.00030677084555075576,0.00030677084555075576
1.0,0.0005293676196170029,0.0005293676196170029
1.0,-0.0023350779044734402,0.0023350779044734402
1.0,-0.0011985438176116744,0.0011985438176116744
1.0,-0.0003557413887837653,0.0003557413887837653
1.0,-0.00027701245447310334,0.00027701245447310334
1.0,-0.0019087935661351273,0.0019087935661351273
1.0,-0.00224871604197145,0.00224871604197145
1.0,-0.001490182242587743,0.001490182242587743
1.0,0.00013116398472171747,0.00013116398472171747
1.0,-0.002623614854981823,0.002623614854981823
1.0,0.0012571957932901532,0.0012571957932901532
1.0,-0.0004449675374098745,0.0004449675374098745
1.0,0.0018066982763370824,0.0018066982763370824
1.0,-0.0013008119775204264,0.0013008119775204264
1.0,-0.0006900874625806047,0.0006900874625806047
1.0,-0.0023848258424763666,0.0023848258424763666
1.0,-0.0014173696652834984,0.0014173696652834984
1.0,0.0005136943444104354,0.0005136943444104354
1.0,0.0008404855445001821,0.0008404855445001821
1.0,0.0003433676887130699,0.0003433676887130699
1.0,0.0009276734040466438,0.0009276734040466438
1.0,-0.0003456065734429286,0.0003456065734429286
1.0,-0.0008271391996895333,0.0008271391996895333
1.0,-0.0010365162041537784,0.0010365162041537784
1.0,-0.002259542682245586,0.002259542682245586
1.0,-0.02106876691002773,0.02106876691002773
1.0,-0.00012294065131659634,0.00012294065131659634
1.0,0.0004497374142067821,0.0004497374142067821
1.0,-0.0010050904270759754,0.0010050904270759754
1.0,-0.0003255266347435455,0.0003255266347435455
1.0,-0.0004120149561134337,0.0004120149561134337
1.0,-0.0001899467464813523,0.0001899467464813523
1.0,0.0010482439091468367,0.0010482439091468367
1.0,-0.0004029036922404694,0.0004029036922404694
1.0,0.0004346825406871596,0.0004346825406871596
1.0,-0.0006351286648468724,0.0006351286648468724
1.0,-0.0016435780506767507,0.0016435780506767507
1.0,0.00024474552508048884,0.00024474552508048884
1.0,-0.0009771447706349613,0.0009771447706349613
1.0,0.0007887227927355555,0.0007887227927355555
1.0,-8.28185998635704e-05,8.28185998635704e-05
1.0,-0.0014262737388115732,0.0014262737388115732
1.0,0.0009425869284960895,0.0009425869284960895
1.0,0.0001078409762842198,0.0001078409762842198
1.0,-0.001957528103513519,0.001957528103513519
1.0,0.00012820661608279119,0.00012820661608279119
1.0,-0.001395413037538729,0.001395413037538729
1.0,-0.0040760373589518,0.0040760373589518
1.0,0.001020151534178294,0.001020151534178294
1.0,0.0010883516925029608,0.0010883516925029608
1.0,0.0004867901087262554,0.0004867901087262554
1.0,0.0004906404908922284,0.0004906404908922284
1.0,6.838355785637566e-05,6.838355785637566e-05
1.0,-0.002412848338882589,0.002412848338882589
1.0,8.64413530521262e-05,8.64413530521262e-05
1.0,-0.0030291502827213008,0.0030291502827213008
1.0,0.0002278810598514286,0.0002278810598514286
1.0,0.0001030788540404403,0.0001030788540404403
1.0,0.0015530496052018027,0.0015530496052018027
1.0,-0.0016628043830767616,0.0016628043830767616
1.0,-0.00010663588684074916,0.00010663588684074916
1.0,0.00030347201848286535,0.00030347201848286535
1.0,-0.0013640411585690536,0.0013640411585690536
1.0,0.000487432185155688,0.000487432185155688
1.0,-0.0033597097460089636,0.0033597097460089636
1.0,-0.0008032978439071106,0.0008032978439071106
1.0,-6.0398033852033725e-05,6.0398033852033725e-05
1.0,-0.0011162287406751847,0.0011162287406751847
1.0,0.0006349198012063776,0.0006349198012063776
1.0,-0.0007959713431818782,0.0007959713431818782
1.0,-0.002080100779068181,0.002080100779068181
1.0,0.0005251716788029718,0.0005251716788029718
1.0,-0.000964045562032759,0.000964045562032759
1.0,4.00298829636974e-05,4.00298829636974e-05
1.0,0.00042230682477549,0.00042230682477549
1.0,-0.003913818280214995,0.003913818280214995
1.0,-0.0020717487315870774,0.0020717487315870774
1.0,0.0012664622644347028,0.0012664622644347028
1.0,-0.0008240348820522641,0.0008240348820522641
1.0,0.00014377390332259363,0.00014377390332259363
1.0,-0.0008431974498367429,0.0008431974498367429
1.0,-0.00412658982168132,0.00412658982168132
1.0,-0.003350395365550268,0.003350395365550268
1.0,0.00014636443854636194,0.00014636443854636194
1.0,0.0003155082233539039,0.0003155082233539039
