tau,G_mean,G_std,G_min,G_max,pct_neg,pct_lt001,pct_lt005
1.0,0.026244268403386825,0.015079435515260942,-0.016588654406780007,0.05867939380439193,6.5,14.499999999999998,97.5
2.0,0.047572064567239884,0.01655211791517313,-0.018656698477112377,0.07832880976698284,0.5,3.0,53.0
3.0,0.07581714918950842,0.01607153632133021,0.0032860904382651934,0.10408521888100222,0.0,0.5,6.5
4.0,0.09756049386166268,0.014444945061951093,0.029525061847734346,0.12282049441315335,0.0,0.0,0.5
5.0,0.1115696055151766,0.012691160430202785,0.050728401471578866,0.13372370430971448,0.0,0.0,0.0
6.0,0.12065859706012808,0.011238119243337974,0.06601259749470723,0.13999535661944557,0.0,0.0,0.0
7.0,0.12743472483799717,0.010150897932034783,0.07726550137885968,0.14442455893010692,0.0,0.0,0.0
8.0,0.13340288579116047,0.009367431078067767,0.0863457649388466,0.14864461166204418,0.0,0.0,0.0
9.0,0.13920822160885446,0.008807495439974205,0.0943995750944463,0.15320681219561677,0.0,0.0,0.0
10.0,0.14501831330668,0.008404974090638454,0.1019728289100677,0.15817119691123904,0.0,0.0,0.0
11.0,0.15079164391805247,0.00811099943519511,0.1092596300118826,0.16342192576073522,0.0,0.0,0.0
12.0,0.15642521658853933,0.007890002715982,0.11628925628391285,0.1687776207884636,0.0,0.0,0.0
13.0,0.1618224957165349,0.007715797902002225,0.12303282159089812,0.1740668398547025,0.0,0.0,0.0
14.0,0.16691742497036052,0.007569030053130215,0.1294541723610847,0.17915774867870748,0.0,0.0,0.0
15.0,0.17167719465199102,0.007435662547075942,0.13552944439324555,0.18400319165085754,0.0,0.0,0.0
16.0,0.17609635765206008,0.007305979652840776,0.14125129752483834,0.18853964587131689,0.0,0.0,0.0
17.0,0.18018866017914456,0.00717377069825525,0.1466267498799172,0.1927271691103558,0.0,0.0,0.0
18.0,0.1839794532485053,0.007035567466751629,0.15167306962436133,0.1965727320385211,0.0,0.0,0.0
19.0,0.1874997156425828,0.006889927736531908,0.1564137101471068,0.2000982327698465,0.0,0.0,0.0
20.0,0.19078182988881018,0.006736799628721014,0.16087501738785348,0.20333365646864643,0.0,0.0,0.0
21.0,0.19385687598728538,0.006576997588663425,0.16508385087300836,0.20631211119657966,0.0,0.0,0.0
22.0,0.1967530933939809,0.006411801367854043,0.1690660183784496,0.20906650474252564,0.0,0.0,0.0
23.0,0.1994951708308882,0.0062426711402180125,0.17284534956565,0.21162752135459162,0.0,0.0,0.0
24.0,0.20210408114518758,0.0060710607799119515,0.17644323342528034,0.2140225540184344,0.0,0.0,0.0
25.0,0.20459724701531215,0.0058983072673299925,0.1798784717562235,0.21627529375733245,0.0,0.0,0.0
26.0,0.206988885797538,0.005725574950835258,0.18316733468263757,0.2184057400373235,0.0,0.0,0.0
27.0,0.20929043219786106,0.005553836645364497,0.1863237353043551,0.22043045812691753,0.0,0.0,0.0
28.0,0.21151097511206565,0.0053838776028571865,0.18935946595037578,0.22236296210262785,0.0,0.0,0.0
29.0,0.2136576715730105,0.005216312258734305,0.19228445784636694,0.2242141436533579,0.0,0.0,0.0
30.0,0.21573611863479095,0.005051606894971272,0.1951070400787588,0.22599269740017291,0.0,0.0,0.0
