regime,n_total,n_train,n_eval,rmse_bps_train,rmse_bps_eval
normal_positive,1042,834,208,8.051044464111328,8.215766906738281
any_negative,294,235,59,15.733352661132812,14.796786308288574
inverted,134,107,27,10.699322700500488,10.347972869873047
