,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,6.077811241149902,0.30615652343145644,11.51623566945394,1.4656635973862937
Average,6.671900007459852,0.8536332144739058,11.391823044529668,1.552494565641572
CAD,5.53823184967041,0.7843644526945573,9.072149435679117,1.8683631151161444
DKK,6.720014890034993,0.5835919133512449,12.89218775431315,2.628826416789287
EUR,8.47011661529541,0.9754954838791307,21.196943918863933,1.0088854040517792
GBP,5.66878875096639,1.4485610190565483,10.233085632324219,2.5793195587403415
JPY,9.024853070576986,1.17435022628315,7.1267499923706055,1.2531775899705497
NOK,5.476620674133301,0.43009379611248433,10.134466489156088,1.1944672656062683
SEK,6.256626923878987,0.8467861492401657,10.08163038889567,2.225468914507398
USD,6.814036051432292,1.2340744110438122,10.272958119710287,0.6219777032747631
