regime,n_total,n_train,n_eval,rmse_bps_train,rmse_bps_eval
normal_positive,1042,834,208,8.942465782165527,9.047127723693848
any_negative,294,235,59,9.358101844787598,9.353363037109375
inverted,134,107,27,11.03422737121582,10.61668586730957
