regime,n_total,n_train,n_eval,rmse_bps_train,rmse_bps_eval
normal_positive,1042,834,208,8.928884506225586,8.92226505279541
any_negative,294,235,59,,
inverted,134,107,27,11.369379997253418,11.811853408813477
