as_of_date,ccy,z_1,z_2
2010-01-29,AUD,-0.25377315,-0.07002473
2010-02-26,AUD,-0.25270894,-0.0675602
2010-03-31,AUD,-0.26477683,-0.07598356
2010-04-30,AUD,-0.26519004,-0.07852602
2010-05-31,AUD,-0.2500471,-0.07392295
2010-06-30,AUD,-0.24168393,-0.07322329
2010-07-30,AUD,-0.24298918,-0.072788656
2010-08-31,AUD,-0.22802651,-0.07088365
2010-09-30,AUD,-0.24768731,-0.08173484
2010-10-29,AUD,-0.24979827,-0.07876848
2010-11-30,AUD,-0.25891373,-0.079746455
2010-12-31,AUD,-0.26395255,-0.079859465
2011-01-31,AUD,-0.26133123,-0.07984908
2011-02-28,AUD,-0.26269037,-0.080745324
2011-03-31,AUD,-0.25969854,-0.07793793
2011-04-29,AUD,-0.26070914,-0.07989505
2011-05-31,AUD,-0.25309697,-0.0796454
2011-06-30,AUD,-0.2551504,-0.075787425
2011-07-29,AUD,-0.24297385,-0.07240102
2011-08-31,AUD,-0.2240504,-0.062103163
2011-09-30,AUD,-0.20997126,-0.061448667
2011-10-31,AUD,-0.22134253,-0.06353464
2011-11-30,AUD,-0.2044763,-0.054926585
2011-12-30,AUD,-0.20113842,-0.05787148
2012-01-31,AUD,-0.19964814,-0.05711291
2012-02-29,AUD,-0.21382746,-0.06353147
2012-03-30,AUD,-0.20713978,-0.057811774
2012-04-30,AUD,-0.19361065,-0.053384136
2012-05-31,AUD,-0.16111423,-0.040679958
2012-06-29,AUD,-0.1713795,-0.045783713
2012-07-31,AUD,-0.16799313,-0.045717716
2012-08-31,AUD,-0.16609433,-0.043326054
2012-09-28,AUD,-0.15899713,-0.039134458
2012-10-31,AUD,-0.1600661,-0.036432687
2012-11-30,AUD,-0.1627329,-0.037231144
2012-12-31,AUD,-0.1612071,-0.029237391
2013-01-31,AUD,-0.16809605,-0.028663045
2013-02-28,AUD,-0.16602743,-0.028732643
2013-03-29,AUD,-0.17203867,-0.03511229
2013-04-30,AUD,-0.15932578,-0.02957891
2013-05-31,AUD,-0.16276158,-0.025389133
2013-06-28,AUD,-0.17073318,-0.025710678
2013-07-31,AUD,-0.1623111,-0.0215208
2013-08-30,AUD,-0.17192033,-0.020790383
2013-09-30,AUD,-0.17038485,-0.021893822
2013-10-31,AUD,-0.17632559,-0.023744658
2013-11-29,AUD,-0.1796466,-0.02117255
2013-12-31,AUD,-0.18059023,-0.022746487
2014-01-31,AUD,-0.17439635,-0.022430874
2014-02-28,AUD,-0.17380257,-0.022213105
2014-03-31,AUD,-0.1772502,-0.02524317
2014-04-30,AUD,-0.17062709,-0.026112868
2014-05-30,AUD,-0.16402331,-0.02603751
2014-06-30,AUD,-0.16109453,-0.025939813
2014-07-31,AUD,-0.15981975,-0.026108768
2014-08-29,AUD,-0.15409866,-0.027537627
2014-09-30,AUD,-0.16098906,-0.028698491
2014-10-31,AUD,-0.15666498,-0.028068163
2014-11-28,AUD,-0.14929566,-0.028955266
2014-12-31,AUD,-0.13717334,-0.027966172
2015-01-30,AUD,-0.1203747,-0.028731938
2015-02-27,AUD,-0.119087964,-0.021813504
2015-03-31,AUD,-0.11292763,-0.020634195
2015-04-30,AUD,-0.12345195,-0.02265417
2015-05-29,AUD,-0.12556866,-0.01967811
2015-06-30,AUD,-0.13584974,-0.019309627
2015-07-31,AUD,-0.1271085,-0.020274196
2015-08-31,AUD,-0.12364635,-0.017002601
2015-09-30,AUD,-0.1194875,-0.019845363
2015-10-30,AUD,-0.11975381,-0.018216122
2015-11-30,AUD,-0.12696648,-0.024206882
2015-12-31,AUD,-0.13049522,-0.023832083
2016-01-29,AUD,-0.11928581,-0.024376882
2016-02-29,AUD,-0.11259827,-0.026189374
2016-03-31,AUD,-0.11717519,-0.027834797
2016-04-29,AUD,-0.11588212,-0.025988352
2016-05-31,AUD,-0.10695919,-0.023751646
2016-06-30,AUD,-0.0991521,-0.02601181
2016-07-29,AUD,-0.094860174,-0.025821751
2016-08-31,AUD,-0.09241756,-0.022258194
2016-09-30,AUD,-0.09630254,-0.022360494
2016-10-31,AUD,-0.10635898,-0.022459358
2016-11-30,AUD,-0.12035728,-0.020878632
2016-12-30,AUD,-0.1251485,-0.022265699
2017-01-31,AUD,-0.122471325,-0.019772409
2017-02-28,AUD,-0.12447844,-0.01952833
2017-03-31,AUD,-0.12278126,-0.019207276
2017-04-28,AUD,-0.11825605,-0.018449742
2017-05-31,AUD,-0.1096963,-0.015777446
2017-06-30,AUD,-0.11947814,-0.017906534
2017-07-31,AUD,-0.11777004,-0.016461913
2017-08-31,AUD,-0.11850511,-0.020664208
2017-09-29,AUD,-0.12409847,-0.02079916
2017-10-31,AUD,-0.11805951,-0.01881644
2017-11-30,AUD,-0.11475502,-0.020238591
2017-12-29,AUD,-0.11904807,-0.023358822
2018-01-31,AUD,-0.12270861,-0.021675471
2018-02-28,AUD,-0.12211043,-0.022333357
2018-03-30,AUD,-0.11961374,-0.025608525
2018-04-30,AUD,-0.123183675,-0.025894027
2018-05-31,AUD,-0.120867915,-0.024868807
2018-06-29,AUD,-0.119823344,-0.025839107
2018-07-31,AUD,-0.12020767,-0.026582569
2018-08-31,AUD,-0.114913404,-0.025810571
2018-09-28,AUD,-0.11947181,-0.024586856
2018-10-31,AUD,-0.117632814,-0.023822011
2018-11-30,AUD,-0.11826337,-0.025232395
2018-12-31,AUD,-0.10995493,-0.024902392
2019-01-31,AUD,-0.10666046,-0.024886455
2019-02-28,AUD,-0.10306717,-0.021146735
2019-03-29,AUD,-0.08864387,-0.017528338
2019-04-30,AUD,-0.08609294,-0.01325075
2019-05-31,AUD,-0.07450539,-0.0105578955
2019-06-28,AUD,-0.06573296,-0.006086303
2019-07-31,AUD,-0.058469348,-0.003592414
2019-08-30,AUD,-0.04776083,-0.004763133
2019-09-30,AUD,-0.051392104,-0.0060942364
2019-10-31,AUD,-0.05553818,-0.0070054517
2019-11-29,AUD,-0.05097617,-0.0039223894
2019-12-31,AUD,-0.062599756,-0.004535223
2020-01-31,AUD,-0.046567146,-0.0034561185
2020-02-28,AUD,-0.03901051,-0.0032375748
2020-03-31,AUD,-0.031738266,-0.000495333
2020-04-30,AUD,-0.030374054,0.00720918
2020-05-29,AUD,-0.02968003,0.0071325693
2020-06-30,AUD,-0.029261123,0.008850127
2020-07-31,AUD,-0.026393902,0.008376528
2020-08-31,AUD,-0.029404508,0.011811958
2020-09-30,AUD,-0.025915524,0.011705878
2020-10-30,AUD,-0.025085377,0.014284156
2020-11-30,AUD,-0.029261477,0.016425734
2020-12-31,AUD,-0.03070965,0.017230308
2021-01-29,AUD,-0.035291627,0.019558553
2021-02-26,AUD,-0.05225483,0.021714468
2021-03-31,AUD,-0.05429437,0.023405317
2021-04-30,AUD,-0.05207346,0.022576319
2021-05-31,AUD,-0.051666714,0.021605367
2021-06-30,AUD,-0.04882628,0.016685732
2021-07-30,AUD,-0.04050571,0.015353753
2021-08-31,AUD,-0.04197043,0.015000202
2021-09-30,AUD,-0.049856145,0.015855042
2021-10-29,AUD,-0.07690225,0.00023931044
2021-11-30,AUD,-0.07055474,0.0014460286
2021-12-31,AUD,-0.07029885,-3.8658847e-05
2022-01-31,AUD,-0.0795593,-0.0052742576
2022-02-28,AUD,-0.08751317,-0.006346438
2022-03-31,AUD,-0.12211147,-0.022804482
2022-04-29,AUD,-0.14920369,-0.037178982
2022-05-31,AUD,-0.15674758,-0.04269967
2022-06-30,AUD,-0.17467725,-0.05218106
2022-07-29,AUD,-0.15450029,-0.046800636
2022-08-31,AUD,-0.18024687,-0.05670161
2022-09-30,AUD,-0.19578579,-0.06624143
2022-10-31,AUD,-0.20137003,-0.06440317
2022-11-30,AUD,-0.1801543,-0.05819174
2022-12-30,AUD,-0.19999725,-0.06435412
2023-01-31,AUD,-0.18215907,-0.05814765
2023-02-28,AUD,-0.20261651,-0.0686137
2023-03-31,AUD,-0.172413,-0.055597007
