epoch,train_nll,val_nll,curve_rmse_bp,kappa,hl_y,sigma_mean,lr,time_sec
0,-10.783030278625212,-8.32206270283207,72.3418808578454,0.1562492556759676,32.538648763535384,0.013136764020024727,9.99938933078422e-05,0.06959720002487302
1,-10.784174137485603,-8.319241294791631,72.33277108120133,0.15619922407124331,32.49019285132071,0.013125550001331402,9.997557473810371e-05,0.10977140002069063
2,-10.785280108784452,-8.316305309791678,72.32610604437592,0.1561501133044479,32.4681890193865,0.013114081706476328,9.994504881061753e-05,0.15137640002649277
3,-10.786423891747756,-8.313403635266106,72.31685952173126,0.15609538673847922,32.426896756784274,0.013102584395365695,9.990232305719945e-05,0.192013300023973
4,-10.787570757304463,-8.310476482776606,72.30763585199483,0.15604167734081836,32.38226347297966,0.013091066221874637,9.984740801978984e-05,0.23662650000187568
5,-10.7886803791895,-8.307513792968926,72.29888266160164,0.15599151469203248,32.339024862999466,0.013079510830535905,9.978031724785246e-05,0.2837524000206031
6,-10.78980030273605,-8.304545157520254,72.29100143107098,0.1559393737163745,32.30782223915926,0.013067978165135972,9.97010672950314e-05,0.3288878000166733
7,-10.790921763478318,-8.301593493221079,72.28234647564764,0.15588818149222514,32.269574587995194,0.0130565111529935,9.960967771506666e-05,0.3707003000017721
8,-10.792068360783219,-8.298623131297045,72.27330710991893,0.15584347935534365,32.219118602239895,0.0130450514169532,9.950617105696959e-05,0.42234190000453964
9,-10.793163050270861,-8.29558665207085,72.26603346370861,0.1557964389186904,32.189324086878585,0.013033478922065888,9.939057285945931e-05,0.47818410000763834
10,-10.7942758942251,-8.292576644042871,72.25849466286826,0.15574878128308825,32.16255419619655,0.013022005513080439,9.92629116446613e-05,0.5248992000124417
11,-10.79541002605533,-8.28954238932606,72.25163318394036,0.1557055435897052,32.13886708895379,0.01301055811045792,9.912321891107009e-05,0.5705587000120431
12,-10.796457470422647,-8.286547770501489,72.24460468208136,0.1556625021191434,32.10769638101287,0.01299928472040263,9.89715291257774e-05,0.6158908000215888
13,-10.797653586311428,-8.283704742204877,72.2373115263846,0.15562160198479189,32.069433358418,0.012988528760629853,9.880787971596799e-05,0.6625460000068415
14,-10.798644393101835,-8.280721180215266,72.23095664615461,0.15557695121091464,32.04583399685165,0.01297738337749639,9.863231105968498e-05,0.7069185000145808
15,-10.799750109569507,-8.277864107969602,72.22232493573118,0.1555308535138973,32.001614978254814,0.012966558507564705,9.844486647586723e-05,0.7490859000245109
16,-10.800823095842693,-8.274927002551681,72.21495141874038,0.15549572809854573,31.95157804443747,0.012955664579783865,9.824559221366101e-05,0.7969999000197276
17,-10.80192370468209,-8.272053922689857,72.20705539414462,0.15545107038792297,31.911435642398438,0.012944897082152334,9.803453744100869e-05,0.8383629000163637
18,-10.802967156074645,-8.269092359656222,72.20090942296238,0.1554084991057013,31.882142178040787,0.012933998728140023,9.781175423251735e-05,0.8793480000167619
19,-10.804098043002902,-8.26627063835698,72.19238450790358,0.15536913430846877,31.83432199946371,0.012923469578147648,9.757729755661011e-05,0.9208317000011448
20,-10.805106108604795,-8.263316677472792,72.18541887405182,0.15532416359433204,31.808315508053575,0.012912587175777835,9.73312252619635e-05,0.9788754000037443
