date,expiry,tenor,split,mkt_vol_bp,sigma_pay_bp,sigma_rec_bp,sigma_str_bp,forward_bias_bp,d_eff,p_eff_pct,n_surv,A0,F0
2010-10-29,1,1,train,44.0,317.067795105011,843.9987042934249,580.5332496992179,-210.21501852562614,-0.3621067675874575,35.86361232712501,0.865234375,0.9861379861831665,0.014056870713829994
2010-10-29,1,5,train,32.7,76.16758520763776,1884.2849981617703,980.226291684704,-721.3344839574606,-0.7358856726008757,23.090013860928384,0.85107421875,4.718209266662598,0.022289644926786423
2010-10-29,1,10,train,28.399999999999995,72.36015629263225,838.6194766030225,455.4898164478274,-305.69324062347897,-0.6711307906013165,25.10686067114533,0.84033203125,8.775965690612793,0.02772747538983822
2010-10-29,5,1,train,26.9,180.00848624479136,305.58369578012804,242.7960910124597,-112.02087986146579,-0.20633470763474554,41.826473450736515,0.76513671875,0.9861379861831665,0.014056870713829994
2010-10-29,5,5,train,22.7,92.17861922027117,862.4205640018264,477.29959161104875,-687.1036144785919,-0.6437928783362381,25.985487623707726,0.73583984375,4.718209266662598,0.022289644926786423
2010-10-29,5,10,train,21.6,78.50029115804344,377.37803647914234,227.9391638185929,-266.6174966043693,-0.5230999679130693,30.045234392533573,0.724609375,8.775965690612793,0.02772747538983822
2010-10-29,10,1,train,18.6,120.52384131597381,179.2300572238136,149.87694926989371,-74.06178130090392,-0.15626413375840575,43.79124130556486,0.6806640625,0.9861379861831665,0.014056870713829994
2010-10-29,10,5,train,18.3,79.6072196757054,572.0175568784471,325.8123882770763,-621.2082679875757,-0.6029338044992983,27.327636324687845,0.626953125,4.718209266662598,0.022289644926786423
2010-10-29,10,10,train,19.599999999999998,65.82669469513594,266.5140757400169,166.1703852175764,-253.1804289366957,-0.4818107711371399,31.497018852651003,0.6279296875,8.775965690612793,0.02772747538983822
2010-11-30,1,1,train,52.20000000000001,328.44606879345866,957.222715909395,642.8343923514269,-250.84558946359863,-0.3902180599672481,34.818765408608954,0.86669921875,0.9865754246711731,0.013607246801257133
2010-11-30,1,5,train,33.1,75.05602595367104,1850.2439014097622,962.6499636817165,-708.1974991754275,-0.7356749866450738,23.096425780491074,0.84716796875,4.7094011306762695,0.02353457733988762
2010-11-30,1,10,train,28.5,65.2735155328253,908.1839729257998,486.72874422931255,-336.27262004656797,-0.6908830103696112,24.481953186131726,0.82568359375,8.70120620727539,0.03001280687749386
2010-11-30,5,1,train,26.0,195.79689129652013,299.4367043218518,247.61679780918593,-92.45314490602912,-0.16697697294577513,43.369408373366944,0.77099609375,0.9865754246711731,0.013607246801257133
2010-11-30,5,5,train,22.1,85.191904294101,899.3573612806526,492.2746327873768,-726.2861131741244,-0.6598045123616582,25.468964362478076,0.75732421875,4.7094011306762695,0.02353457733988762
2010-11-30,5,10,train,21.4,76.78847587504366,355.6396139624488,216.21404491874623,-248.75252013919302,-0.514515645655353,30.344576228628966,0.72216796875,8.70120620727539,0.03001280687749386
2010-11-30,10,1,train,19.5,125.7399165179932,182.1924206378497,153.96616857792145,-71.21857454714355,-0.1462742817851503,44.18524338150763,0.6904296875,0.9865754246711731,0.013607246801257133
2010-11-30,10,5,train,18.9,75.38396508817004,447.67408136878095,261.52902322847547,-469.6686500071383,-0.5678997540175506,28.50515194970167,0.66162109375,4.7094011306762695,0.02353457733988762
2010-11-30,10,10,train,20.2,66.00604708521135,271.1561241983603,168.5810856417858,-258.81041572956497,-0.48548174474303646,31.36673295012966,0.63134765625,8.70120620727539,0.03001280687749386
2010-12-31,1,1,train,48.7,346.3259082859219,765.6333933275074,555.9796508067146,-167.27948427187977,-0.30087339353007037,38.175551983843015,0.8515625,0.9867642521858215,0.013413283042609692
2010-12-31,1,5,train,29.7,79.7176772585145,1830.2849703896156,955.0013238240651,-698.3753079178849,-0.7312820312346948,23.230345181575153,0.85009765625,4.695601463317871,0.02513035200536251
2010-12-31,1,10,train,25.1,51.572982988940616,879.3042908820223,465.4386369354815,-330.2170155305264,-0.7094748680615027,23.901492099838016,0.8505859375,8.618117332458496,0.0323600247502327
2010-12-31,5,1,train,23.1,188.32331615876177,266.94518400858317,227.63425008367247,-70.13558524392127,-0.13778940224460354,44.5203430124287,0.7734375,0.9867642521858215,0.013413283042609692
2010-12-31,5,5,train,19.3,88.10046443528712,805.3699640591949,446.73521424724106,-639.8489060299227,-0.6405340808526235,26.091271983746335,0.73388671875,4.695601463317871,0.02513035200536251
2010-12-31,5,10,train,18.4,68.09464360407802,405.03817861132774,236.56641110770283,-300.57454329409984,-0.5682168554398603,28.494386381421023,0.71142578125,8.618117332458496,0.0323600247502327
2010-12-31,10,1,train,17.0,120.15664830017802,204.91111549102402,162.533881895601,-106.9233762778571,-0.20803133488833286,41.76022504185106,0.67431640625,0.9867642521858215,0.013413283042609692
2010-12-31,10,5,train,16.3,72.67503089879409,572.0691685086388,322.37209970371646,-630.0187949548052,-0.6180107902026408,26.828411295824907,0.6611328125,4.695601463317871,0.02513035200536251
2010-12-31,10,10,train,17.0,59.28497670288245,291.2128063495398,175.2488915262111,-292.5923248715163,-0.5279680598376502,29.876075241041445,0.61865234375,8.618117332458496,0.0323600247502327
2011-01-31,1,1,train,41.8,335.15633992215936,845.2244082916926,590.1903741069261,-203.4877183552955,-0.3447831873964606,36.512868673023746,0.869140625,0.9826509356498718,0.017655368894338608
2011-01-31,1,5,train,28.1,65.61246947443307,1820.6139071828247,943.1131883286289,-700.1442756671787,-0.7423756600286376,22.892988121112722,0.85595703125,4.645432949066162,0.028440134599804878
2011-01-31,1,10,train,23.0,55.02317211008231,917.4617081704871,486.2424401402847,-344.0631962820111,-0.7075959806855737,23.959809478317894,0.83349609375,8.49878215789795,0.03437197953462601
2011-01-31,5,1,train,25.3,179.08396676318836,307.70431714532054,243.39414195425442,-114.73733447239067,-0.21081894360926373,41.65142779409111,0.787109375,0.9826509356498718,0.017655368894338608
2011-01-31,5,5,train,20.7,78.82038585215116,792.8542163659138,435.8373011090324,-636.9624883842721,-0.6535885843274074,25.668845043643618,0.74365234375,4.645432949066162,0.028440134599804878
2011-01-31,5,10,train,19.4,68.47908211135122,396.9704897910499,232.72478595120054,-293.03472119516107,-0.5631076670084254,28.668078550321923,0.7353515625,8.49878215789795,0.03437197953462601
2011-01-31,10,1,train,18.2,121.18858697861434,186.0425223175592,153.61555464808674,-81.81753671734214,-0.1684268036293417,43.31237615254773,0.70703125,0.9826509356498718,0.017655368894338608
2011-01-31,10,5,train,16.9,65.2100507657639,552.02125088859,308.6156508271769,-614.1445855567836,-0.6292926809817392,26.457873103455782,0.650390625,4.645432949066162,0.028440134599804878
2011-01-31,10,10,train,17.3,57.88842205553396,275.7056554649836,166.79703876025874,-274.79087273591927,-0.5209715019700999,30.11933119404309,0.6533203125,8.49878215789795,0.03437197953462601
2011-02-28,1,1,train,39.50000000000001,321.1141539165877,1019.9154622218707,670.5148080692292,-278.78138748281424,-0.41577215615203933,33.87883676757576,0.87353515625,0.981865406036377,0.01846953108906746
2011-02-28,1,5,train,27.6,63.02516889083999,2208.258325347785,1135.6417471193126,-855.8242074296973,-0.753604038950307,22.55435091797545,0.86083984375,4.6421732902526855,0.028433332219719887
2011-02-28,1,10,train,23.400000000000002,56.11498283715322,956.8650297825835,506.4900063098683,-359.3472778001076,-0.7094854258195581,23.901164624887976,0.859375,8.502582550048828,0.03411491960287094
2011-02-28,5,1,train,24.1,166.1445217251948,319.95841309970524,243.05146741245,-137.21153650028336,-0.25246860360746043,40.03394394621193,0.798828125,0.981865406036377,0.01846953108906746
2011-02-28,5,5,train,20.5,80.37197216721354,1019.0850725589466,549.7285223630801,-837.3903402787143,-0.681231425473746,24.786253316376726,0.78466796875,4.6421732902526855,0.028433332219719887
2011-02-28,5,10,train,19.9,68.501970137682,411.0257203726258,239.76384525515385,-305.5524415746258,-0.5699241512620925,28.436457175349073,0.7314453125,8.502582550048828,0.03411491960287094
2011-02-28,10,1,train,17.6,113.82942525724965,187.4427473893459,150.63608632329777,-92.86808356271924,-0.19495638340121743,42.27135466866155,0.6943359375,0.981865406036377,0.01846953108906746
2011-02-28,10,5,train,16.7,70.0415941311113,509.7486775781246,289.895135854618,-554.7196212038959,-0.6051075885143045,27.255375621179546,0.6513671875,4.6421732902526855,0.028433332219719887
2011-02-28,10,10,train,17.7,58.280865186940986,295.99851101312976,177.13968810003536,-299.8965616210635,-0.5353719470478222,29.619634225556357,0.6484375,8.502582550048828,0.03411491960287094
2011-03-31,1,1,train,33.6,326.95698915058813,856.1276223185697,591.5423057345789,-211.10853911750462,-0.35687817603400224,36.059150414860284,0.87255859375,0.9793475866317749,0.021087929606437683
2011-03-31,1,5,train,24.7,58.237956370988464,2160.451957898046,1109.3449571345175,-838.6620476610254,-0.755997530134651,22.48253382692933,0.8681640625,4.607267379760742,0.031021323055028915
2011-03-31,1,10,train,21.4,53.10237180936286,942.0711965003961,497.5867841548796,-354.64725012802234,-0.7127344644620511,23.800504281914115,0.8515625,8.395340919494629,0.03650708869099617
2011-03-31,5,1,train,22.8,167.15711653724892,314.72310867028784,240.94011260376834,-131.63802264428242,-0.24433587572887056,40.34853502418534,0.79345703125,0.9793475866317749,0.021087929606437683
2011-03-31,5,5,train,19.3,77.06267234081103,933.2027229310801,505.1326976359455,-763.7300555311763,-0.6761598798176374,24.946957099591614,0.77490234375,4.607267379760742,0.031021323055028915
2011-03-31,5,10,train,18.7,61.23165813078992,453.23991548539993,257.23578680809493,-349.6956928386909,-0.607958441808527,27.160751858045558,0.75634765625,8.395340919494629,0.03650708869099617
2011-03-31,10,1,train,16.9,110.94961957876669,177.82934275194972,144.3894811653582,-84.37320230098172,-0.18478596266143724,42.66984592118416,0.70849609375,0.9793475866317749,0.021087929606437683
2011-03-31,10,5,train,16.0,64.17483821697904,460.52282197243835,262.34883009470866,-500.01924392525876,-0.6027088758689383,27.335118793120074,0.66650390625,4.607267379760742,0.031021323055028915
2011-03-31,10,10,train,16.5,56.22019925701869,255.20068905076377,155.71044415389125,-251.02707252304944,-0.509803506020806,30.509456459110098,0.6611328125,8.395340919494629,0.03650708869099617
2011-04-29,1,1,train,33.6,328.757783985832,827.968460090365,578.3631220380985,-199.1562455258834,-0.34434464774322937,36.52935554550554,0.88330078125,0.9791746139526367,0.02126830630004406
2011-04-29,1,5,train,25.4,58.65191997093615,2174.0365168556086,1116.3442184132723,-843.9163550072367,-0.7559642815248743,22.48353056801495,0.87744140625,4.61374568939209,0.03025508113205433
2011-04-29,1,10,train,22.199999999999996,54.8989806381411,786.9620967733138,420.93053870572743,-292.0509289487447,-0.693822144258622,24.389687679524297,0.8447265625,8.430274963378906,0.03554011508822441
2011-04-29,5,1,train,23.3,154.90931434368412,315.20126743817275,235.0552908909284,-142.99036957055299,-0.2720518949185786,39.279105859231414,0.7861328125,0.9791746139526367,0.02126830630004406
2011-04-29,5,5,train,19.8,80.69740878544243,1019.5215104409369,550.1094596131896,-837.4893602945144,-0.6808401881938652,24.798630883300476,0.775390625,4.61374568939209,0.03025508113205433
2011-04-29,5,10,train,18.9,64.8700061692733,413.06093294256107,238.96546955591717,-310.60791474090314,-0.5812893494619298,28.052272875455376,0.7431640625,8.430274963378906,0.03554011508822441
2011-04-29,10,1,train,17.1,104.04258015602805,215.72656820861354,159.8845741823208,-140.89675122219472,-0.27867269313434195,39.02480101858914,0.70458984375,0.9791746139526367,0.02126830630004406
2011-04-29,10,5,train,16.0,65.99185319412024,617.4854771486921,341.7386651714062,-695.7457491432683,-0.6438081095006747,25.984993722390005,0.6650390625,4.61374568939209,0.03025508113205433
2011-04-29,10,10,train,16.5,56.88213140830752,294.51965487718434,175.70089314274594,-299.79548195832615,-0.5395741241030613,29.474538277392536,0.65283203125,8.430274963378906,0.03554011508822441
2011-05-31,1,1,train,43.1,320.20254556623695,882.1348158214032,601.1686806938201,-224.1785413267502,-0.37290455828141533,35.46097396581796,0.8837890625,0.9805035591125488,0.019884109497070312
2011-05-31,1,5,train,29.8,66.91898412543243,1840.1618560911074,953.5404201082698,-707.421555047572,-0.7418894261107964,22.907716642349413,0.8662109375,4.642168998718262,0.02794390544295311
2011-05-31,1,10,train,24.5,60.33432272852018,884.8867815117127,472.6105521201165,-328.94883821757514,-0.696025166475697,24.32065346409269,0.8486328125,8.522130966186523,0.033528733998537064
2011-05-31,5,1,train,25.6,171.0269031564909,315.2781152922892,243.15250922439,-128.68103317787347,-0.23667412564934245,40.64548047309334,0.791015625,0.9805035591125488,0.019884109497070312
2011-05-31,5,5,train,21.0,83.43943784213556,933.9152369533733,508.6773373977544,-758.6771916993295,-0.667005840007304,25.238420155049614,0.755859375,4.642168998718262,0.02794390544295311
2011-05-31,5,10,train,20.0,68.77902765198536,384.75295406318116,226.7659908575833,-281.8683510928479,-0.555882997592192,28.914542102877228,0.72021484375,8.522130966186523,0.033528733998537064
2011-05-31,10,1,train,18.3,106.73362826573164,204.19312325008272,155.4633757579072,-122.95161068733846,-0.25009564462549283,40.12566920320574,0.689453125,0.9805035591125488,0.019884109497070312
2011-05-31,10,5,train,17.1,69.80578462465857,619.3354091110992,344.570596867879,-693.2680336776324,-0.6362429166433626,26.230905232578937,0.6591796875,4.642168998718262,0.02794390544295311
2011-05-31,10,10,train,17.5,60.05883331319305,302.6934496411014,181.3761414771472,-306.09964571241466,-0.5336821389729397,29.678073428346153,0.6357421875,8.522130966186523,0.033528733998537064
2011-06-30,1,1,train,40.4,333.88939720476134,947.7382492513952,640.8138232280783,-244.89026085728582,-0.38215508464480263,35.11731675977803,0.86962890625,0.9800937175750732,0.02031059004366398
2011-06-30,1,5,train,28.2,70.39315331409054,1670.8841733211802,870.6386633176354,-638.5035372836434,-0.7333737452579657,23.166525391150127,0.85791015625,4.640039920806885,0.028165649622678757
2011-06-30,1,10,train,23.2,61.497411768535535,762.3090980531027,411.9032549108191,-279.5834122583387,-0.6787599003529873,24.86450026888266,0.84912109375,8.499844551086426,0.03435404598712921
2011-06-30,5,1,train,23.999999999999996,168.01918112991106,345.40465257847376,256.71191685419245,-158.23884873325483,-0.2756652879888195,39.14025795428005,0.77587890625,0.9800937175750732,0.02031059004366398
2011-06-30,5,5,train,19.9,86.19851912958762,970.6756802521593,528.4370996908734,-789.0085166725602,-0.6677338434936503,25.2151751343454,0.7392578125,4.640039920806885,0.028165649622678757
2011-06-30,5,10,train,18.6,69.2076867641545,435.01593282254794,252.11180979335123,-326.3236568401634,-0.5788557703496863,28.134324815432045,0.7373046875,8.499844551086426,0.03435404598712921
2011-06-30,10,1,train,16.7,109.75779977879817,184.8587382641962,147.3082690214972,-94.74481016337165,-0.20338939462577021,41.94153442200872,0.71875,0.9800937175750732,0.02031059004366398
2011-06-30,10,5,train,15.7,70.56316151016205,668.8445155828322,369.7038385464971,-754.7715708895064,-0.6455971045737185,25.927015648679863,0.66064453125,4.640039920806885,0.028165649622678757
2011-06-30,10,10,train,16.1,57.46068467374899,300.6545956970572,179.05764018540305,-306.805233030093,-0.5418385573657911,29.39648635002748,0.6396484375,8.499844551086426,0.03435404598712921
2011-07-29,1,1,train,53.8,320.39182516326974,874.980893584892,597.6863593740809,-221.2490276418282,-0.37017580236150666,35.56257524555461,0.87548828125,0.9820876121520996,0.01823909394443035
2011-07-29,1,5,train,34.4,87.19363245070485,1587.2709445237715,837.2322884872381,-598.4442636568808,-0.714788801012663,23.73697781113214,0.86328125,4.677117824554443,0.025137105956673622
2011-07-29,1,10,train,27.9,68.43269498972421,866.9972872754718,467.71499113259796,-318.5811794943165,-0.681143828045482,24.789024348121817,0.84033203125,8.633269309997559,0.031181957572698593
2011-07-29,5,1,train,27.2,160.3825715175285,303.66485469319196,232.02371310536023,-127.81668841556585,-0.2463599949599396,40.27017856966752,0.78271484375,0.9820876121520996,0.01823909394443035
2011-07-29,5,5,train,22.0,85.19849736097353,1065.7574799941867,575.4779886775801,-874.7194641130711,-0.6797591642014492,24.832848360233296,0.7529296875,4.677117824554443,0.025137105956673622
2011-07-29,5,10,train,20.7,78.81191164551996,409.82653198170027,244.3192218136101,-295.28558347046646,-0.5405048628710634,29.442445414488876,0.7197265625,8.633269309997559,0.031181957572698593
2011-07-29,10,1,train,19.0,121.11757172263623,171.5213128828981,146.31944230276716,-63.58765927647145,-0.13742659979273406,44.53468034584793,0.7080078125,0.9820876121520996,0.01823909394443035
2011-07-29,10,5,train,17.9,73.347166643848,746.4993553209039,409.92326098237595,-849.2260897600654,-0.6551198596646264,25.619529327559082,0.63720703125,4.677117824554443,0.025137105956673622
2011-07-29,10,10,train,18.8,62.13429845192575,255.39588305139642,158.7650907516611,-243.81229468003752,-0.48562449660112433,31.361671245441368,0.64892578125,8.633269309997559,0.031181957572698593
2011-08-31,1,1,train,75.4,327.00920816403385,867.8485983997319,597.4289032818829,-215.7636996715498,-0.3611537682329821,35.89922502805284,0.8701171875,0.9849414229393005,0.015288804657757282
2011-08-31,1,5,train,42.4,86.85859056653594,1753.5955968850292,920.2270937257825,-664.9318621301568,-0.7225736632443677,23.49709268115752,0.8486328125,4.721884727478027,0.021816223859786987
2011-08-31,1,10,train,33.6,68.35355335715815,902.5310640257233,485.4423086914407,-332.7886783657078,-0.6855370296478147,24.650255108225206,0.83203125,8.769720077514648,0.028383048251271248
2011-08-31,5,1,train,29.2,162.15830468672948,347.6357320783996,254.89701838256454,-165.45737560572664,-0.290292873240158,38.57960952783342,0.7734375,0.9849414229393005,0.015288804657757282
2011-08-31,5,5,train,23.6,93.38100858853363,797.3047379874693,445.3428732880014,-627.9436507764193,-0.6305814119393892,26.415712793748607,0.75146484375,4.721884727478027,0.021816223859786987
2011-08-31,5,10,train,22.199999999999996,81.02992289561622,364.85929517199594,222.94460903380607,-253.19341397539594,-0.5078908950145384,30.57649301833316,0.7275390625,8.769720077514648,0.028383048251271248
