,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,10.806535720825195,1.2875666658701037,19.398146629333496,1.165986832082486
Average,10.555711428324383,2.0955365125868872,18.611562040117054,2.877921836094541
CAD,9.541709423065186,2.0239449391096493,15.792323589324951,3.3225183387620696
DKK,9.724621772766113,1.804246567639094,19.134421348571777,2.373838634553025
EUR,12.10523796081543,3.836095558131082,25.928338050842285,6.240340615073807
GBP,10.826572895050049,0.791800367507007,16.00560235977173,0.09770988183977586
JPY,12.490556716918945,2.623829463334906,9.265814781188965,1.855164006737711
NOK,8.830288887023926,0.9475124050926871,23.678174018859863,4.05433396276922
SEK,10.137266159057617,2.0828675820270313,19.666982650756836,2.976999823368913
USD,10.538613319396973,3.4619650645704256,18.634254932403564,3.8339464060318145
