tau,G_mean,G_std,G_min,G_max,pct_neg,pct_lt001,pct_lt005
1.0,0.033014743245223466,0.017480025681200634,0.0035773524815087,0.09015402285218732,0.0,6.938775510204081,83.6734693877551
2.0,0.04997588407739344,0.017565352760228626,0.02031784122261926,0.10489820140669032,0.0,0.0,54.5578231292517
3.0,0.0700614377189528,0.01554536606471473,0.04378906706061536,0.11740630023455689,0.0,0.0,6.802721088435375
4.0,0.0852709692133595,0.013319875558248203,0.0628649782260794,0.1253019501143955,0.0,0.0,0.0
5.0,0.09429680403466094,0.011702910289262491,0.0747445181408597,0.12926015118459078,0.0,0.0,0.0
6.0,0.09859056669896972,0.010754750572588562,0.08071375232823969,0.1306380864869776,0.0,0.0,0.0
7.0,0.0999627786308783,0.010293663361848941,0.08288831412824765,0.1305961047562086,0.0,0.0,0.0
8.0,0.09979869811633212,0.010135758828796039,0.08298059777316291,0.1299353426577583,0.0,0.0,0.0
9.0,0.09899607196007569,0.010151650294611802,0.08212162446437427,0.1291561659422179,0.0,0.0,0.0
10.0,0.09809011267302056,0.010260678836108204,0.08099224477889089,0.1285492777494579,0.0,0.0,0.0
11.0,0.09738034394397062,0.010414738622264701,0.07997864843275104,0.12826941682009052,0.0,0.0,0.0
12.0,0.09702102126778579,0.010585498556257936,0.07928602749384711,0.12838620679922408,0.0,0.0,0.0
13.0,0.0970789238113518,0.010756313701700758,0.07901109648647131,0.128917272045869,0.0,0.0,0.0
14.0,0.0975689452318373,0.010917475468499763,0.07918627414638657,0.12984936048172147,0.0,0.0,0.0
15.0,0.09847585654783858,0.011063473811967846,0.07980635242463413,0.13115174006808844,0.0,0.0,0.0
16.0,0.09976768837424299,0.011191400391902655,0.0808447158987955,0.13278468433887092,0.0,0.0,0.0
17.0,0.10140402975519025,0.011299989100238446,0.0822633367839774,0.13470482801908268,0.0,0.0,0.0
18.0,0.10334119672766737,0.011389017456114238,0.08401900221701597,0.13686850864784517,0.0,0.0,0.0
19.0,0.10553543243322844,0.011458919408926977,0.08606720365432186,0.13923379835774707,0.0,0.0,0.0
20.0,0.10794484344051426,0.01151052796204862,0.08836453678423761,0.14176167703176262,0.0,0.0,0.0
21.0,0.11053051169203933,0.011544901605691308,0.09087013102910557,0.14441664128371468,0.0,0.0,0.0
22.0,0.11325706445681905,0.011563207231324217,0.09354643772348248,0.14716694469684805,0.0,0.0,0.0
23.0,0.11609288879044542,0.011566642255657707,0.09635959285636964,0.1499846007643565,0.0,0.0,0.0
24.0,0.11901011630172172,0.011556384367340047,0.09927949999082775,0.15284523765015529,0.0,0.0,0.0
25.0,0.1219844641887217,0.01153356075737283,0.10227973341821828,0.1557278653236711,0.0,0.0,0.0
26.0,0.12499499154752941,0.011499230953497714,0.10533733090404074,0.15861459604679456,0.0,0.0,0.0
27.0,0.12802381129006876,0.011454378961558698,0.10843252406809356,0.16149034564095432,0.0,0.0,0.0
28.0,0.13105578489723607,0.011399911577095877,0.11154843935662673,0.16434253353771,0.0,0.0,0.0
29.0,0.1340782179678282,0.011336660600888589,0.11467079178710565,0.16716079306074516,0.0,0.0,0.0
30.0,0.13708056797852228,0.011265387349232065,0.11778758593767363,0.16993669884692497,0.0,0.0,0.0
