ccy,rmse_bps,n
AUD,0.16528979422892548,170
CAD,0.1336545048048786,164
DKK,0.15279797726283073,168
EUR,0.1965494767776402,170
GBP,0.10501445862775162,127
JPY,0.16846691355050644,170
NOK,0.13332957444695778,169
SEK,0.15475467339630314,170
USD,0.1436629807245578,162
