epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,1.2013609999994515,1.2013609999994515,0.000492620025365455,0.022195045063379687,207.5826899210612,1470,0,346.0000915527344,252.119873046875,183.16278076171875,171.04307556152344,62.52661895751953,264.76043701171875,196.20753479003906,161.5672149658203,230.85658264160156,2.10.0+cpu,3.13.3,2.2.5
4,5.4230452999981935,4.221684299998742,0.0004913482774638248,0.02216637718401058,207.31472396850586,1470,0,345.54095458984375,251.7863006591797,182.9300994873047,170.8283233642578,62.452083587646484,264.4154968261719,195.96218872070312,161.3531494140625,230.5639190673828,2.10.0+cpu,3.13.3,2.2.5
9,10.624281399999745,5.201236100001552,0.000489246356538592,0.022118913999981824,206.84229702419708,1470,0,344.7629089355469,251.20346069335938,182.51593017578125,170.44488525390625,62.29374694824219,263.831787109375,195.534912109375,160.95053100585938,230.04251098632812,2.10.0+cpu,3.13.3,2.2.5
14,15.83656119999796,5.212279799998214,0.0004848156392029455,0.022018529451417627,205.773562113444,1470,0,343.0107116699219,249.88998413085938,181.57644653320312,169.57427978515625,61.932472229003906,262.51385498046875,194.5658416748047,160.03753662109375,228.86093139648438,2.10.0+cpu,3.13.3,2.2.5
19,21.04384349999964,5.20728230000168,0.0002644078065181899,0.016260621344776155,146.84550136990018,1470,0,222.0532684326172,169.31829833984375,132.7644805908203,127.17985534667969,65.98854064941406,171.31723022460938,142.07518005371094,121.329345703125,169.58331298828125,2.10.0+cpu,3.13.3,2.2.5
24,26.24270279999837,5.19885929999873,5.070030096570682e-05,0.007120414381600752,58.508801778157554,1470,0,53.43305969238281,62.646575927734375,57.96186447143555,60.06618881225586,43.26577377319336,51.804500579833984,64.29666900634766,53.35386657714844,79.75071716308594,2.10.0+cpu,3.13.3,2.2.5
29,31.46333759999834,5.220634799999971,2.4975295831745515e-05,0.004997528972576899,49.79732979668511,1470,0,50.755496978759766,55.60831069946289,48.035850524902344,50.38982391357422,33.96302795410156,50.20341491699219,56.09983444213867,37.018035888671875,66.1021728515625,2.10.0+cpu,3.13.3,2.2.5
34,36.68005609999818,5.216718499999843,2.4056078888991447e-05,0.004904699673679465,46.979327307807075,1470,0,43.88062286376953,51.516597747802734,46.1340217590332,48.350250244140625,31.083961486816406,49.598785400390625,55.309326171875,33.83900833129883,63.10137176513672,2.10.0+cpu,3.13.3,2.2.5
39,41.940151999999216,5.260095900001033,2.2936504230566076e-05,0.00478920705655603,47.81660821702745,1470,0,44.797119140625,52.26292037963867,47.08863830566406,48.9523811340332,30.23018455505371,51.8680419921875,56.54377746582031,34.667808532714844,63.938602447509766,2.10.0+cpu,3.13.3,2.2.5
44,47.15799580000021,5.217843800000992,2.551012997229213e-05,0.005050755386305313,47.04814232720269,1470,0,48.8056526184082,51.95746994018555,45.661415100097656,47.8379020690918,31.093318939208984,47.796302795410156,54.03345489501953,33.991329193115234,62.25643539428711,2.10.0+cpu,3.13.3,2.2.5
49,52.38025369999741,5.222257899997203,2.2081463696410544e-05,0.004699091794848292,46.6453980339898,1470,0,48.581504821777344,51.28995895385742,45.34005355834961,47.5216178894043,30.647804260253906,47.222408294677734,53.765316009521484,33.680477142333984,61.75944137573242,2.10.0+cpu,3.13.3,2.2.5
54,57.5982030999985,5.217949400001089,2.1673468283403723e-05,0.004655477234763771,45.0855589972602,1470,0,42.939884185791016,49.03238296508789,44.544376373291016,46.782867431640625,29.559345245361328,46.363128662109375,53.51698303222656,32.23710250854492,60.79396057128906,2.10.0+cpu,3.13.3,2.2.5
59,62.809268999997585,5.211065899999085,2.40625093704316e-05,0.004905355172709882,45.217288970947266,1470,0,44.06403732299805,49.4940299987793,44.53793716430664,46.75520706176758,28.795608520507812,47.043907165527344,53.4782829284668,32.14218521118164,60.644405364990234,2.10.0+cpu,3.13.3,2.2.5
64,68.0235967999979,5.214327800000319,5.371463143042618e-05,0.0073290266359473805,48.37807803683811,1470,0,55.27333450317383,53.46377944946289,46.678955078125,48.27959442138672,26.060033798217773,55.60346984863281,56.667240142822266,30.531465530395508,62.84482955932617,2.10.0+cpu,3.13.3,2.2.5
69,73.2707487000007,5.247151900002791,2.06293661483337e-05,0.004541956202819849,44.20943175421821,1470,0,42.52275848388672,47.4111213684082,43.846397399902344,46.19113540649414,27.92662239074707,45.79561233520508,53.06094741821289,31.280742645263672,59.84954833984375,2.10.0+cpu,3.13.3,2.2.5
74,78.50572800000009,5.234979299999395,2.1679539087530997e-05,0.00465612919575166,46.638399336073135,1470,0,47.80543899536133,50.090415954589844,45.7880744934082,47.75133514404297,28.075435638427734,49.564247131347656,54.98610305786133,33.40472412109375,62.27981948852539,2.10.0+cpu,3.13.3,2.2.5
79,83.78616589999729,5.280437899997196,7.244884579455905e-05,0.008511688774535817,77.36432245042589,1470,0,130.21775817871094,88.38574981689453,67.17143249511719,67.00680541992188,29.40459632873535,90.57601165771484,77.50910949707031,60.64073181152344,85.36670684814453,2.10.0+cpu,3.13.3,2.2.5
84,89.01531649999743,5.229150600000139,1.9252263979180906e-05,0.004387740190483127,42.578407711452904,1470,0,41.59661102294922,45.06099319458008,42.134769439697266,44.915870666503906,26.912246704101562,43.06717300415039,51.264923095703125,30.377052307128906,57.87602996826172,2.10.0+cpu,3.13.3,2.2.5
89,94.37109209999835,5.355775600000925,1.8785303443425562e-05,0.00433420159238418,42.12570699055989,1470,0,41.509849548339844,44.48103332519531,41.578250885009766,44.47998809814453,26.787519454956055,42.21614074707031,50.647666931152344,30.1334171295166,57.2974967956543,2.10.0+cpu,3.13.3,2.2.5
94,99.74836180000057,5.377269700002216,1.8426294328263157e-05,0.00429258597214583,41.77277607387966,1470,0,41.978302001953125,43.95096206665039,41.09145736694336,44.10686111450195,26.50420570373535,41.609806060791016,50.12446594238281,29.87737274169922,56.711551666259766,2.10.0+cpu,3.13.3,2.2.5
99,105.17744129999846,5.429079499997897,1.814625209924404e-05,0.004259841792748182,41.06086752149794,1470,0,40.88963317871094,43.14825439453125,40.454444885253906,43.6043815612793,25.726743698120117,41.39561080932617,49.67869567871094,28.802513122558594,55.847530364990234,2.10.0+cpu,3.13.3,2.2.5
104,110.63322969999717,5.45578839999871,1.754627352353537e-05,0.004188827225314428,40.855443530612526,1470,0,41.39527130126953,42.174930572509766,40.17921447753906,43.418033599853516,26.330516815185547,39.26939010620117,48.88718032836914,30.21772575378418,55.82672882080078,2.10.0+cpu,3.13.3,2.2.5
109,116.14570280000044,5.5124731000032625,1.8904272470461697e-05,0.004347904376876485,42.81548606024848,1470,0,45.846885681152344,45.577388763427734,41.708309173583984,44.52542495727539,24.56870460510254,45.922359466552734,51.040958404541016,28.813364028930664,57.33597946166992,2.10.0+cpu,3.13.3,2.2.5
114,121.72671719999926,5.581014399998821,8.277793154144203e-05,0.009098237826164033,74.36348300509982,1470,0,128.08152770996094,91.17802429199219,63.542015075683594,62.80607986450195,19.538253784179688,101.75657653808594,75.47229766845703,45.562503814697266,81.33406829833984,2.10.0+cpu,3.13.3,2.2.5
119,127.26631629999974,5.539599100000487,2.8714259579970952e-05,0.005358568799592942,50.92968326144749,1470,0,70.33443450927734,57.72746658325195,45.63169479370117,48.38842010498047,30.30146026611328,54.35248947143555,54.49948501586914,34.32457733154297,62.80712127685547,2.10.0+cpu,3.13.3,2.2.5
124,132.85798099999738,5.5916646999976365,2.3003934447409675e-05,0.004796241700270085,46.24726634555393,1470,0,53.850135803222656,51.29765319824219,43.49430847167969,46.80169677734375,29.890954971313477,46.07259750366211,52.17703628540039,32.46709442138672,60.173919677734375,2.10.0+cpu,3.13.3,2.2.5
129,138.48523579999892,5.627254800001538,1.8482149182066487e-05,0.004299087017270817,41.079193327162,1470,0,32.70515823364258,44.43824768066406,41.52183532714844,45.22922897338867,29.051971435546875,37.930789947509766,49.826229095458984,31.433855056762695,57.57542419433594,2.10.0+cpu,3.13.3,2.2.5
134,144.15475249999872,5.669516699999804,1.5989228477275875e-05,0.003998653332970474,38.72474670410156,1470,0,28.989734649658203,40.393280029296875,39.81509780883789,43.721343994140625,26.686399459838867,35.82680892944336,48.182010650634766,29.749773025512695,55.15827178955078,2.10.0+cpu,3.13.3,2.2.5
139,149.79964660000041,5.644894100001693,1.5632458398242157e-05,0.00395379038370045,38.31981489393446,1470,0,30.57614517211914,39.71131896972656,38.90861129760742,42.96014404296875,25.261552810668945,36.776206970214844,47.44163131713867,29.291967391967773,53.95075607299805,2.10.0+cpu,3.13.3,2.2.5
144,155.5509596999982,5.7513130999977875,1.549265356157268e-05,0.003936070827814545,38.246313942803276,1470,0,32.16242599487305,39.367366790771484,38.51142501831055,42.602176666259766,24.65195655822754,37.26081466674805,47.02924728393555,29.157562255859375,53.47385025024414,2.10.0+cpu,3.13.3,2.2.5
149,161.47161779999806,5.920658099999855,1.5346777826732936e-05,0.003917496372268,38.113243950737846,1470,0,33.28734588623047,38.940216064453125,38.103450775146484,42.30870819091797,24.306058883666992,37.13628387451172,46.64806365966797,29.30571174621582,52.98335647583008,2.10.0+cpu,3.13.3,2.2.5
154,167.27512919999936,5.803511400001298,1.5303657654636037e-05,0.003911988964022782,38.07930204603407,1470,0,34.938873291015625,38.2674674987793,37.9361457824707,42.164093017578125,24.543025970458984,36.07636642456055,46.276920318603516,29.59759521484375,52.913230895996094,2.10.0+cpu,3.13.3,2.2.5
159,173.07116300000052,5.796033800001169,1.5252280406587358e-05,0.003905416803183414,37.96859592861599,1470,0,34.66529846191406,38.41862487792969,37.631690979003906,41.997989654541016,24.007158279418945,36.87443923950195,46.19511795043945,29.50430679321289,52.42273712158203,2.10.0+cpu,3.13.3,2.2.5
164,178.88230660000045,5.811143599999923,1.5129378345813982e-05,0.0038896501572524464,37.884773890177414,1470,0,34.92848205566406,38.13420486450195,37.54841613769531,41.924583435058594,24.013944625854492,36.62810134887695,46.050235748291016,29.389400482177734,52.34559631347656,2.10.0+cpu,3.13.3,2.2.5
