epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,0.968799249996664,0.968799249996664,0.0004106889016170777,0.02026546080445934,162.4919497172038,1470,0,265.2583923339844,196.41004943847656,143.79595947265625,135.20179748535156,54.7586784362793,203.61090087890625,154.27224731445312,127.00263977050781,182.11688232421875
49,46.14814237499377,45.179343124997104,1.6488485614120563e-05,0.0040606016320393415,39.75008010864258,1470,0,35.004512786865234,43.642120361328125,39.76067352294922,42.433868408203125,28.326892852783203,36.808990478515625,45.58998489379883,31.500713348388672,54.68296432495117
99,93.2555057919817,47.10736341698794,1.5896811932749053e-05,0.0039870806278214455,36.94157685173882,1470,0,30.776010513305664,39.4374885559082,38.04598617553711,40.834808349609375,28.081186294555664,35.60860061645508,44.2607421875,26.8972225189209,48.53214645385742
149,142.06834787499974,48.81284208301804,4.663556375730661e-06,0.0021595268870126766,22.512670940823025,1470,0,26.152734756469727,18.882963180541992,20.32071876525879,24.206798553466797,20.851064682006836,21.96270179748535,29.941635131835938,16.887710571289062,23.407711029052734
199,191.57159916698583,49.50325129198609,2.8717066000347764e-06,0.0016946110468289697,16.209261470370823,1470,0,14.74148941040039,13.427674293518066,15.455879211425781,19.699262619018555,18.009828567504883,14.642330169677734,17.459775924682617,13.204833984375,19.242279052734375
249,242.0421479170036,50.47054875001777,3.1163104629703577e-06,0.0017653074698109556,16.679901864793568,1470,0,15.997828483581543,15.100983619689941,16.803726196289062,20.576873779296875,16.903141021728516,15.59085750579834,17.115211486816406,14.376773834228516,17.65372085571289
299,292.2450019590033,50.20285404199967,2.0627620641152426e-06,0.0014362318977502353,14.877697520785862,1470,0,15.071310043334961,13.73786735534668,14.383082389831543,18.34920310974121,14.8101806640625,14.1240873336792,14.166568756103516,13.762565612792969,15.494412422180176
349,342.4860073750024,50.2410054159991,1.9444064395936788e-06,0.0013944197501447255,13.916718588935003,1470,0,15.641698837280273,11.808369636535645,12.792686462402344,16.943023681640625,14.083072662353516,13.904457092285156,12.134847640991211,13.187222480773926,14.755088806152344
399,392.84487787500257,50.358870500000194,1.7673162122629365e-06,0.0013294044577414868,12.49011982811822,1470,0,12.703929901123047,9.93470287322998,11.946209907531738,16.402700424194336,13.693222045898438,11.611300468444824,11.154945373535156,12.136205673217773,12.827861785888672
449,447.8835014590004,55.03862358399783,1.4844407753091936e-06,0.001218376286419427,11.919029129876032,1470,0,11.653351783752441,9.571454048156738,11.454977035522461,16.034120559692383,13.647252082824707,10.972000122070312,10.517134666442871,11.780117988586426,11.640853881835938
499,499.24032062498736,51.35681916598696,1.5401302822023613e-06,0.0012410198556841712,13.248292075263128,1470,0,14.177840232849121,11.757331848144531,12.685503959655762,16.856565475463867,14.154172897338867,12.228515625,11.43616771697998,13.207178115844727,12.731352806091309
549,550.0423389170028,50.80201829201542,1.4508107293901654e-06,0.0012044960478931285,11.370156923929851,1470,0,11.066629409790039,9.128837585449219,10.926321983337402,15.584817886352539,13.736106872558594,10.197742462158203,9.670528411865234,11.284985542297363,10.735442161560059
599,600.8092106249824,50.76687170797959,1.3505418603487676e-06,0.0011621281600360468,11.287932607862684,1470,0,11.486000061035156,9.240861892700195,10.68925952911377,15.398675918579102,13.6751127243042,9.82262897491455,9.507927894592285,11.217835426330566,10.553091049194336
649,652.6367271249765,51.82751649999409,1.312979844708495e-06,0.0011458533260014106,11.218992021348742,1470,0,10.549786567687988,8.885154724121094,10.823107719421387,15.461076736450195,13.626477241516113,10.179072380065918,9.65943717956543,11.211732864379883,10.575082778930664
699,704.8673304169788,52.23060329200234,1.284256200360811e-06,0.0011332502814298396,10.988853984408909,1470,0,10.446563720703125,8.59216594696045,10.662871360778809,15.317170143127441,13.52106761932373,9.810447692871094,9.259268760681152,11.041949272155762,10.248181343078613
749,756.7606371250004,51.893306708021555,1.260562924960518e-06,0.0011227479347389235,11.164839850531683,1470,0,10.371413230895996,9.127543449401855,10.844942092895508,15.389485359191895,13.575728416442871,9.944490432739258,9.346086502075195,11.161023139953613,10.722846031188965
799,808.6141053339816,51.85346820898121,1.2491962977600495e-06,0.0011176745043884868,10.88905832502577,1470,0,10.330018043518066,8.47219467163086,10.565733909606934,15.226116180419922,13.420485496520996,9.72208023071289,9.151927947998047,10.934249877929688,10.178718566894531
849,861.0489684589847,52.434863125003176,1.2421466808951837e-06,0.0011145163439336293,10.867555300394695,1470,0,10.4901704788208,8.56945514678955,10.525294303894043,15.162821769714355,13.421659469604492,9.633336067199707,9.06528377532959,10.853070259094238,10.086906433105469
899,914.2386791669996,53.1897107080149,1.2268775627384778e-06,0.001107645052685416,10.842427995469835,1470,0,10.34228801727295,8.568791389465332,10.500000953674316,15.14673900604248,13.400349617004395,9.58884334564209,9.057016372680664,10.883724212646484,10.094099044799805
949,966.3931329170009,52.15445375000127,1.2174561515921534e-06,0.0011033839547465575,10.828607771131727,1470,0,10.350738525390625,8.550178527832031,10.470928192138672,15.139959335327148,13.389540672302246,9.597359657287598,9.024502754211426,10.871569633483887,10.062692642211914
999,1018.6394664999971,52.24633358299616,1.2152496601382055e-06,0.0011023836265738917,10.819187058342829,1470,0,10.31379222869873,8.524559020996094,10.480785369873047,15.143352508544922,13.387462615966797,9.577834129333496,9.011109352111816,10.861735343933105,10.072052955627441
