epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2_lam,loss_l2_vol,loss_l2_reg,loss_l2_vbase,loss_feller,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam,gnorm_sig,gnorm_reg,gnorm_cir,gnorm_v0,lr,fwd_bias_diag_bp,delta_norm,W_norm,w_v_norm,alpha_v,kappa,theta,sigma_v,feller,sqrt_theta,lam_1Y_norm,lam_5Y_norm,lam_10Y_norm,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,29.2,29.217,0.15666673704981804,0.3939902279525995,0.0004735718612209894,0.0011218235013075173,1.0179062996940047e-06,4.85626742374734e-07,0.0,1.0,1.0,5.2951848771837025,0,1.9999992847441348,0.057040882868841694,6.784461422189375e-05,0.00029115964212680375,4.4271182591417e-05,6.860000000000001e-06,-12.4875,4.220441041979939e-06,0.03189608454704285,0.022033745422959328,-2.095968966386863e-06,1.0000016689300537,0.017953025177121162,0.04978691413998604,0.03342737257480621,0.1339889019727707,0.4060274064540863,0.3918854296207428,0.3938772678375244,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,61.3,32.118,0.2550860606133938,0.9052422046661377,0.0004735685943160206,0.0011218675645068288,1.0061939406114107e-06,4.826068362717706e-07,0.0,1.0,1.0,,0,2.000000119209286,0.16740408787782907,0.00013760721587258653,0.000752002982880403,4.8667301959249224e-05,1.3520000000000003e-05,-16.6875,0.00014167437620926648,0.03142787888646126,0.021859588101506233,-3.360759365023114e-05,1.0000605583190918,0.017954275012016296,0.04978342354297638,0.033432334661483765,0.13399356603622437,0.4060150384902954,0.3918849229812622,0.39387813210487366,,,,,,,,,
2,90.8,29.466,0.19911196362227201,0.6365058906376362,0.00047355260176118463,0.001122031593695283,9.664088054250897e-07,4.723300293107968e-07,0.0,1.0,1.0,,0,1.999999582767443,0.05672695075298423,6.481918495040619e-05,0.00043590163109690595,4.343113194479561e-05,2.0180000000000007e-05,-18.225,0.00045441309339366853,0.030515408143401146,0.021523337811231613,-0.00016830202366691083,1.0001567602157593,0.017956338822841644,0.049777716398239136,0.0334404855966568,0.13400126993656158,0.40599068999290466,0.3918914198875427,0.3938680589199066,,,,,,,,,
3,117.2,26.378,0.12755376659333706,0.47446851432323456,0.0004735278998850845,0.0011222795874346048,9.011811670234238e-07,4.554641179765895e-07,0.0,1.0,1.0,,0,1.9999999403953543,0.06619479807647397,6.166648175489286e-05,0.0011224156529173492,4.418234954735537e-05,2.684000000000001e-05,18.412499999999998,0.0007914795423857868,0.029178733006119728,0.021039491519331932,-0.0002313005388714373,1.000278115272522,0.017959052696824074,0.04977020248770714,0.03345102444291115,0.1340113878250122,0.40596431493759155,0.39190927147865295,0.39384475350379944,,,,,,,,,
4,142.8,25.581,0.15623295865952969,0.5379178524017334,0.00047351156536024064,0.0011224556947126985,8.148573300559292e-07,4.330307419309065e-07,0.0,1.0,1.0,,0,1.999999880790707,0.1272085344078459,6.821135730199615e-05,0.0007625353366189618,4.171735906411963e-05,3.3500000000000015e-05,38.75,0.0010730279609560966,0.02745397575199604,0.020426902920007706,-0.00019851337128784508,1.0003496408462524,0.01796257309615612,0.049760475754737854,0.03346160426735878,0.13402453064918518,0.4059358537197113,0.39196231961250305,0.3938199281692505,,,,,,,,,
5,169.3,26.554,0.1516415043734014,0.578947052359581,0.0004735207694466226,0.001122586225392297,7.131840220608865e-07,4.061501925889388e-07,0.0,1.0,1.0,,0,1.9999999403953543,0.08934541291316811,5.339550397210217e-05,0.0008074772908387012,3.985221436578056e-05,4.0160000000000015e-05,41.4625,0.0012726251734420657,0.025403546169400215,0.019699906930327415,-4.722227458842099e-06,1.0003952980041504,0.017964910715818405,0.04975399747490883,0.033468566834926605,0.13403324782848358,0.40592464804649353,0.39201778173446655,0.393795371055603,,,,,,,,,
6,195.4,26.054,0.9146694522351027,0.6781719475984573,0.0004735222682938911,0.0011229011870454997,6.044549820671818e-07,3.757964108785927e-07,0.0,1.0,1.0,,0,1.999999880790707,0.12796446367597042,6.111923750921085e-05,0.0005320658770278196,3.8962031099787754e-05,4.6820000000000016e-05,48.787499999999994,0.0015460296999663115,0.023141350597143173,0.018864035606384277,3.733573976205662e-05,1.0003693103790283,0.01796174980700016,0.04976276308298111,0.03346043452620506,0.13402144610881805,0.40591078996658325,0.39206409454345703,0.3937501013278961,,,,,,,,,
7,221.9,26.508,0.22190416604280472,0.5053219720721245,0.0004735245674964972,0.001123515801737085,4.965426896319514e-07,3.426555039709456e-07,0.0,1.0,1.0,,0,1.999999880790707,0.20228752244237805,6.28538168272096e-05,0.001549241780572815,3.6600180904774134e-05,5.3480000000000017e-05,41.4375,0.0017709602834656835,0.020722923800349236,0.017923789098858833,0.0002122575679095462,1.0003068447113037,0.017958085983991623,0.049772895872592926,0.03344985097646713,0.1340077817440033,0.4059130549430847,0.392111212015152,0.3937039077281952,,,,,,,,,
8,243.8,21.962,1.5337318256497383,0.6646913811564445,0.0004734901012852788,0.001124190544942394,3.959479855097925e-07,3.0753258073445977e-07,0.0,1.0,0.99993896484375,,0,1.9999997615814067,0.14094427409142915,5.284723655386353e-05,0.0016462841472400967,3.711795429670509e-05,6.014000000000002e-05,-22.1875,0.002091529779136181,0.018327971920371056,0.01689235307276249,-3.559215838322416e-05,0.9998732805252075,0.017948677763342857,0.04979897662997246,0.0334128700196743,0.1339726746082306,0.40587732195854187,0.3920975923538208,0.3936462104320526,,,,,,,,,
9,268.5,24.687,0.8792659733444452,0.5591825842857361,0.00047339543380076066,0.0011248855153098702,3.0908245918226385e-07,2.7151944692604957e-07,0.0,1.0,1.0,,0,1.9999998211860577,0.16053141362277704,3.8587909903977226e-05,0.000491566299203269,3.3972447303265085e-05,6.680000000000002e-05,-3.5,0.0024268748238682747,0.016008922830224037,0.015789037570357323,-0.00034287196467630565,0.9992355704307556,0.01793653704226017,0.04983269423246384,0.03336235508322716,0.1339273601770401,0.4058030843734741,0.39209726452827454,0.39358922839164734,,,,,,,,,
