time,z1_p5,z2_p5,z1_p25,z2_p25,z1_p50,z2_p50,z1_p75,z2_p75,z1_p95,z2_p95,z1_mean,z2_mean
0.0,0.06024083203890025,0.011008344264079775,0.06024083203890025,0.011008344264079775,0.06024083203890025,0.011008344264079775,0.06024083203890025,0.011008344264079775,0.06024083203890025,0.011008344264079775,0.06024083203890027,0.011008344264079773
0.08333333333333333,-0.5380954766133506,-0.21562104606695376,-0.19037218290078553,-0.09591949767186825,0.048914721117827444,-0.013977365780118482,0.28820162513644043,0.0679647661116313,0.6359249188490054,0.1876663145067167,0.048914721117827444,-0.013977365780118484
0.16666666666666666,-0.7567430589072739,-0.3133474391264973,-0.2879024310914915,-0.13903559716057665,0.03423859997377734,-0.022363157781502427,0.36423514491754544,0.08700965317480099,0.8582947854689468,0.23837823892753465,0.04074127871398139,-0.028990457733597805
0.25,-0.8980865647402002,-0.375288368630291,-0.3535895546697081,-0.17327397010105933,0.027588120206051225,-0.0389547400041057,0.40540942883407904,0.09785999728444603,1.0076271553604943,0.2907235181199039,0.03515320922762274,-0.039434919646109824
0.3333333333333333,-1.0236580770729897,-0.4028504134243757,-0.41170467939028144,-0.20240148030077054,0.006163540735527551,-0.05572471747488884,0.45361262979145317,0.1060628296054141,1.1555638238748838,0.34896580367994706,0.03202949655399998,-0.0441009494772085
0.41666666666666663,-1.1111722030368825,-0.4351694973369233,-0.4653275715597662,-0.2197795512731118,-0.004062973905538232,-0.06735928577757228,0.49588509267806,0.10501896276482606,1.286131880438797,0.4082287118185635,0.029468984194651417,-0.04907958570604688
0.5,-1.2068510835836461,-0.4689632404271178,-0.5125353284646814,-0.24125480896141882,-0.01454995805808638,-0.0799325085184607,0.5279093725784828,0.10710854243358817,1.3847056262554938,0.44753319858490664,0.024411194788186756,-0.054844966983410834
0.5833333333333333,-1.2931768647330832,-0.48976979622782874,-0.5556860413842525,-0.25539207376810225,-0.020803447508662296,-0.08458328187570006,0.5604370646923781,0.10098411829126556,1.482949326683217,0.48915827238013904,0.022295214121880028,-0.057962520642835975
0.6666666666666666,-1.3399255617158323,-0.5151939201343946,-0.6036015141206597,-0.2641811263996522,-0.023830316301808263,-0.09134191420443036,0.5914210711218251,0.09996483890640281,1.5908174565838464,0.5335756154080313,0.02015670526439721,-0.060105802938107286
0.75,-1.4267301104105643,-0.5421863031850603,-0.6330617349658515,-0.27293390602477896,-0.03989637275873288,-0.09449726325086609,0.6163726272989754,0.10628593473172829,1.6846717867584948,0.5617031044928517,0.01917583775702239,-0.061364609880928796
0.8333333333333333,-1.4627415469949872,-0.5614156843198443,-0.6710233759411897,-0.2842465184744828,-0.044454663061849316,-0.09721969077566595,0.6364502159986134,0.11247599256322213,1.7274587704933677,0.5963729006753703,0.017708542890851133,-0.06140904278848141
0.9166666666666666,-1.5167598358644339,-0.5990959477722005,-0.6882217336139538,-0.29861243800768356,-0.05333736366811988,-0.0924547433289811,0.6565418976788755,0.123338426945603,1.7973616475297431,0.6266208834349266,0.014934101976159849,-0.06398509245774343
1.0,-1.594467271421142,-0.6272163627935895,-0.71981101330681,-0.30396128345401696,-0.059082856652624416,-0.09409681549603559,0.6855384542639067,0.12524676317413838,1.835882540435445,0.6361880564863569,0.012097350777230483,-0.0655184941459075
1.0833333333333333,-1.650385174026766,-0.6665410512719158,-0.7495673712367887,-0.30638560011804283,-0.06424598788545302,-0.09715411132114314,0.6917232531247777,0.13383201438824424,1.9248735924964993,0.6699062582443407,0.011182842769197105,-0.06499963718261821
1.1666666666666665,-1.7012969311189128,-0.6787900763576238,-0.7747846906695138,-0.3224983230783197,-0.07359037412268696,-0.09515259609009961,0.7135698347860228,0.13667760482303737,1.9864928309140266,0.6756285098765378,0.0078898039873772,-0.06716599680852592
1.25,-1.76866144605404,-0.694653626077758,-0.809981204681727,-0.327293852970069,-0.08515021258663993,-0.09240554022370447,0.7521268075157251,0.14941617726937412,2.0353102513746553,0.7068077430392192,0.007152714721827651,-0.06640711966869582
1.3333333333333333,-1.8294808780650156,-0.729830042191148,-0.8300892287163388,-0.3345190062167366,-0.07971921451764029,-0.09361679821668467,0.7786255753657573,0.1551983549012135,2.110847085350264,0.7315738036913539,0.005880473293976007,-0.06735588036226073
1.4166666666666665,-1.8544263306802886,-0.7462779017079053,-0.8570489422730841,-0.3481385000160163,-0.09182147834781705,-0.09021458154402197,0.7861601878978244,0.1613232589437361,2.1743865193461533,0.75491427883057,0.005097192684044257,-0.06716163305888073
1.5,-1.9072970598026813,-0.769881127394094,-0.893201958830485,-0.3552998143061147,-0.09626787240516985,-0.09263754905840643,0.8230991588015841,0.1727046414904234,2.216854452937477,0.7635661347553954,0.0027498772954892437,-0.06840834445969404
1.5833333333333333,-1.9579358514791414,-0.7992037578734394,-0.9315822999974253,-0.36247283813926157,-0.09180552073051662,-0.09308811760318703,0.8344846269984829,0.17967954850262982,2.290094405860534,0.7893155754262662,0.0021705798366562236,-0.06771294523483923
1.6666666666666665,-2.015961708034291,-0.8322012460519985,-0.9337341742848341,-0.3677516304530689,-0.10232350970526917,-0.09261409283695544,0.8452873877363423,0.18740643168973098,2.3362088130004715,0.8197691107930022,0.0003098477365022262,-0.06893235835111342
1.75,-2.0560771620887066,-0.8448902619300707,-0.9862087941468783,-0.3794217854830309,-0.10092989273238454,-0.08800990243568685,0.886812555681256,0.19520618678177612,2.4167822971097284,0.8541530086801495,-6.991562883024898e-05,-0.06886611638296801
1.8333333333333333,-2.090627628608423,-0.8780610394766085,-0.9891239226722977,-0.38898751699588763,-0.10764999966497982,-0.08909977926304627,0.8789949219743938,0.21036228221085226,2.468423334570709,0.877322872077097,-0.0014931469822128279,-0.06896590469701892
1.9166666666666665,-2.144607588494993,-0.8763655529227621,-1.0315260100908918,-0.39253162863121416,-0.10431275080981549,-0.08576958861071847,0.8862578468358504,0.21004852328172838,2.5433082950196413,0.8872722973589523,-0.0009849014663450915,-0.06692653204631784
