epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,1.1494042499980424,1.1494042499980424,0.0004219883498118012,0.020542355021072954,177.8891665140788,1470,0,294.11517333984375,215.58648681640625,157.33766174316406,147.4610137939453,55.72660446166992,225.75823974609375,168.8728485107422,137.7003631591797,198.44410705566406,2.6.0,3.12.6,2.2.2
499,663.9241268750047,662.7747226250067,2.0924499330911105e-06,0.0014465303083900836,13.590319951375326,1470,0,12.62567138671875,10.694819450378418,13.5748929977417,19.727741241455078,15.89328670501709,11.335025787353516,15.842264175415039,10.358658790588379,12.260519027709961,2.6.0,3.12.6,2.2.2
999,1327.124808249995,663.2006813749904,1.3733840208625551e-06,0.0011719146815628496,11.431108792622883,1470,0,10.287999153137207,10.175843238830566,10.925155639648438,16.23940658569336,12.369403839111328,10.05245590209961,11.641558647155762,10.002741813659668,11.18541431427002,2.6.0,3.12.6,2.2.2
1499,1990.271246166987,663.146437916992,1.2333114264780604e-06,0.0011105455535357657,10.8905668258667,1470,0,10.144783020019531,9.970970153808594,10.587316513061523,15.592331886291504,11.23802375793457,9.34118366241455,10.733296394348145,9.995457649230957,10.411738395690918,2.6.0,3.12.6,2.2.2
1999,2656.264374541992,665.9931283750047,9.07234013096609e-07,0.0009524883270133073,9.25758499569363,1470,0,7.790775775909424,8.480012893676758,8.86165714263916,13.41763973236084,10.591933250427246,7.42787504196167,9.179926872253418,8.393625259399414,9.174818992614746,2.6.0,3.12.6,2.2.2
2499,3322.3797917499905,666.1154172079987,7.187943205602771e-07,0.0008478173863281391,8.204433017306858,1470,0,6.877308368682861,7.436425685882568,7.88002872467041,11.717430114746094,9.578939437866211,6.716630458831787,8.267387390136719,7.324673175811768,8.0410737991333,2.6.0,3.12.6,2.2.2
2999,3991.8006832500105,669.4208915000199,5.265895520498977e-07,0.0007256649034161,6.967998928493924,1470,0,5.834399700164795,6.100644111633301,6.940227031707764,10.93005084991455,8.554931640625,5.740029811859131,6.839864730834961,4.740442752838135,7.031399726867676,2.6.0,3.12.6,2.2.2
3499,4667.798728416994,675.9980451669835,4.4974243402456135e-07,0.00067062838742821,6.404541439480252,1470,0,5.317937850952148,5.465686321258545,6.695540428161621,10.463936805725098,8.12005615234375,5.245071887969971,6.094449996948242,4.043325424194336,6.194868087768555,2.6.0,3.12.6,2.2.2
3999,5337.960821042012,670.162092625018,4.0944147524457557e-07,0.0006398761405495407,6.108099407619901,1470,0,5.1417436599731445,5.290552139282227,5.999829292297363,10.06237506866455,7.842824459075928,5.080302715301514,5.661312103271484,4.015201568603516,5.878753662109375,2.6.0,3.12.6,2.2.2
4499,6002.995958042011,665.0351369999989,3.923076858767808e-07,0.0006263447021223863,5.988758299085829,1470,0,5.191711902618408,5.209455490112305,5.872154712677002,9.835893630981445,7.596358776092529,5.026557445526123,5.5457024574279785,4.003747940063477,5.617242336273193,2.6.0,3.12.6,2.2.2
4999,6669.179215542012,666.1832575000008,3.8860270433979414e-07,0.000623380064118026,5.954809930589464,1470,0,5.048837661743164,5.1732964515686035,5.846640110015869,9.785242080688477,7.597779750823975,5.035722255706787,5.523817539215088,3.998591899871826,5.583361625671387,2.6.0,3.12.6,2.2.2
