T,"E[D(0,T)]_mc","P(0,T)_curve",abs_error,rel_error_pct
0.08333333333333333,0.9964333401993009,1.0,0.0035666598006991457,0.35666598006991457
0.16666666666666666,0.992662099407164,1.0,0.007337900592836011,0.7337900592836011
0.25,0.9922531112345904,1.0,0.007746888765409632,0.7746888765409632
0.3333333333333333,0.9991221778601397,1.0,0.0008778221398603181,0.08778221398603181
0.41666666666666663,1.014311086919976,1.0,0.014311086919976068,1.4311086919976068
0.5,1.0385330915043482,1.0,0.03853309150434825,3.853309150434825
0.5833333333333333,1.0725348243678294,0.986555618627307,0.08597920574052242,8.715089561818507
0.6666666666666666,1.1169002945097417,0.986555618627307,0.1303446758824347,13.212096046221522
0.75,1.172165738208986,0.986555618627307,0.18561011958167906,18.813953929930165
0.8333333333333333,1.2383612478245294,0.986555618627307,0.2518056291972224,25.523713457492097
0.9166666666666666,1.316000927594398,0.986555618627307,0.329445308967091,33.39348565319419
1.0,1.4055893202004441,0.986555618627307,0.41903370157313713,42.47441235560347
1.0833333333333333,1.5075743275821205,0.986555618627307,0.5210187089548135,52.811894141331706
1.1666666666666665,1.6229544222895878,0.986555618627307,0.6363988036622807,64.50713894344504
1.25,1.7529192924604409,0.986555618627307,0.7663636738331339,77.68073683462995
1.3333333333333333,1.8986469594456288,0.986555618627307,0.9120913408183218,92.4520953098828
1.4166666666666665,2.0614179505896395,0.986555618627307,1.0748623319623325,108.95101215458034
1.5,2.242833552044158,0.986555618627307,1.256277933416851,127.33979815196182
1.5833333333333333,2.444589858546103,0.9658801517880685,1.4787097067580341,153.09453290044308
1.6666666666666665,2.6684872944608906,0.9658801517880685,1.702607142672822,176.27519724066187
1.75,2.9165784085707886,0.9658801517880685,1.95069825678272,201.9606938988781
1.8333333333333333,3.191087364209625,0.9658801517880685,2.2252072124215565,230.38129609581284
1.9166666666666665,3.4944625937528064,0.9658801517880685,2.528582441964738,261.7904961897958
2.0,3.8294674713391577,0.9658801517880685,2.863587319551089,296.4743932515772
2.083333333333333,4.199236674035472,0.9658801517880685,3.233356522247403,334.7575282773654
2.1666666666666665,4.607164229110665,0.9658801517880685,3.641284077322596,376.99129344171047
2.25,5.056947604220263,0.9658801517880685,4.091067452432195,423.5584968651316
2.333333333333333,5.552670437148343,0.9658801517880685,4.586790285360275,474.8819278322533
2.4166666666666665,6.098836031871488,0.9658801517880685,5.132955880083419,531.4278247235048
2.5,6.700406020352466,0.9658801517880685,5.734525868564397,593.7098777678015
2.583333333333333,7.362845320590355,0.9413942099015293,6.421451110688826,682.12137308137
2.6666666666666665,8.09217181043161,0.9413942099015293,7.1507776005300805,759.5943893980459
2.75,8.895010999049758,0.9413942099015293,7.953616789148228,844.876323382123
2.833333333333333,9.77865621595161,0.9413942099015293,8.83726200605008,938.741912059823
2.9166666666666665,10.75113486665666,0.9413942099015293,9.80974065675513,1042.0438699937656
3.0,11.821281357031584,0.9413942099015293,10.879887147130054,1155.7206357013922
3.083333333333333,12.998817348755964,0.9413942099015293,12.057423138854434,1280.8048968259166
3.1666666666666665,14.29444007499371,0.9413942099015293,13.35304586509218,1418.4329715060517
3.25,15.719919518566947,0.9413942099015293,14.778525308665417,1569.8551311688293
3.333333333333333,17.288205335439834,0.9413942099015293,16.346811125538306,1736.4469585221048
3.4166666666666665,19.013544494850386,0.9413942099015293,18.072150284948858,1919.721843927553
3.5,20.911610704782678,0.9413942099015293,19.97021649488115,2121.3447336764534
3.583333333333333,22.99964679853512,0.9121496039936597,22.087497194541463,2421.4774745103095
3.6666666666666665,25.296621375884285,0.9121496039936597,24.384471771890627,2673.2974136181415
3.75,27.823401121838664,0.9121496039936597,26.911251517845006,2950.311155102147
3.833333333333333,30.602940368398528,0.9121496039936597,29.69079076440487,3255.0352085238915
3.9166666666666665,33.66048962138081,0.9121496039936597,32.74834001738715,3590.2378155957385
4.0,37.02382494665454,0.9121496039936597,36.11167534266088,3958.964098055114
4.083333333333333,40.72350029962804,0.9121496039936597,39.81135069563438,4364.563720833574
4.166666666666666,44.793125090255394,0.9121496039936597,43.88097548626173,4810.721321824611
4.25,49.26966950507942,0.9121496039936597,48.35751990108576,5301.489984686973
4.333333333333333,54.193800359985595,0.9121496039936597,53.28165075599193,5841.328058764611
4.416666666666666,59.610250534694536,0.9121496039936597,58.698100930700875,6435.139660610858
4.5,65.56822534509195,0.9121496039936597,64.65607574109829,7088.31922504981
4.583333333333333,72.12184954505318,0.8797796065430666,71.24206993851011,8097.717815765567
4.666666666666666,79.33065901851586,0.8797796065430666,78.45087941197279,8917.105923861
4.75,87.26014162853788,0.8797796065430666,86.38036202199481,9818.40922198807
4.833333333333333,95.98233213664219,0.8797796065430666,95.10255253009912,10809.815529117255
4.916666666666666,105.57646659694598,0.8797796065430666,104.69668699040291,11900.331197922333
5.0,116.12970216986649,0.8797796065430666,115.24992256332342,13099.862932283344
5.083333333333333,127.73790889449423,0.8797796065430666,126.85812928795116,14419.307783959328
5.166666666666666,140.50654061242804,0.8797796065430666,139.626761005885,15870.65214599857
5.25,154.55159295491035,0.8797796065430666,153.6718133483673,17467.080642184083
5.333333333333333,170.0006570960223,0.8797796065430666,169.12087748947926,19223.09590171212
5.416666666666666,186.99407884467593,0.8797796065430666,186.11429923813287,21154.650307187167
5.5,205.68623360508437,0.8797796065430666,204.80645399854131,23279.290912787907
5.583333333333333,226.24692878798768,0.8459365812872538,225.40099220670044,26645.140686989784
5.666666666666666,248.862946412729,0.8459365812872538,248.01700983144175,29318.629235070624
5.75,273.7397399138286,0.8459365812872538,272.8938033325413,32259.369008168604
5.833333333333333,301.1033005665611,0.8459365812872538,300.2573639852738,35494.07492561381
5.916666666666666,331.2022104869333,0.8459365812872538,330.35627390564605,39052.13241906929
6.0,364.30990085637876,0.8459365812872538,363.4639642750915,42965.86438217529
6.083333333333333,400.7271358858341,0.8459365812872538,399.88119930454684,47270.824805336044
6.166666666666666,440.78474508457344,0.8459365812872538,439.93880850328617,52006.12176315101
6.25,484.84662865488286,0.8459365812872538,484.0006920735956,57214.77268864485
6.333333333333333,533.3130633148457,0.8459365812872538,532.4671267335585,62944.09516175648
6.416666666666666,586.6243385807273,0.8459365812872538,585.7784019994401,69246.13676217508
6.5,645.2647565424782,0.8459365812872538,644.4188199611909,76178.14789148672
6.583333333333333,709.7670314680055,0.8114121011701121,708.9556193668353,87373.06460483797
6.666666666666666,780.7171292040691,0.8114121011701121,779.905717102899,96117.09216293684
6.75,858.7595903369598,0.8114121011701121,857.9481782357897,105735.19633224218
6.833333333333333,944.603385470796,0.8114121011701121,943.7919733696258,116314.75202410867
6.916666666666666,1039.0283558152519,0.8114121011701121,1038.2169437140817,127951.86838067876
7.0,1142.8922975917326,0.8114121011701121,1142.0808854905624,140752.26187083026
7.083333333333333,1257.1387546157255,0.8114121011701121,1256.3273425145553,154832.216663129
7.166666666666666,1382.8055898464315,0.8114121011701121,1381.9941777452614,170319.6410002181
7.25,1521.0344137712411,0.8114121011701121,1520.223001670071,187355.22917119486
7.333333333333333,1673.0809552764802,0.8114121011701121,1672.26954317531,206093.73963782183
7.416666666666666,1840.3264692177777,0.8114121011701121,1839.5150571166075,226705.40092560858
7.5,2024.290284321237,0.8114121011701121,2023.478872220067,249377.45805147238
7.583333333333333,2226.6436054058313,0.7766148685478615,2225.8669905372835,286611.4313133456
7.666666666666666,2449.224695312225,0.7766148685478615,2448.448080443677,315271.8521886995
7.75,2694.055574457068,0.7766148685478615,2693.27895958852,346797.2438674135
7.833333333333333,2963.3603897185385,0.7766148685478615,2962.5837748499907,381473.99629233486
7.916666666666666,3259.5856195238443,0.7766148685478615,3258.8090046552966,419617.1276953168
8.0,3585.422298690206,0.7766148685478615,3584.645683821658,461573.1463555854
8.083333333333332,3943.8304649191386,0.7766148685478615,3943.053850050591,507723.1984269673
8.166666666666666,4338.066049026299,0.7766148685478615,4337.289434157751,558486.5304301665
8.25,4771.710453189064,0.7766148685478615,4770.933838320516,614324.2978648291
8.333333333333332,5248.703085913123,0.7766148685478615,5247.926471044575,675743.7545404339
8.416666666666666,5773.377149279411,0.7766148685478615,5772.6005344108635,743302.8606836552
8.5,6350.499003577828,0.7766148685478615,6349.7223887092805,817615.3516841864
8.583333333333332,6985.311466932665,0.7419439627297048,6984.569522969935,941387.7427174997
8.666666666666666,7683.581443271771,0.7419439627297048,7682.839499309041,1035501.3161698778
8.75,8451.652311312022,0.7419439627297048,8450.910367349292,1139022.7283819837
8.833333333333332,9296.501550484682,0.7419439627297048,9295.759606521951,1252892.4114863996
8.916666666666666,10225.804127298878,0.7419439627297048,10225.062183336147,1378144.805669267
9.0,11248.002217971616,0.7419439627297048,11247.260274008886,1515917.7564608527
9.083333333333332,12372.381900714072,0.7419439627297048,12371.639956751342,1667462.8514038352
9.166666666666666,13609.15751437923,0.7419439627297048,13608.4155704165,1834156.7900019614
9.25,14969.564449820358,0.7419439627297048,14968.822505857628,2017513.8902384832
9.333333333333332,16465.961216916116,0.7419439627297048,16465.219272953385,2219199.845278851
9.416666666666666,18111.941714482204,0.7419439627297048,18111.199770519474,2441046.855329357
9.5,19922.458722976666,0.7419439627297048,19921.716779013936,2685070.272115895
9.583333333333332,21913.959741858725,0.7078425175413511,21913.251899341183,3095780.6795013617
9.666666666666666,24104.53640560482,0.7078425175413511,24103.828563087278,3405252.9998919102
9.75,26514.08883574006,0.7078425175413511,26513.38099322252,3745660.9819533266
9.833333333333332,29164.506421928098,0.7078425175413511,29163.798579410555,4120097.035242991
9.916666666666666,32079.866674411012,0.7078425175413511,32079.15883189347,4531962.694656789
10.0,35286.65395425867,0.7078425175413511,35285.94611174113,4984999.521405519
