tau,G_mean,G_std,G_min,G_max,pct_neg,pct_lt001,pct_lt005
1.0,0.05329832939500435,0.0014669473983506458,0.04886733092194781,0.055964223017513234,0.0,0.0,1.7006802721088436
2.0,0.09607387747830137,0.0053500320776031065,0.08898191970254804,0.11256558480692222,0.0,0.0,0.0
3.0,0.1533783213684857,0.008547116318288195,0.1413477147832123,0.18008556575872495,0.0,0.0,0.0
4.0,0.20753969663860636,0.00930667015227038,0.19380793314959827,0.23706175829588164,0.0,0.0,0.0
5.0,0.2507358534607516,0.008800265600934125,0.23739227278735164,0.2788539779471169,0.0,0.0,0.0
6.0,0.28183201746224185,0.007898895465452386,0.26963209414858735,0.3071863438388984,0.0,0.0,0.0
7.0,0.30246880050825414,0.006985816269276968,0.2915629572372151,0.32496682758466805,0.0,0.0,0.0
8.0,0.31503496290974203,0.00618943785772433,0.30532186541625905,0.33502214307917266,0.0,0.0,0.0
9.0,0.32178724090091626,0.005536615945529996,0.31308629473173516,0.3397055953245015,0.0,0.0,0.0
10.0,0.3245484233194724,0.005017804491196725,0.3166714737752018,0.3408151348133319,0.0,0.0,0.0
11.0,0.3246735533672836,0.004612239444274529,0.3174524873142921,0.3396434625709662,0.0,0.0,0.0
12.0,0.3231191298616521,0.004297693403733668,0.31641408553815026,0.33707908100910033,0.0,0.0,0.0
13.0,0.320536263972681,0.004054141916054101,0.31423547083090275,0.3337113035219688,0.0,0.0,0.0
14.0,0.31735570905034344,0.00386487887323909,0.3113720701985105,0.32991896582737,0.0,0.0,0.0
15.0,0.31385525192495506,0.003716547472035202,0.30812204231477835,0.3259380657037688,0.0,0.0,0.0
16.0,0.31020939616286397,0.00359874594412954,0.30467612071070665,0.32191034004547625,0.0,0.0,0.0
17.0,0.30652443696456133,0.0035035122252617392,0.3011532455522189,0.31791682757358275,0.0,0.0,0.0
18.0,0.30286252024750254,0.003424822606967065,0.297625271617437,0.3140004317016257,0.0,0.0,0.0
19.0,0.29925780219455494,0.003358156838368911,0.2941337359833192,0.3101807672408134,0.0,0.0,0.0
20.0,0.2957271193074093,0.0033001427209992944,0.29070104727536605,0.3064637469723146,0.0,0.0,0.0
21.0,0.29227692449000336,0.0032482757519714887,0.28733784340309065,0.30284765512528955,0.0,0.0,0.0
22.0,0.2889077232534906,0.0032007028588744444,0.28404776013110616,0.2993269122624728,0.0,0.0,0.0
23.0,0.2856168579195998,0.003156057992922553,0.2808304723733513,0.29589434478243726,0.0,0.0,0.0
24.0,0.282400213187039,0.003113338339311146,0.2776835962034641,0.2925424997776071,0.0,0.0,0.0
25.0,0.27925322620888193,0.0030718116858625237,0.2746038478456385,0.2892643604716774,0.0,0.0,0.0
26.0,0.2761714547061505,0.003030947368928777,0.27158772410455945,0.28605369306526357,0.0,0.0,0.0
27.0,0.27315086933607147,0.0029903648988272085,0.2686318791972389,0.282905173333588,0.0,0.0,0.0
28.0,0.2701879782440237,0.0029497957639953477,0.26573331273248757,0.2798143871133877,0.0,0.0,0.0
29.0,0.2672798530978218,0.002909055022661752,0.26288944336298886,0.2767777634816626,0.0,0.0,0.0
30.0,0.2644241004794625,0.0028680201486067924,0.2600981159480024,0.27379247658823636,0.0,0.0,0.0
