ccy,rmse_bps,n
AUD,0.11834060766677369,170
CAD,0.10597030762608402,164
DKK,0.12065692625145004,168
EUR,0.18841386049307152,170
GBP,0.12200321026233397,127
JPY,0.12724342621218912,170
NOK,0.11347281142831435,169
SEK,0.11345530518477939,170
USD,0.13037191111946825,162
