tau1,error,abs_error
1.0,-0.028016863623088757,0.028016863623088757
1.0,-0.028987346809369305,0.028987346809369305
1.0,-0.02776274161013393,0.02776274161013393
1.0,-0.026043981528104068,0.026043981528104068
1.0,-0.023508352677250544,0.023508352677250544
1.0,-0.021537001529311935,0.021537001529311935
1.0,-0.022266657580135366,0.022266657580135366
1.0,-0.01914848862710923,0.01914848862710923
1.0,-0.01811695831993023,0.01811695831993023
1.0,-0.020766394177712068,0.020766394177712068
1.0,-0.022243147243648585,0.022243147243648585
1.0,-0.024400324831959107,0.024400324831959107
1.0,-0.023361452339195538,0.023361452339195538
1.0,-0.023114939474599548,0.023114939474599548
1.0,-0.024173144293934516,0.024173144293934516
1.0,-0.023259448718098118,0.023259448718098118
1.0,-0.021027041375384116,0.021027041375384116
1.0,-0.024681941604674427,0.024681941604674427
1.0,-0.022912178641106305,0.022912178641106305
1.0,-0.02356989705880827,0.02356989705880827
1.0,-0.01976014947831027,0.01976014947831027
1.0,-0.021741943257219953,0.021741943257219953
1.0,-0.021315707375461942,0.021315707375461942
1.0,-0.018991442099054137,0.018991442099054137
1.0,-0.019060803727714598,0.019060803727714598
1.0,-0.019914484833878802,0.019914484833878802
1.0,-0.02096825613577595,0.02096825613577595
1.0,-0.01949573461585674,0.01949573461585674
1.0,-0.017105154345470594,0.017105154345470594
1.0,-0.017609686255581736,0.017609686255581736
1.0,-0.017119789608524484,0.017119789608524484
1.0,-0.017587918173970173,0.017587918173970173
1.0,-0.017717866429501447,0.017717866429501447
1.0,-0.018975194927942172,0.018975194927942172
1.0,-0.019371535632538378,0.019371535632538378
1.0,-0.022098546095874156,0.022098546095874156
1.0,-0.02399129221988537,0.02399129221988537
1.0,-0.023581249015820795,0.023581249015820795
1.0,-0.022301154061830208,0.022301154061830208
1.0,-0.021433271042154155,0.021433271042154155
1.0,-0.024054854929680587,0.024054854929680587
1.0,-0.025630847122777325,0.025630847122777325
1.0,-0.025221179576723166,0.025221179576723166
1.0,-0.028764058755852785,0.028764058755852785
1.0,-0.02761714945377588,0.02761714945377588
1.0,-0.028656329744429596,0.028656329744429596
1.0,-0.031282660847442176,0.031282660847442176
1.0,-0.03116057710410922,0.03116057710410922
1.0,-0.02896695198782512,0.02896695198782512
1.0,-0.02876822659017617,0.02876822659017617
1.0,-0.028320977065451176,0.028320977065451176
1.0,-0.02580614981012991,0.02580614981012991
1.0,-0.02394477195696993,0.02394477195696993
1.0,-0.02319014880596088,0.02319014880596088
1.0,-0.022804743320422614,0.022804743320422614
1.0,-0.02086434944921537,0.02086434944921537
1.0,-0.022017777416218402,0.022017777416218402
1.0,-0.02119063925355878,0.02119063925355878
1.0,-0.019209026669066556,0.019209026669066556
1.0,-0.016994924475535522,0.016994924475535522
1.0,-0.013691058243085974,0.013691058243085974
1.0,-0.01538279568882053,0.01538279568882053
1.0,-0.014634081037941008,0.014634081037941008
1.0,-0.01607926597844051,0.01607926597844051
1.0,-0.017298498163442904,0.017298498163442904
1.0,-0.01933488912313594,0.01933488912313594
1.0,-0.017380685313207522,0.017380685313207522
1.0,-0.01775667321360459,0.01775667321360459
1.0,-0.0160509589806275,0.0160509589806275
1.0,-0.016662335668125007,0.016662335668125007
1.0,-0.016204572707773465,0.016204572707773465
1.0,-0.016955521776971266,0.016955521776971266
1.0,-0.014765577340009675,0.014765577340009675
1.0,-0.013144674067523305,0.013144674067523305
1.0,-0.013418423911272969,0.013418423911272969
