as_of_date,ccy,z_1,z_2
2019-08-30,AUD,0.023931658,-0.0028757455
2019-09-30,AUD,0.025149185,-0.0036025955
2019-10-31,AUD,0.026931686,-0.004241898
2019-11-29,AUD,0.02624177,-0.0023765906
2019-12-31,AUD,0.032434177,-0.0027380001
2020-01-31,AUD,0.024040898,-0.0020542052
2020-02-28,AUD,0.019846808,-0.002015136
2020-03-31,AUD,0.017442277,-0.00062386954
2020-04-30,AUD,0.021353394,0.0042036143
2020-05-29,AUD,0.020954486,0.0042648935
2020-06-30,AUD,0.021774756,0.0053028334
2020-07-31,AUD,0.019899344,0.005126147
2020-08-31,AUD,0.023660867,0.007177924
2020-09-30,AUD,0.021610336,0.007134476
2020-10-30,AUD,0.022734275,0.008702361
2020-11-30,AUD,0.026410442,0.010141701
2020-12-31,AUD,0.027694097,0.010533178
2021-01-29,AUD,0.03166734,0.0118577955
2021-02-26,AUD,0.042574085,0.012936045
2021-03-31,AUD,0.04467057,0.013893693
2021-04-30,AUD,0.042932633,0.013449952
2021-05-31,AUD,0.04213508,0.013007748
2021-06-30,AUD,0.037525948,0.010083093
2021-07-30,AUD,0.032020073,0.009315295
2021-08-31,AUD,0.032662485,0.00916045
2021-09-30,AUD,0.037599567,0.009578757
2021-10-29,AUD,0.043196507,0.00038652224
2021-11-30,AUD,0.040411327,0.0011053751
2021-12-31,AUD,0.0393505,0.000180575
2022-01-31,AUD,0.041421115,-0.0030297213
2022-02-28,AUD,0.045211747,-0.003654345
2022-03-31,AUD,0.054580085,-0.013544976
2022-04-29,AUD,0.06107927,-0.022645906
2022-05-31,AUD,0.061998174,-0.026229583
2022-06-30,AUD,0.066247314,-0.032425273
2022-07-29,AUD,0.058225095,-0.02900367
2022-08-31,AUD,0.066655874,-0.035071872
2022-09-30,AUD,0.06957909,-0.041008838
2022-10-31,AUD,0.0738459,-0.039933212
2022-11-30,AUD,0.0657,-0.036051273
2022-12-30,AUD,0.0730481,-0.03995871
2023-01-31,AUD,0.06680402,-0.036103275
