expiry,tenor,F0_bp,mean_SR_bp,mean_minus_F0_bp,std_SR_bp,p5_SR_bp,p95_SR_bp,skew,n_finite
1,1,0.0,307420668008318.0,307420668008318.0,1707118612898731.0,-10000.0,5719184465.0,5.459,4515
1,5,227.9,111457.5,111229.6,3497673.8,-10000.0,23423.9,39.791,2858
1,10,325.2,103450.8,103125.6,3666147.4,-9932.1,21383.7,40.123,2385
5,1,-1082.3,3846.8,4929.1,13667.4,-6812.4,21371.5,0.502,5000
5,5,0.0,3846.8,3846.8,13667.4,-6812.4,21371.5,0.502,5000
5,10,200.6,3846.8,3646.1,13667.4,-6812.4,21371.5,0.502,5000
10,1,-2825.1,3846.8,6671.9,13667.4,-6812.4,21371.5,0.502,5000
10,5,-366.9,3846.8,4213.7,13667.4,-6812.4,21371.5,0.502,5000
10,10,0.0,3846.8,3846.8,13667.4,-6812.4,21371.5,0.502,5000
