epoch,time_total_sec,loss_vol,loss_bias,lambda_0_norm,sigma_mean,swaption_priced_frac,path_finite_frac,lr
0,9.1,9.0975661277771,13.865227699279785,1.519071815891948e-06,0.1652984768152237,1.0,0.87518310546875,6.860000000000001e-06
1,18.3,7.919367074966431,11.675867319107056,4.92457184009254e-05,0.165281280875206,1.0,0.8695068359375,1.3520000000000003e-05
2,27.5,7.3092039823532104,12.851262092590332,0.00011932336201425642,0.16524824500083923,1.0,0.87579345703125,2.0180000000000007e-05
3,36.2,7.793391227722168,10.60306429862976,0.0001645223965169862,0.16520413756370544,1.0,0.88214111328125,2.684000000000001e-05
4,45.3,6.995112299919128,11.603407621383667,0.0001345433556707576,0.1651618629693985,1.0,0.87738037109375,3.3500000000000015e-05
5,54.2,7.360342979431152,9.371683239936829,0.0001145146889030002,0.1651143580675125,1.0,0.87896728515625,4.0160000000000015e-05
6,63.3,7.543653607368469,12.21655011177063,0.0001348767546005547,0.1650497317314148,1.0,0.878662109375,4.6820000000000016e-05
7,72.5,6.9220216274261475,14.08482575416565,0.0001574202033225447,0.16503065824508667,1.0,0.86846923828125,5.3480000000000017e-05
8,81.9,8.383361339569092,12.461979150772095,0.00017689878586679697,0.16496491432189941,1.0,0.87164306640625,6.014000000000002e-05
9,91.1,7.405308246612549,12.209198713302612,0.00024388344900216907,0.1648944914340973,1.0,0.87103271484375,6.680000000000002e-05
10,100.7,7.4955971240997314,11.442195773124695,0.0003655901819001883,0.1648106724023819,1.0,0.8671875,7.346000000000002e-05
11,109.6,8.889254331588745,12.83052134513855,0.0004603709385264665,0.16472944617271423,1.0,0.87689208984375,8.012000000000003e-05
12,119.4,5.430004239082336,10.374113917350769,0.0005369078717194498,0.16460472345352173,1.0,0.87109375,8.678000000000003e-05
13,128.7,6.041308164596558,11.588963747024536,0.0006311089964583516,0.16443200409412384,1.0,0.87640380859375,9.344000000000004e-05
14,138.4,5.977793395519257,8.053979396820068,0.0007074879249557853,0.16428479552268982,1.0,0.86627197265625,0.00010010000000000003
15,147.8,8.504981756210327,13.887863874435425,0.0007559564546681941,0.16417765617370605,1.0,0.87713623046875,0.00010676000000000003
16,156.9,8.06748652458191,14.661236763000488,0.000770129612646997,0.1641518771648407,1.0,0.8826904296875,0.00011342000000000004
17,166.8,6.150316953659058,12.8795166015625,0.000872319913469255,0.16397200524806976,1.0,0.8670654296875,0.00012008000000000003
18,176.7,7.26444149017334,13.00491738319397,0.0010673458455130458,0.1637517511844635,1.0,0.86865234375,0.00012674000000000005
19,186.0,8.6695636510849,10.515461564064026,0.0012886112090200186,0.1635163128376007,1.0,0.8753662109375,0.00013340000000000007
20,194.6,8.475932478904724,9.966104745864868,0.001472826232202351,0.1632954627275467,1.0,0.88043212890625,0.0001400600000000001
21,204.1,6.4992029666900635,11.088952541351318,0.0016260542906820774,0.16304844617843628,1.0,0.8709716796875,0.00014672000000000009
22,212.9,7.117763042449951,9.12985348701477,0.001816197414882481,0.16289442777633667,1.0,0.87347412109375,0.00015338000000000008
23,222.0,6.701305031776428,8.90330708026886,0.001926305703818798,0.16277886927127838,1.0,0.87176513671875,0.00016004000000000007
24,230.3,11.4458327293396,7.010976493358612,0.0019482786301523447,0.16259968280792236,1.0,0.8887939453125,0.00016670000000000007
25,239.1,7.947243094444275,8.068013370037079,0.001932956394739449,0.16244512796401978,1.0,0.8787841796875,0.00017336000000000006
26,247.9,8.13024240732193,10.611941576004028,0.0019204583950340748,0.16229891777038574,1.0,0.8841552734375,0.00018002000000000008
27,257.9,7.6278897523880005,10.640362620353699,0.0019484591903164983,0.16226550936698914,1.0,0.8709716796875,0.0001866800000000001
28,267.3,7.37371289730072,12.595162868499756,0.002002969617024064,0.1623455137014389,1.0,0.8779296875,0.0001933400000000001
29,277.3,6.019122004508972,10.971346378326416,0.002064515370875597,0.16234581172466278,1.0,0.872802734375,0.0002
30,287.5,7.0979461669921875,12.99058747291565,0.0021783136762678623,0.1622866690158844,1.0,0.88250732421875,0.0001999994757858978
31,296.3,7.045830249786377,8.533286154270172,0.0023557967506349087,0.16231226921081543,1.0,0.88177490234375,0.00019999790314908985
32,305.6,8.257394552230835,10.782477021217346,0.002680056029930711,0.16233015060424805,1.0,0.87371826171875,0.00019999528210607237
33,314.2,8.838682532310486,14.860246419906616,0.0029798252508044243,0.16234681010246277,1.0,0.88720703125,0.00019999161268433895
34,323.9,8.96503472328186,9.235497951507568,0.00313167879357934,0.16233527660369873,1.0,0.87213134765625,0.00019998689492237997
35,333.0,10.373850584030151,11.242324471473694,0.0031924783252179623,0.16248498857021332,1.0,0.88494873046875,0.0001999811288696826
36,342.1,8.747514009475708,12.111063003540039,0.003359799971804023,0.162465900182724,1.0,0.88287353515625,0.00019997431458672996
37,351.1,8.291170120239258,11.201319932937622,0.00352360843680799,0.16233180463314056,1.0,0.87872314453125,0.0001999664521450007
38,359.9,7.408663630485535,8.018481254577637,0.003886511782184243,0.16232168674468994,1.0,0.8856201171875,0.0001999575416269681
39,368.3,12.579780101776123,10.581238150596619,0.00444396398961544,0.16233983635902405,1.0,0.894775390625,0.00019994758312609926
40,376.8,8.147133588790894,13.187628746032715,0.004867921117693186,0.16231167316436768,1.0,0.88970947265625,0.00019993657674685414
41,386.0,5.995639085769653,6.857283532619476,0.005349240731447935,0.16223828494548798,1.0,0.88421630859375,0.00019992452260468444
42,395.0,8.169203281402588,10.679613590240479,0.005616127047687769,0.16214756667613983,1.0,0.88494873046875,0.00019991142082603243
43,404.1,6.534282922744751,7.561945080757141,0.005914898123592138,0.16204214096069336,1.0,0.88336181640625,0.0001998972715483296
44,412.8,5.856718361377716,5.456133246421814,0.006156051065772772,0.1618785560131073,1.0,0.8892822265625,0.00019988207491999512
45,421.7,7.558586955070496,9.898149311542511,0.0064759510569274426,0.16179847717285156,1.0,0.888427734375,0.00019986583110043446
46,430.7,6.159573435783386,5.959179759025574,0.006850311532616615,0.1617211103439331,1.0,0.88348388671875,0.00019984854026003758
47,439.1,8.879209876060486,8.930616199970245,0.007288041058927774,0.16149814426898956,1.0,0.89459228515625,0.00019983020258017726
48,448.0,7.998496174812317,9.774972438812256,0.007601288612931967,0.16126582026481628,1.0,0.8865966796875,0.000199810818253207
49,456.8,7.0021989941596985,6.745431840419769,0.007875741459429264,0.16095586121082306,1.0,0.886962890625,0.0001997903874824593
50,465.8,8.095720171928406,8.963627457618713,0.008047455921769142,0.16073967516422272,1.0,0.8900146484375,0.00019976891048224324
51,474.3,8.029790759086609,7.8751479387283325,0.008059635758399963,0.1606408655643463,1.0,0.89794921875,0.00019974638747784242
52,483.2,6.512377619743347,6.848629355430603,0.008089946582913399,0.16052772104740143,1.0,0.892333984375,0.00019972281870551245
53,492.4,6.186104655265808,8.884894967079163,0.00819279532879591,0.16044235229492188,1.0,0.8892822265625,0.00019969820441247861
54,501.6,6.621711075305939,9.444259881973267,0.008248777128756046,0.16031555831432343,1.0,0.888916015625,0.00019967254485693325
55,510.5,7.442014098167419,7.429369211196899,0.008134985342621803,0.1601545214653015,1.0,0.89208984375,0.00019964584030803285
56,518.9,9.834191799163818,7.632473111152649,0.008332295343279839,0.1598721146583557,1.0,0.89910888671875,0.00019961809104589563
57,529.0,5.451122045516968,12.481017112731934,0.008621551096439362,0.1595935970544815,1.0,0.8843994140625,0.00019958929736159812
58,537.8,9.065344214439392,10.483938455581665,0.008837268687784672,0.15950845181941986,1.0,0.8934326171875,0.00019955945955717246
59,546.7,6.9155233502388,7.090999364852905,0.00909397192299366,0.15947048366069794,1.0,0.8936767578125,0.0001995285779456031
60,555.6,6.700774431228638,6.988240361213684,0.009320976212620735,0.15932799875736237,1.0,0.9017333984375,0.00019949665285082355
61,564.0,8.232797980308533,8.30614024400711,0.009412816725671291,0.1592448353767395,1.0,0.9002685546875,0.00019946368460771298
62,572.6,5.055345416069031,5.730507016181946,0.009330016560852528,0.159237802028656,1.0,0.89324951171875,0.0001994296735620926
63,581.5,5.577131390571594,7.371885657310486,0.009277764707803726,0.1592126339673996,1.0,0.8927001953125,0.00019939462007072218
64,590.3,6.818451404571533,9.682684898376465,0.009304027073085308,0.15905681252479553,1.0,0.89990234375,0.00019935852450129627
65,599.5,5.279375314712524,8.95769214630127,0.009354563429951668,0.1589585244655609,1.0,0.89471435546875,0.00019932138723244034
66,608.6,5.308885216712952,7.39250910282135,0.009406788274645805,0.1588861048221588,1.0,0.8895263671875,0.00019928320865370678
67,617.5,7.264728546142578,4.716890335083008,0.009481449611485004,0.1587536633014679,1.0,0.89794921875,0.00019924398916557076
68,626.0,9.48518431186676,9.017159461975098,0.009431007318198681,0.15862827003002167,1.0,0.9024658203125,0.00019920372917942621
69,635.0,9.97085428237915,6.588927268981934,0.009380972012877464,0.15851913392543793,1.0,0.89501953125,0.00019916242911758127
70,644.5,8.099211394786835,12.751766920089722,0.009516682475805283,0.15837253630161285,1.0,0.8914794921875,0.00019912008941325407
71,653.2,6.9336395263671875,7.248548865318298,0.009732481092214584,0.15827296674251556,1.0,0.89288330078125,0.00019907671051056812
72,662.4,6.374029994010925,7.531271934509277,0.009814535267651081,0.1582193821668625,1.0,0.8912353515625,0.00019903229286454753
73,671.4,5.048260807991028,4.19065934419632,0.00977796409279108,0.15816175937652588,1.0,0.89239501953125,0.0001989868369411124
74,679.9,8.14810574054718,7.846492290496826,0.009950906969606876,0.15796491503715515,1.0,0.90008544921875,0.00019894034321707386
75,688.6,5.997565984725952,7.003224492073059,0.010180333629250526,0.1578081101179123,1.0,0.899169921875,0.00019889281218012905
76,697.3,8.911004066467285,6.408751904964447,0.010489070788025856,0.15771692991256714,1.0,0.9000244140625,0.00019884424432885613
77,706.0,7.556009650230408,6.553181409835815,0.01070417370647192,0.15763446688652039,1.0,0.8995361328125,0.0001987946401727088
78,714.6,8.340733647346497,8.70967423915863,0.01084514893591404,0.15749061107635498,1.0,0.90374755859375,0.00019874400023201126
79,723.3,8.267630696296692,6.929656147956848,0.01103683840483427,0.15729431807994843,1.0,0.8992919921875,0.00019869232503795243
80,732.4,6.121778726577759,6.8467079401016235,0.01125273760408163,0.15708690881729126,1.0,0.89593505859375,0.00019863961513258072
81,741.9,5.778372228145599,7.300291121006012,0.011538714170455933,0.15693458914756775,1.0,0.893798828125,0.00019858587106879808
82,750.9,8.923177003860474,6.132023334503174,0.011816861107945442,0.15679609775543213,1.0,0.89599609375,0.0001985310934103543
83,759.3,6.387362718582153,4.758637368679047,0.012233491986989975,0.15655992925167084,1.0,0.90594482421875,0.00019847528273184107
84,769.1,5.750455558300018,11.187216997146606,0.012806901708245277,0.15623356401920319,1.0,0.8966064453125,0.00019841843961868606
85,779.1,4.604966163635254,10.133619904518127,0.013248524628579617,0.15596647560596466,1.0,0.894775390625,0.00019836056466714656
86,788.4,6.69814658164978,7.010844111442566,0.01344927679747343,0.15586188435554504,1.0,0.9041748046875,0.00019830165848430345
87,796.9,7.316476821899414,4.423787772655487,0.013937578536570072,0.15570107102394104,1.0,0.90093994140625,0.00019824172168805474
