index,AUD,CAD,DKK,EUR,JPY,NOK,SEK,GBP,USD,All
Inverted — N,9.0,20.0,16.0,16.0,,25.0,18.0,3.0,15.0,122.0
Inverted — Avg RMSE (bps),21.0,25.26,10.96,10.97,,15.56,10.42,12.59,30.88,17.4
Inverted — Std RMSE (bps),1.97,13.49,4.54,4.29,,8.67,4.27,3.65,14.72,11.38
Normal — N,99.0,82.0,91.0,92.0,108.0,83.0,90.0,80.0,87.0,812.0
Normal — Avg RMSE (bps),10.2,6.98,9.72,12.03,17.79,8.0,10.1,9.55,10.17,10.74
Normal — Std RMSE (bps),8.28,4.37,6.4,7.52,26.98,4.99,6.03,3.08,4.98,11.68
