expiry,k,T_k,P0_Tk,MC_mean,MC_stderr,abs_err,rel_err_pct,n_valid,vol_date,pricing_date
1,0,1,0.9646208438185108,0.9690785361365938,0.0006722253860105785,0.0044576923180830175,0.46211859785622805,2815,2024-02-29,2024-02-29
1,1,2,0.9368041117303996,0.955570069186711,0.0035937913882360738,0.018765957456311377,2.0031890574912405,2815,2024-02-29,2024-02-29
1,2,3,0.9138204968620773,0.9468476574032236,0.004959190983623358,0.033027160541146294,3.614184695414101,2815,2024-02-29,2024-02-29
1,3,4,0.8931229991595468,0.9433488749620322,0.0064834890632509325,0.05022587580248539,5.623623605007295,2815,2024-02-29,2024-02-29
1,4,5,0.872254681215085,0.941740649966079,0.008512878526860748,0.069485968750994,7.966247731017885,2815,2024-02-29,2024-02-29
1,5,6,0.8510160787806312,0.9332541182429324,0.01009635460868308,0.08223803946230113,9.663511831660687,2815,2024-02-29,2024-02-29
1,6,7,0.8295530644832392,0.9192532037947655,0.011515896733899272,0.08970013931152632,10.81306828363102,2815,2024-02-29,2024-02-29
1,7,8,0.8079340206422989,0.8992098241844899,0.012309398002917766,0.091275803542191,11.297432860869964,2815,2024-02-29,2024-02-29
1,8,9,0.7862422586249573,0.8777378833247411,0.012802312906214332,0.09149562469978378,11.637077973880285,2815,2024-02-29,2024-02-29
1,9,10,0.7646375894140635,0.8575866011646469,0.0132385791169916,0.09294901175058345,12.155956369057092,2815,2024-02-29,2024-02-29
1,10,11,0.7433376426886681,0.838698319357009,0.013618077476833353,0.09536067666834092,12.82871621076787,2815,2024-02-29,2024-02-29
5,0,5,0.872254681215085,0.7918748933359694,0.0030330399923689656,-0.0803797878791156,-9.215174146975444,2506,2024-02-29,2024-02-29
5,1,6,0.8510160787806312,0.7533170622213329,0.003820541280721206,-0.09769901655929836,-11.480278574675733,2506,2024-02-29,2024-02-29
5,2,7,0.8295530644832392,0.7248492343829265,0.004661645949303494,-0.1047038301003127,-12.621715786866122,2506,2024-02-29,2024-02-29
5,3,8,0.8079340206422989,0.7025342015383287,0.005681080611513976,-0.10539981910397023,-13.045597339765257,2506,2024-02-29,2024-02-29
5,4,9,0.7862422586249573,0.6815644497751022,0.006970472378196934,-0.10467780884985511,-13.313683880706686,2506,2024-02-29,2024-02-29
5,5,10,0.7646375894140635,0.6651877528057376,0.009090751326146982,-0.09944983660832585,-13.006140161711585,2506,2024-02-29,2024-02-29
5,6,11,0.7433376426886681,0.6465029938600624,0.010731980058634074,-0.09683464882860571,-13.027007280077022,2506,2024-02-29,2024-02-29
5,7,12,0.7225696294499839,0.6266180724949115,0.011696402735140382,-0.0959515569550724,-13.279212555350577,2506,2024-02-29,2024-02-29
5,8,13,0.7025283537909259,0.6057421204753538,0.012383890850527471,-0.09678623331557212,-13.776843709339584,2506,2024-02-29,2024-02-29
5,9,14,0.6833527997629232,0.5853290208280443,0.012780240871689122,-0.0980237789348789,-14.344534619436178,2506,2024-02-29,2024-02-29
5,10,15,0.6651204026910145,0.5674904713267691,0.013121556802476356,-0.09762993136424536,-14.678535039557326,2506,2024-02-29,2024-02-29
10,0,10,0.7646375894140635,0.628672761176507,0.005938033320959778,-0.1359648282375565,-17.78160400690547,2388,2024-02-29,2024-02-29
10,1,11,0.7433376426886681,0.5956809108719591,0.006351035358859908,-0.14765673181670902,-19.864019166664487,2388,2024-02-29,2024-02-29
10,2,12,0.7225696294499839,0.5695769642567536,0.007208921608692379,-0.1529926651932303,-21.17341484580351,2388,2024-02-29,2024-02-29
10,3,13,0.7025283537909259,0.5461581306889876,0.007717706023851638,-0.15637022310193838,-22.258208121870982,2388,2024-02-29,2024-02-29
10,4,14,0.6833527997629232,0.5238215318101287,0.008321808120778682,-0.1595312679527945,-23.345374162239615,2388,2024-02-29,2024-02-29
10,5,15,0.6651204026910145,0.5044547439649142,0.00919564928846174,-0.16066565872610028,-24.15587584985548,2388,2024-02-29,2024-02-29
10,6,16,0.6478532858993655,0.4879861494750221,0.010504024118173203,-0.15986713642434341,-24.676441395587275,2388,2024-02-29,2024-02-29
10,7,17,0.6315304276795536,0.4737301945190874,0.012097807296115466,-0.1578002331604662,-24.986956486051692,2388,2024-02-29,2024-02-29
10,8,18,0.6161012244791136,0.45802801096100976,0.012884218967956346,-0.15807321351810388,-25.657019859317405,2388,2024-02-29,2024-02-29
10,9,19,0.6014977428757189,0.44322443784415577,0.013383970660437571,-0.15827330503156312,-26.313200158469332,2388,2024-02-29,2024-02-29
10,10,20,0.5876444437680661,0.4304105867377344,0.013820469731818668,-0.15723385703033171,-26.756631275559105,2388,2024-02-29,2024-02-29
1,0,1,1.0013921417641634,0.9756638833428921,0.0007550251855386452,-0.025728258421271244,-2.569249083175897,2512,2022-03-31,2022-03-31
1,1,2,0.9926065923483621,0.9673166917740859,0.0033515736826429682,-0.02528990057427627,-2.547827182413131,2512,2022-03-31,2022-03-31
1,2,3,0.9792216765956692,0.9663558172433131,0.005271115576968326,-0.012865859352356068,-1.313886289474831,2512,2022-03-31,2022-03-31
1,3,4,0.9656288253914118,0.9749165796251947,0.007667709061916218,0.009287754233782919,0.9618348157759462,2512,2022-03-31,2022-03-31
1,4,5,0.95171624996892,0.9828019165170985,0.0100830546890062,0.03108566654817846,3.266274643224135,2512,2022-03-31,2022-03-31
1,5,6,0.9378459470262251,0.9843200949770835,0.012086592745315896,0.04647414795085836,4.955413850027417,2512,2022-03-31,2022-03-31
1,6,7,0.9243358595719888,0.9798070839908788,0.013885979123749666,0.055471224418889964,6.001197924375211,2512,2022-03-31,2022-03-31
1,7,8,0.9112399729382761,0.9687944986717028,0.015095835819494577,0.057554525733426676,6.31606683669102,2512,2022-03-31,2022-03-31
1,8,9,0.8984841899289965,0.9536149992198625,0.015908647040182366,0.055130809290866,6.135979899125744,2512,2022-03-31,2022-03-31
1,9,10,0.8859952664497518,0.9372576446646531,0.01644901368875606,0.051262378214901316,5.78585238048883,2512,2022-03-31,2022-03-31
1,10,11,0.8737481575720739,0.9211621335842382,0.01685478986216707,0.04741397601216424,5.4265036900238774,2512,2022-03-31,2022-03-31
5,0,5,0.95171624996892,0.8109380797466696,0.0032482486964717666,-0.14077817022225037,-14.792031787504703,2412,2022-03-31,2022-03-31
5,1,6,0.9378459470262251,0.7752128668671767,0.004444194003926854,-0.16263308015904843,-17.341129497305456,2412,2022-03-31,2022-03-31
5,2,7,0.9243358595719888,0.7503666688236834,0.005645667086299885,-0.1739691907483054,-18.82099335936846,2412,2022-03-31,2022-03-31
5,3,8,0.9112399729382761,0.728157905660643,0.006784184467333571,-0.1830820672776331,-20.091531617877607,2412,2022-03-31,2022-03-31
5,4,9,0.8984841899289965,0.7063937848355165,0.007881818537515295,-0.19209040509347997,-21.379386220325156,2412,2022-03-31,2022-03-31
5,5,10,0.8859952664497518,0.684140183170628,0.008978796663178669,-0.20185508327912383,-22.782862496316937,2412,2022-03-31,2022-03-31
5,6,11,0.8737481575720739,0.6624822701625801,0.01007515753956495,-0.2112658874094938,-24.179265567385972,2412,2022-03-31,2022-03-31
5,7,12,0.861762306377572,0.6429465475624268,0.011185722792123766,-0.21881575881514526,-25.391660460868827,2412,2022-03-31,2022-03-31
5,8,13,0.850081117079043,0.6250800078003642,0.012195467190936523,-0.22500110927867878,-26.46819282985644,2412,2022-03-31,2022-03-31
5,9,14,0.8387524428293774,0.606891837756434,0.012894883990684397,-0.23186060507294348,-27.64350876771271,2412,2022-03-31,2022-03-31
5,10,15,0.8278158626281772,0.5902914712451612,0.013458598570923633,-0.23752439138301595,-28.692901659182475,2412,2022-03-31,2022-03-31
10,0,10,0.8859952664497518,0.6500695570685248,0.006319781925055635,-0.23592570938122703,-26.628326167768222,2283,2022-03-31,2022-03-31
10,1,11,0.8737481575720739,0.6154838185581586,0.006696447211429163,-0.2582643390139153,-29.558212715614403,2283,2022-03-31,2022-03-31
10,2,12,0.861762306377572,0.5918157156271316,0.007611527997524294,-0.26994659075044036,-31.32494758156272,2283,2022-03-31,2022-03-31
10,3,13,0.850081117079043,0.5710484754861135,0.008478374662841787,-0.2790326415929295,-32.82423712124219,2283,2022-03-31,2022-03-31
10,4,14,0.8387524428293774,0.5480224456030239,0.009092024880650544,-0.2907299972263535,-34.66219379887935,2283,2022-03-31,2022-03-31
10,5,15,0.8278158626281772,0.5239350309150892,0.009608133077315744,-0.303880831713088,-36.708747129864975,2283,2022-03-31,2022-03-31
10,6,16,0.8172967596719249,0.5014175729838501,0.01013854395097349,-0.3158791866880748,-38.649264535793996,2283,2022-03-31,2022-03-31
10,7,17,0.8072052793425364,0.4822018790845057,0.01076476578283653,-0.3250034002580307,-40.26279418325211,2283,2022-03-31,2022-03-31
10,8,18,0.797538088827859,0.4668807043181494,0.011476603728666934,-0.33065738450970966,-41.45976087432721,2283,2022-03-31,2022-03-31
10,9,19,0.7882813409261779,0.4540923526599292,0.012268761335953993,-0.33418898826624865,-42.39463385922581,2283,2022-03-31,2022-03-31
10,10,20,0.7794138270281014,0.4405614214621424,0.012808155240817241,-0.33885240556595897,-43.47528794273518,2283,2022-03-31,2022-03-31
1,0,1,1.0015475342528222,0.9795895266293813,0.0008285592185643744,-0.02195800762344091,-2.192407935967023,2389,2020-04-30,2020-04-30
1,1,2,1.0050518324194435,0.9730647193448574,0.0033052131369664495,-0.031987113074586127,-3.182633177990842,2389,2020-04-30,2020-04-30
1,2,3,1.010796282161096,0.976274335977888,0.006449956706715377,-0.03452194618320803,-3.4153218400645127,2389,2020-04-30,2020-04-30
1,3,4,1.0133722077583975,0.9764194977543359,0.007567743211007779,-0.03695271000406164,-3.6465091228228843,2389,2020-04-30,2020-04-30
1,4,5,1.0136212140454453,0.9822010524163365,0.009439652964862355,-0.03142016162910877,-3.0997932160188646,2389,2020-04-30,2020-04-30
1,5,6,1.0127281979038878,0.9817654921243706,0.011212014829254453,-0.030962705779517208,-3.0573559464032716,2389,2020-04-30,2020-04-30
1,6,7,1.011277196837552,0.9732961345896193,0.01262145226720994,-0.03798106224793274,-3.75575187166352,2389,2020-04-30,2020-04-30
