epoch,time_total_sec,time_interval_sec,loss_price,loss_eig,loss_l2,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_Lambda,lr_Lambda,lambda_min_KQ,Lambda_norm_fro,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,8.2,8.159,1.3593957424163818,0.0005846978165209293,4.637545818805636e-16,1.0,0.775634765625,5.2951848771837025,0,1.000000059604643,2.9975e-06,0.0016405388014391065,3.934067990485346e-06,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,47.5,39.388,0.4910544231534004,0.0005845330597367138,1.536179879582685e-14,1.0,0.738525390625,5.2951848771837025,0,1.0,5.495e-06,0.0016551683656871319,2.4164619389921427e-05,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
2,85.1,37.552,0.7920888178050518,0.0005840632366016507,1.8156139535341256e-13,1.0,0.7547607421875,5.2951848771837025,0,0.9999998807907033,7.9925e-06,0.001682397909462452,6.934065459063277e-05,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
3,121.4,36.308,0.9165544733405113,0.0005832811584696174,9.561395186881427e-13,1.0,0.7755126953125,5.2951848771837025,0,0.9999998211860497,1.0490000000000001e-05,0.001722678542137146,0.00014099244435783476,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
4,157.7,36.331,0.5522572919726372,0.0005822045495733619,3.1796604195097333e-12,1.0,0.7586669921875,5.2951848771837025,0,0.9999999403953534,1.29875e-05,0.0017746065277606249,0.00023466878337785602,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
5,194.7,36.952,1.2993335276842117,0.0005808286514366046,7.927573311347635e-12,1.0,0.756591796875,5.2951848771837025,0,0.9999998807907033,1.5485e-05,0.001840825891122222,0.00035684509202837944,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
6,231.7,37.007,1.1691372990608215,0.000579161016503349,1.7262705587911542e-11,1.0,0.74267578125,5.2951848771837025,0,0.9999998211860497,1.7982500000000003e-05,0.001911549479700625,0.0005055501242168248,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
7,268.4,36.676,0.8900736346840858,0.0005773967131972313,3.259468476374261e-11,1.0,0.767578125,5.2951848771837025,0,1.0,2.0480000000000004e-05,0.001994857331737876,0.0006749784806743264,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
8,300.1,31.702,2.4102702736854553,0.0005752224242314696,5.651175100790384e-11,1.0,0.812255859375,5.2951848771837025,0,0.9999999701976772,2.2977500000000005e-05,0.002095689531415701,0.0008690427639521658,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
9,334.8,34.755,1.773839920759201,0.0005727290263166651,9.033242903688787e-11,1.0,0.77587890625,5.2951848771837025,0,0.9999999403953534,2.547500000000001e-05,0.0022043718490749598,0.0010827590012922883,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
