date,expiry,tenor,split,sigma_mkt,sigma_cal,s_cell,path_frac,sigma_mod1,err_s1_bp,err_cal_bp
2011-05-31,10,1,train,18.3,96.7,0.1214,1.0,228.8,210.5,78.4
2011-05-31,10,5,train,17.1,65.4,0.14504,1.0,183.2,166.1,48.300000000000004
2011-05-31,10,10,train,17.5,70.3,0.18302,1.0,144.6,127.1,52.8
2011-06-30,1,1,train,40.4,312.9,0.13841,1.0,559.7,519.3000000000001,272.5
2011-06-30,1,5,train,28.2,81.0,0.15101,1.0,376.7,348.5,52.8
2011-06-30,1,10,train,23.2,33.8,0.09815,1.0,399.0,375.8,10.599999999999998
2011-06-30,5,1,train,24.0,163.3,0.1419,1.0,357.3,333.3,139.3
2011-06-30,5,5,train,19.9,71.8,0.12419,1.0,265.4,245.49999999999997,51.9
2011-06-30,5,10,train,18.6,58.1,0.1274,1.0,226.0,207.4,39.5
2011-06-30,10,1,train,16.7,100.7,0.1214,1.0,227.1,210.4,84.0
2011-06-30,10,5,train,15.7,65.8,0.14504,1.0,170.9,155.20000000000002,50.099999999999994
2011-06-30,10,10,train,16.1,68.7,0.18302,1.0,138.0,121.9,52.6
2011-07-29,1,1,train,53.8,300.3,0.13841,1.0,597.3,543.5,246.5
2011-07-29,1,5,train,34.4,99.3,0.15101,1.0,460.9,426.5,64.9
2011-07-29,1,10,train,27.9,39.2,0.09815,1.0,432.0,404.1,11.300000000000004
2011-07-29,5,1,train,27.2,157.6,0.1419,1.0,376.7,349.5,130.4
2011-07-29,5,5,train,22.0,71.5,0.12419,1.0,273.6,251.60000000000002,49.5
2011-07-29,5,10,train,20.7,65.8,0.1274,1.0,235.8,215.10000000000002,45.099999999999994
2011-07-29,10,1,train,19.0,108.6,0.1214,1.0,248.0,229.0,89.6
2011-07-29,10,5,train,17.9,68.8,0.14504,1.0,174.1,156.2,50.9
2011-07-29,10,10,train,18.8,73.3,0.18302,1.0,154.8,136.0,54.5
2011-08-31,1,1,train,75.4,308.9,0.13841,1.0,659.3,583.9,233.49999999999997
2011-08-31,1,5,train,42.4,97.7,0.15101,1.0,456.6,414.20000000000005,55.300000000000004
2011-08-31,1,10,train,33.6,38.4,0.09815,1.0,429.9,396.29999999999995,4.799999999999997
2011-08-31,5,1,train,29.2,162.4,0.1419,1.0,375.5,346.3,133.20000000000002
2011-08-31,5,5,train,23.6,78.7,0.12419,1.0,286.0,262.4,55.1
2011-08-31,5,10,train,22.2,68.6,0.1274,1.0,245.9,223.70000000000002,46.39999999999999
2011-08-31,10,1,train,20.1,107.2,0.1214,1.0,251.7,231.6,87.1
2011-08-31,10,5,train,18.7,76.7,0.14504,1.0,198.2,179.5,58.0
2011-08-31,10,10,train,19.8,80.9,0.18302,1.0,150.8,131.0,61.10000000000001
