ccy,rmse_bps,n
AUD,0.06688168525742222,170
CAD,0.06990113112726612,164
DKK,0.08474402111407676,168
EUR,0.11691801557335212,170
GBP,0.06679434408199818,127
JPY,0.10061374203435568,170
NOK,0.06633208327702904,169
SEK,0.07980395975932839,170
USD,0.08856126722115415,162
