tau,G_mean,G_std,G_min,G_max,pct_neg,pct_abs_lt001,pct_abs_lt005
1.0,-0.08524495598610426,0.021635470472633478,-0.15442748371252238,-0.05163178277092284,100.0,0.0,0.0
2.0,-0.11859733166616883,0.01868314781880531,-0.1762770075692155,-0.09119026135973335,100.0,0.0,0.0
3.0,-0.13465698516703958,0.014223889601643065,-0.17845182213749128,-0.11422735478049728,100.0,0.0,0.0
4.0,-0.14483957825561414,0.00999687827139982,-0.1758972627856732,-0.13060041476452472,100.0,0.0,0.0
5.0,-0.15223694945044594,0.006520513006462969,-0.17291578517556622,-0.1429566133756121,100.0,0.0,0.0
6.0,-0.15792131951078178,0.003870504176624237,-0.17054248523227905,-0.15235733983509847,100.0,0.0,0.0
7.0,-0.16245389692510023,0.0019563297656668916,-0.16912502013355257,-0.15955209897999922,100.0,0.0,0.0
8.0,-0.1661439466757076,0.0006681096035622941,-0.16860973155165032,-0.16495569974408641,100.0,0.0,0.0
9.0,-0.16917286370358658,0.00044795187832959393,-0.1701604940413265,-0.1679348752555898,100.0,0.0,0.0
10.0,-0.171665236792639,0.0009468436469020892,-0.17329112231505117,-0.16901625370044143,100.0,0.0,0.0
11.0,-0.17372020072678768,0.0012794483137003464,-0.17573587946818697,-0.1700906640301193,100.0,0.0,0.0
12.0,-0.17542178801523314,0.001462119546127828,-0.17763462474878566,-0.1712616350188077,100.0,0.0,0.0
13.0,-0.17684134205019036,0.0015393315792786436,-0.1791207439240191,-0.17245765094123106,100.0,0.0,0.0
14.0,-0.17803808085507203,0.001545626139917279,-0.18029755400418945,-0.17363545365137678,100.0,0.0,0.0
15.0,-0.17905983665087366,0.0015058349009542408,-0.18124384906256263,-0.17477061208942357,100.0,0.0,0.0
16.0,-0.17994429246081417,0.0014373736202723069,-0.1820188418217838,-0.17584333800014368,100.0,0.0,0.0
17.0,-0.18072052269502564,0.0013522838942956058,-0.18266644466943405,-0.17685370511101822,100.0,0.0,0.0
18.0,-0.18141059101725548,0.001258790269481666,-0.18321884533200494,-0.1778063896819434,100.0,0.0,0.0
19.0,-0.18203103450183175,0.0011624327460770503,-0.18369939803276986,-0.17870035774224446,100.0,0.0,0.0
20.0,-0.1825941472263891,0.0010668739368201305,-0.1841249001606063,-0.1795363097002982,100.0,0.0,0.0
21.0,-0.1831090368405723,0.0009744688751928602,-0.18450734723594087,-0.18031590406553177,100.0,0.0,0.0
22.0,-0.1835824631170251,0.0008866655443247446,-0.18485526220031528,-0.18104131306644383,100.0,0.0,0.0
23.0,-0.184019484757271,0.0008042859980581272,-0.18517468732467035,-0.18171497297547773,100.0,0.0,0.0
24.0,-0.18442394664682807,0.0007277236611119849,-0.18546991454840722,-0.18233944522640705,100.0,0.0,0.0
25.0,-0.18479883938574682,0.0006570818634797869,-0.18574401654025874,-0.18291733863366172,100.0,0.0,0.0
26.0,-0.1851465595169547,0.0005922711374575855,-0.18599922812887026,-0.1834512642507749,100.0,0.0,0.0
27.0,-0.18546909435372744,0.0005330775143708391,-0.18623721680056943,-0.18394380716711817,100.0,0.0,0.0
28.0,-0.1857681507103779,0.0004792103692685434,-0.18645927190974831,-0.18439750697470925,100.0,0.0,0.0
29.0,-0.1860452426721815,0.00043033579915688423,-0.18666643499494856,-0.18481484281122534,100.0,0.0,0.0
30.0,-0.18630174999844942,0.0003860997405304542,-0.18685958791259788,-0.18519822112386636,100.0,0.0,0.0
