idx_choice,as_of_date,ccy,sim_mode,diffusion_scale,mean_r_0,mean_r_final,std_r_final,mean_discount_final,max_mahal_over_time,mean_mahal_final,min_absG0_over_time,min_absG0_final,z0_1,mean_z1_final,std_z1_final,z0_2,mean_z2_final,std_z2_final,final_valid_decode_count,final_valid_decode_frac,final_decode_batch_error,final_swap_1Y_median,final_swap_1Y_mean,final_swap_5Y_median,final_swap_5Y_mean,final_swap_10Y_median,final_swap_10Y_mean,final_swap_30Y_median,final_swap_30Y_mean
0,2010-01-29,EUR,full,0.1,0.021909074347006362,-0.0016225191989717835,0.00023704334909792628,0.9874906271207555,5.07905624141248,4.949002983393792,7.767268770941804e-07,7.767268770941804e-07,-0.1525230337705814,0.04225503235982776,0.0009558146315486018,-0.08947832471793918,-0.06854555600873376,0.004524684974266063,489,0.978,"G(z,0) too close to zero: min |G(z,0)| = 7.767e-07. Decoder ODE becomes ill-conditioned.",-0.0016905015031438483,-0.001667071106105765,-0.001699774539333067,-0.0016948485373125552,-0.001667490630933745,-0.0016662964729218955,-0.001619189913929328,-0.0016289907016501033
50,2014-03-31,EUR,full,0.1,0.01189447610688932,-0.002373573427673589,0.0002269063144427334,0.9943100713965344,5.288327935164663,5.160401046984591,8.161932518735426e-09,3.265599155255483e-07,-0.0862758304845099,0.04763799588627549,0.0009830222244748932,-0.02553342864848953,-0.06588935573747944,0.004213348033925425,489,0.978,"G(z,0) too close to zero: min |G(z,0)| = 3.266e-07. Decoder ODE becomes ill-conditioned.",-0.0024310001464397267,-0.0023337918227727393,-0.0024667659098661808,-0.0024487445189120957,-0.0024164726612645473,-0.002411344057833964,-0.002367545238874664,-0.002367148454736163
100,2018-05-31,EUR,full,0.1,0.005823568931489372,-0.002806896533109609,0.0002299827762742347,0.9984753214973536,5.4383485908845,5.290508130768189,8.75576702807912e-08,3.644980313716184e-06,-0.046154075408701596,0.05084453350737361,0.0009919975185869825,0.00750034818546502,-0.0646441325301475,0.004413278681720935,492,0.984,"G(z,0) too close to zero: min |G(z,0)| = 3.645e-06. Decoder ODE becomes ill-conditioned.",-0.002862513516988432,-0.0025804126097882345,-0.002893851339132408,-0.0028517945930203493,-0.0028343269929006366,-0.0028188538119916532,-0.002768874102374349,-0.0027793834582505025
150,2022-07-29,EUR,full,0.1,0.011542465496788078,-0.002474018623179087,0.00023983431582501994,0.9953396698461361,5.367048353809798,5.198522165531905,4.7074761311272084e-08,5.435573808804106e-06,-0.07160350808105569,0.04850673474934337,0.001028042443304344,-0.059559614205049294,-0.06596714582417715,0.004439022786053538,492,0.984,"G(z,0) too close to zero: min |G(z,0)| = 5.436e-06. Decoder ODE becomes ill-conditioned.",-0.002540463922135589,-0.002350605658918915,-0.0025776727400712135,-0.002532441374376589,-0.002527079582635433,-0.0024967151801705855,-0.002475798905016133,-0.0024540923652387335
