variant,seed,epoch,train_mse,train_rmse,val_avg_rmse_bps,val_n_good,val_n_bad,epoch_time_sec,cumulative_time_sec,mean_grad_norm,nan_batches,failed_batches,ode_failures,lr,best_val_so_far_bps
baseline,1,0,0.0,0.0,,0,216,0.041530791961122304,0.0415316250291653,,0,30,30,0.001,
baseline,1,1,0.0,0.0,,0,216,0.037771042028907686,0.08137516601709649,,0,30,30,0.001,
baseline,1,2,0.0,0.0,,0,216,0.03724662499735132,0.12085337500320747,,0,30,30,0.001,
baseline,1,3,0.0,0.0,,0,216,0.03720912500284612,0.1598932080087252,,0,30,30,0.001,
baseline,1,4,0.0,0.0,,0,216,0.03729141695657745,0.19921116600744426,,0,30,30,0.001,
baseline,1,5,0.0,0.0,,0,216,0.03849566704593599,0.2399692910257727,,0,30,30,0.001,
baseline,1,6,0.0,0.0,,0,216,0.037650750018656254,0.2797671660082415,,0,30,30,0.001,
baseline,1,7,0.0,0.0,,0,216,0.037149749987293035,0.3188593750237487,,0,30,30,0.001,
baseline,1,8,0.0,0.0,,0,216,0.0370401669642888,0.3580186660401523,,0,30,30,0.001,
baseline,1,9,0.0,0.0,,0,216,0.03758854098850861,0.39776700001675636,,0,30,30,0.001,
baseline,1,10,0.0,0.0,,0,216,0.03668345796177164,0.4365258750040084,,0,30,30,0.001,
baseline,1,11,0.0,0.0,,0,216,0.03652149997651577,0.47498654102673754,,0,30,30,0.001,
baseline,1,12,0.0,0.0,,0,216,0.036567333969287574,0.5133008330012672,,0,30,30,0.001,
baseline,1,13,0.0,0.0,,0,216,0.03671054099686444,0.5517682500067167,,0,30,30,0.001,
baseline,1,14,0.0,0.0,,0,216,0.03688733302988112,0.5903505409951322,,0,30,30,0.001,
baseline,1,15,0.0,0.0,,0,216,0.03647333401022479,0.6284549580304883,,0,30,30,0.001,
baseline,1,16,0.0,0.0,,0,216,0.03621120803290978,0.6664057080051862,,0,30,30,0.001,
baseline,1,17,0.0,0.0,,0,216,0.03636370797175914,0.7043927080230787,,0,30,30,0.001,
baseline,1,18,0.0,0.0,,0,216,0.03764762502396479,0.7438595000421628,,0,30,30,0.001,
baseline,1,19,0.0,0.0,,0,216,0.03738983295625076,0.7832983750267886,,0,30,30,0.001,
baseline,1,20,0.0,0.0,,0,216,0.03760258300462738,0.8228792910231277,,0,30,30,0.001,
baseline,1,21,0.0,0.0,,0,216,0.03721641597803682,0.8620985830202699,,0,30,30,0.001,
baseline,1,22,0.0,0.0,,0,216,0.03664120897883549,0.9007533330004662,,0,30,30,0.001,
