as_of_date,ccy,z_1,z_2,z_3
2017-06-30,AUD,-0.029204497,-0.0012084923,0.18866026
2017-07-31,AUD,-0.026603166,0.0014191269,0.18946753
2017-08-31,AUD,-0.03452144,-0.002885325,0.18092151
2017-09-29,AUD,-0.034348972,-0.0042001624,0.19040592
2017-10-31,AUD,-0.030872041,-0.0008486723,0.18464424
2017-11-30,AUD,-0.033734668,-0.0009955644,0.17591915
2017-12-29,AUD,-0.039508943,-0.006616143,0.1751026
2018-01-31,AUD,-0.035951708,-0.007777028,0.1843045
2018-02-28,AUD,-0.03723174,-0.0070108133,0.18248788
2018-03-30,AUD,-0.043424085,-0.007924298,0.17175049
2018-04-30,AUD,-0.043740947,-0.008665384,0.17750044
2018-05-31,AUD,-0.041911423,-0.007615771,0.17563029
2018-06-29,AUD,-0.043728266,-0.00550823,0.17327885
2018-07-31,AUD,-0.044898327,-0.008199612,0.17117834
2018-08-31,AUD,-0.04379959,-0.0043382947,0.16482696
2018-09-28,AUD,-0.041281443,-0.005689946,0.17465581
2018-10-31,AUD,-0.040002394,-0.004487837,0.17324282
2018-11-30,AUD,-0.04268781,-0.005723629,0.17116377
2018-12-31,AUD,-0.042341907,-0.00048446853,0.15955685
2019-01-31,AUD,-0.042470664,0.00035823256,0.15386677
2019-02-28,AUD,-0.03571477,0.0031377908,0.15531121
2019-03-29,AUD,-0.029643571,0.007757212,0.13750686
2019-04-30,AUD,-0.021617224,0.009057096,0.14095302
2019-05-31,AUD,-0.017257532,0.011756373,0.12561277
2019-06-28,AUD,-0.009197695,0.014059393,0.11860197
2019-07-31,AUD,-0.0049654236,0.01626179,0.110557385
2019-08-30,AUD,-0.0074838046,0.013081119,0.08709328
2019-09-30,AUD,-0.009935942,0.0116857365,0.09046632
2019-10-31,AUD,-0.011299483,0.009805952,0.09562989
2019-11-29,AUD,-0.005668311,0.011642281,0.093680725
2019-12-31,AUD,-0.006412244,0.011051159,0.11371763
2020-01-31,AUD,-0.0050653643,0.013934137,0.087524675
2020-02-28,AUD,-0.004694897,0.012009848,0.072951026
2020-03-31,AUD,0.00083314,0.0062685176,0.0614874
2020-04-30,AUD,0.015047894,0.012591456,0.07580546
2020-05-29,AUD,0.014653407,0.014258282,0.07514012
2020-06-30,AUD,0.017806275,0.017368184,0.07919433
2020-07-31,AUD,0.016593497,0.017949471,0.07321648
2020-08-31,AUD,0.023183158,0.023149945,0.08777776
2020-09-30,AUD,0.02282035,0.023216557,0.08110423
2020-10-30,AUD,0.02757359,0.02651654,0.0859393
2020-11-30,AUD,0.03148528,0.02938272,0.0988
2020-12-31,AUD,0.03325143,0.02875068,0.102692924
2021-01-29,AUD,0.037940726,0.031969883,0.117209285
2021-02-26,AUD,0.043116067,0.029176787,0.15116666
2021-03-31,AUD,0.046493646,0.032747947,0.1599416
2021-04-30,AUD,0.044691976,0.032026,0.15390444
2021-05-31,AUD,0.04258168,0.029381786,0.14977783
2021-06-30,AUD,0.03328702,0.018952776,0.12992522
2021-07-30,AUD,0.030353028,0.019262077,0.11228117
2021-08-31,AUD,0.029667819,0.016231893,0.11269176
2021-09-30,AUD,0.031828206,0.015084964,0.12822399
2021-10-29,AUD,0.0035836613,-0.013046265,0.13404015
2021-11-30,AUD,0.0056601665,-0.0165994,0.12260438
2021-12-31,AUD,0.0027283118,-0.014603694,0.120842315
2022-01-31,AUD,-0.0065729953,-0.02150733,0.12485346
2022-02-28,AUD,-0.008121439,-0.028502112,0.13357383
2022-03-31,AUD,-0.037673447,-0.046911925,0.15794744
2022-04-29,AUD,-0.06318294,-0.045657437,0.18410291
2022-05-31,AUD,-0.07314035,-0.03850612,0.19276485
2022-06-30,AUD,-0.08982958,-0.038703963,0.2099345
2022-07-29,AUD,-0.081090584,-0.021407343,0.19176066
2022-08-31,AUD,-0.098187916,-0.03844035,0.21235111
2022-09-30,AUD,-0.1152685,-0.042696998,0.22218776
2022-10-31,AUD,-0.11166926,-0.03688385,0.23898624
2022-11-30,AUD,-0.10109233,-0.03054976,0.2141199
2022-12-30,AUD,-0.11158738,-0.036713578,0.2366648
2023-01-31,AUD,-0.100958735,-0.025140753,0.22119045
2023-02-28,AUD,-0.119792506,-0.033787146,0.23560376
2023-03-31,AUD,-0.09660276,-0.020111414,0.2106877
2023-04-28,AUD,-0.09929446,-0.01764557,0.21022533
2023-05-31,AUD,-0.11355929,-0.021126403,0.2229567
2023-06-30,AUD,-0.13911098,-0.034729294,0.22628705
2023-07-31,AUD,-0.13001145,-0.028680926,0.23358262
2023-08-31,AUD,-0.119012795,-0.025367677,0.23573107
2023-09-29,AUD,-0.12051743,-0.028853562,0.2586436
2023-10-31,AUD,-0.12751184,-0.031751692,0.2877893
2023-11-30,AUD,-0.1213878,-0.025166055,0.26353735
2023-12-29,AUD,-0.114801735,-0.019527452,0.23044616
2024-01-31,AUD,-0.108914115,-0.016208611,0.23707429
2024-02-29,AUD,-0.11477387,-0.021047756,0.24445842
2010-01-29,CAD,0.036901757,0.012205904,0.26606202
2010-02-26,CAD,0.03649058,0.01163248,0.2662711
2010-03-31,CAD,0.011499318,-0.0035807441,0.25563595
2010-04-30,CAD,-0.00044212505,-0.008415274,0.25539783
2010-05-31,CAD,-0.0003520909,-0.007887791,0.24320553
2010-06-30,CAD,0.017914403,0.014285058,0.25064626
2010-07-30,CAD,0.017043648,0.019943561,0.25046173
2010-08-31,CAD,0.020227933,0.027850797,0.23021469
2010-09-30,CAD,0.007059285,0.02234957,0.21808502
2010-10-29,CAD,0.011541228,0.0262265,0.22719815
2010-11-30,CAD,0.0007785825,0.01295036,0.23046607
2010-12-31,CAD,0.0012648996,0.011938866,0.23883307
2011-01-31,CAD,0.007925466,0.013578202,0.2516343
2011-02-28,CAD,-0.0014834406,0.006749652,0.2506734
2011-03-31,CAD,0.00017510736,0.0041872486,0.25609788
2011-04-29,CAD,0.002379666,0.011340782,0.25175774
2011-05-31,CAD,0.0053514126,0.014426777,0.23959213
2011-06-30,CAD,0.0072035096,0.016178662,0.24560292
2011-07-29,CAD,0.008204971,0.022392115,0.22972535
2011-08-31,CAD,0.01667914,0.0270216,0.20958108
2011-09-30,CAD,0.020189213,0.030629288,0.19356683
2011-10-31,CAD,0.018358937,0.033046056,0.20728797
2011-11-30,CAD,0.008963851,0.023182828,0.18133453
2011-12-30,CAD,0.0062186355,0.024518644,0.17176421
2012-01-31,CAD,0.0050267875,0.025975462,0.17254783
2012-02-29,CAD,0.0032097644,0.021826025,0.18351309
2012-03-30,CAD,0.0011275938,0.017205795,0.18928164
2012-04-30,CAD,-0.008954698,0.012047241,0.1829486
2012-05-31,CAD,-0.0063307947,0.014532613,0.15198353
2012-06-29,CAD,-0.0007546112,0.018562505,0.16540849
2012-07-31,CAD,-0.006882055,0.014754806,0.15795988
2012-08-31,CAD,-0.010625062,0.0113554755,0.15617228
2012-09-28,CAD,-0.0061645876,0.013946222,0.1577161
2012-10-31,CAD,-0.003748378,0.015458378,0.16355036
2012-11-30,CAD,-0.006033802,0.01395657,0.15824077
2012-12-31,CAD,-0.007323883,0.013041911,0.16353267
2013-01-31,CAD,-0.0032280511,0.0139801,0.17708318
2013-02-28,CAD,0.0031815562,0.022229563,0.17725046
2013-03-29,CAD,0.0004208915,0.019731365,0.17635496
2013-04-30,CAD,-0.0016677834,0.018955622,0.16560902
2013-05-31,CAD,-0.0014562837,0.014819589,0.18408221
2013-06-28,CAD,0.00013463269,0.008802132,0.20412092
2013-07-31,CAD,0.0030788537,0.013496887,0.20930663
2013-08-30,CAD,0.0058039413,0.012470751,0.21799557
2013-09-30,CAD,0.008733327,0.016491713,0.22024153
2013-10-31,CAD,0.010526878,0.021291861,0.21678849
2013-11-29,CAD,0.014786272,0.026028752,0.22448173
2013-12-31,CAD,0.015066474,0.019634297,0.23205462
2014-01-31,CAD,0.015233546,0.026638966,0.21395896
2014-02-28,CAD,0.012136406,0.024498392,0.21148767
2014-03-31,CAD,0.00936223,0.020540768,0.21099553
2014-04-30,CAD,0.007359748,0.019557731,0.20693552
2014-05-30,CAD,0.005864683,0.020029778,0.19794048
2014-06-30,CAD,0.004255529,0.01865108,0.1989519
2014-07-31,CAD,0.0019387584,0.016648324,0.1923079
2014-08-29,CAD,-0.001962147,0.014914088,0.18214607
2014-09-30,CAD,-0.0009683556,0.012461678,0.18778406
2014-10-31,CAD,-0.0019173259,0.012518937,0.18113995
2014-11-28,CAD,-0.004666213,0.013773785,0.17137787
2014-12-31,CAD,-0.008527505,0.011453499,0.16441625
2015-01-30,CAD,0.01044197,0.024328128,0.13802549
2015-02-27,CAD,0.011282691,0.025584834,0.14671378
2015-03-31,CAD,0.011397026,0.025129503,0.15007311
2015-04-30,CAD,0.0069229132,0.020372665,0.15852842
2015-05-29,CAD,0.011422483,0.023069795,0.16275762
2015-06-30,CAD,0.019548945,0.028194113,0.17550555
2015-07-31,CAD,0.02398934,0.02871512,0.16388369
2015-08-31,CAD,0.025636805,0.030194018,0.16642891
2015-09-30,CAD,0.017785342,0.026243204,0.154973
2015-10-30,CAD,0.01646995,0.026430545,0.15908921
2015-11-30,CAD,0.014277291,0.02496407,0.1556822
2015-12-31,CAD,0.017393911,0.0278381,0.15924175
2016-01-29,CAD,0.017435765,0.02916243,0.14243032
2016-02-29,CAD,0.005621695,0.02278469,0.11990432
2016-03-31,CAD,0.005429322,0.024106994,0.1292544
2016-04-29,CAD,0.0012186404,0.020451702,0.13878168
2016-05-31,CAD,9.653655e-06,0.018621953,0.12803297
2016-06-30,CAD,-0.0012941302,0.018031605,0.109561905
2016-07-29,CAD,-0.005694315,0.014759847,0.10315058
2016-08-31,CAD,-0.008542752,0.01056403,0.09673895
