epoch,time_total_sec,time_interval_sec,train_mse,train_rmse,avg_rmse_bps,n_good,n_bad,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD,torch_version,python_version,numpy_version
0,0.950173957971856,0.950173957971856,0.0002801141543151513,0.016736611195673733,84.37777540418837,1470,0,123.16452026367188,99.63536834716797,76.66181182861328,75.16600799560547,43.41798400878906,93.97370147705078,82.92852783203125,65.27911376953125,99.17294311523438,2.11.0,3.12.6,2.2.2
99,99.31317275000038,98.36299879202852,7.184471650405266e-06,0.002680386474075197,27.318849563598633,1470,0,25.899749755859375,27.18756866455078,26.924121856689453,37.80517578125,20.71977424621582,22.518796920776367,30.109241485595703,19.850202560424805,34.85501480102539,2.11.0,3.12.6,2.2.2
199,204.3124651669641,104.99929241696373,2.9585240965735424e-06,0.0017200360742070332,16.707307391696506,1470,0,14.204194068908691,13.696273803710938,16.486282348632812,24.89548110961914,15.760274887084961,16.8815860748291,17.47846794128418,14.002585411071777,16.960620880126953,2.11.0,3.12.6,2.2.2
299,301.11718958296115,96.80472441599704,2.5742732691624105e-06,0.0016044541966545541,15.602647993299694,1470,0,13.683560371398926,13.355073928833008,15.434686660766602,24.068517684936523,16.16509246826172,14.438738822937012,15.277544021606445,13.769587516784668,14.231030464172363,2.11.0,3.12.6,2.2.2
399,399.21329654194415,98.096106958983,2.391870087621453e-06,0.00154656719466742,15.27477094862196,1470,0,13.918006896972656,13.870332717895508,14.470656394958496,23.134706497192383,15.583277702331543,13.687747955322266,14.091415405273438,13.272626876831055,15.444168090820312,2.11.0,3.12.6,2.2.2
499,499.0118960419786,99.79859950003447,2.2489177210297143e-06,0.0014996391969502912,14.520325130886501,1470,0,11.811614036560059,12.260824203491211,13.948567390441895,22.21567153930664,14.755396842956543,13.485465049743652,14.788683891296387,12.113873481750488,15.30282974243164,2.11.0,3.12.6,2.2.2
599,600.5063374999445,101.49444145796588,1.8857753232060488e-06,0.0013732353488044389,14.000118891398111,1470,0,12.750176429748535,12.92078685760498,13.722899436950684,20.855484008789062,14.600517272949219,11.740720748901367,14.075020790100098,11.822460174560547,13.513004302978516,2.11.0,3.12.6,2.2.2
699,704.9093630419811,104.40302554203663,1.6564439816078583e-06,0.0012870291300541175,12.137341711256239,1470,0,9.485372543334961,9.837170600891113,11.764510154724121,19.077716827392578,14.513334274291992,9.895173072814941,11.510727882385254,9.337730407714844,13.814339637756348,2.11.0,3.12.6,2.2.2
799,807.369670541957,102.4603074999759,1.4876391629996407e-06,0.0012196881416983772,11.624519454108343,1470,0,9.1883544921875,9.45981502532959,11.522237777709961,18.49514389038086,14.363973617553711,9.041783332824707,10.708895683288574,8.783551216125488,13.056920051574707,2.11.0,3.12.6,2.2.2
899,906.1998090829584,98.83013854100136,1.39479023943261e-06,0.0011810123790344494,11.12023099263509,1470,0,8.631909370422363,8.683905601501465,11.046744346618652,18.0272216796875,14.601592063903809,8.439884185791016,9.871099472045898,8.17856216430664,12.601160049438477,2.11.0,3.12.6,2.2.2
