epoch,time_total_sec,time_interval_sec,loss_price,loss_eig,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_KQ,gnorm_H,lr_KQ,lr_H,lambda_min_KQ,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,21.3,21.311,7.890959739685059,0.0005847199790878221,1.0,0.5235443115234375,49.13153627183702,0,0.9959326959819693,0.09009995090442369,5.995e-07,2.9975e-07,0.0016381755704060197,76.49665069580078,50.36046600341797,45.36499786376953,44.45042037963867,35.26856994628906,56.963172912597656,49.124568939208984,32.38079833984375,51.7741813659668
1,42.2,20.867,8.114581286907196,0.0005847154388902709,1.0,0.5238189697265625,49.13160620795356,0,0.9952562963046518,0.09728749987243202,1.099e-06,5.495e-07,0.0016382214380428195,76.49701690673828,50.3606071472168,45.365020751953125,44.450439453125,35.26840591430664,56.963417053222656,49.12461471557617,32.380680084228516,51.774253845214844
2,63.8,21.578,7.727394998073578,0.0005847094362252392,1.0,0.5177001953125,49.13181432088216,0,0.9866336953480642,0.16295396026513023,1.5984999999999998e-06,7.992499999999999e-07,0.0016382999019697309,76.49762725830078,50.36088943481445,45.365150451660156,44.45056915283203,35.26835632324219,56.96381378173828,49.12481689453125,32.38065719604492,51.77444839477539
3,85.5,21.707,7.767830848693848,0.0005847027205163613,1.0,0.518035888671875,49.1320792304145,0,0.9946389850897951,0.10340847527549947,2.0979999999999996e-06,1.0489999999999998e-06,0.0016388368094339967,76.49848937988281,50.36125946044922,45.365333557128906,44.45069885253906,35.26823043823242,56.964393615722656,49.12506866455078,32.380558013916016,51.774681091308594
4,114.7,29.222,8.52577805519104,0.0005846895073773339,1.0,0.5269775390625,49.132430182562935,0,0.9915812998413209,0.1294852556977133,2.5974999999999997e-06,1.2987499999999998e-06,0.0016395054990425706,76.499755859375,50.36180877685547,45.36554718017578,44.45089340209961,35.26791000366211,56.96522521972656,49.12538528442383,32.380348205566406,51.77499771118164
5,143.0,28.279,8.049391210079193,0.0005846718049724586,1.0,0.5236663818359375,49.13291888766819,0,0.9800969935060858,0.1985195673718244,3.0969999999999997e-06,1.5484999999999999e-06,0.001640249858610332,76.50143432617188,50.362548828125,45.36585998535156,44.451133728027344,35.267555236816406,56.96635055541992,49.12584686279297,32.38007736206055,51.77546310424805
6,169.1,26.14,8.440848469734192,0.0005846505882800557,1.0,0.5203857421875,49.13337961832683,0,0.9923843184821766,0.12318019352708283,3.5964999999999998e-06,1.7982499999999999e-06,0.0016415901482105255,76.50325775146484,50.36330032348633,45.366092681884766,44.451419830322266,35.26701736450195,56.96756362915039,49.12624740600586,32.37964630126953,51.77587127685547
7,197.1,27.988,8.033311903476715,0.0005846268031746149,1.0,0.5250091552734375,49.133586459689674,0,0.983547752431976,0.1806491005507862,4.095999999999999e-06,2.0479999999999997e-06,0.0016424143686890602,76.50481414794922,50.363834381103516,45.36607360839844,44.451576232910156,35.26607131958008,56.96858215332031,49.1263313293457,32.37894058227539,51.77605438232422
8,222.7,25.576,7.512934386730194,0.0005846005369676277,1.0,0.5142059326171875,49.13404422336155,0,0.9897329125375862,0.1429296469453071,4.5954999999999995e-06,2.2977499999999997e-06,0.0016436598962172866,76.50650787353516,50.364566802978516,45.366336822509766,44.45191955566406,35.265480041503906,56.9697380065918,49.12675476074219,32.37857437133789,51.776519775390625
9,246.0,23.298,8.434010446071625,0.0005845707491971552,1.0,0.52392578125,49.13474485609267,0,0.9880931811002155,0.15385612950820066,5.0949999999999995e-06,2.5474999999999997e-06,0.001644943724386394,76.50831604003906,50.365447998046875,45.36690139770508,44.45243453979492,35.26536178588867,56.970970153808594,49.12750244140625,32.37856674194336,51.77720260620117
10,270.7,24.776,7.160403847694397,0.000584535526286345,1.0,0.5174102783203125,49.13545481363933,0,0.9933581542361218,0.11506370802807767,5.5944999999999995e-06,2.7972499999999998e-06,0.0016465256921947002,76.51068878173828,50.36650085449219,45.36736297607422,44.45293426513672,35.26477813720703,56.972572326660156,49.128177642822266,32.3781852722168,51.77789306640625
11,292.6,21.882,8.026534378528595,0.0005844984916620888,1.0,0.5218658447265625,49.13610076904297,0,0.9919486396605822,0.12664068016267221,6.093999999999999e-06,3.0469999999999994e-06,0.0016483149956911802,76.51336669921875,50.367591857910156,45.3676872253418,44.45336151123047,35.26384735107422,56.97434616088867,49.12873077392578,32.37749099731445,51.77848434448242
12,313.6,21.017,9.046313464641571,0.0005844515835633501,1.0,0.526519775390625,49.136910332573784,0,0.9917923222933497,0.12785876054900153,6.593499999999998e-06,3.296749999999999e-06,0.001649969257414341,76.5168228149414,50.36899185180664,45.36807632446289,44.45389938354492,35.262569427490234,56.976661682128906,49.12940216064453,32.37651062011719,51.779258728027344
13,337.6,23.933,7.405887246131897,0.0005844077677465975,1.0,0.521240234375,49.13781611124675,0,0.9958334713633826,0.09119163385399036,7.092999999999998e-06,3.546499999999999e-06,0.0016517301555722952,76.52066802978516,50.37055969238281,45.36851119995117,44.45447540283203,35.261165618896484,56.97926330566406,49.130165100097656,32.375404357910156,51.78013229370117
14,361.1,23.519,8.75476747751236,0.0005843604303663597,1.0,0.51678466796875,49.138666788736984,0,0.995034162896939,0.09953354745788415,7.592499999999997e-06,3.7962499999999986e-06,0.0016544066602364182,76.52469635009766,50.37215042114258,45.368839263916016,44.45502853393555,35.25946807861328,56.98197937011719,49.13083267211914,32.374080657958984,51.78092575073242
15,381.8,20.711,8.827114164829254,0.0005843058388563804,1.0,0.5227813720703125,49.139758639865455,0,0.9869082604892058,0.16128244620342894,8.091999999999998e-06,4.045999999999999e-06,0.001656544511206448,76.52884674072266,50.37393569946289,45.36943435668945,44.45574188232422,35.258140563964844,56.984832763671875,49.131832122802734,32.373077392578125,51.781986236572266
16,402.1,20.305,8.530619144439697,0.0005842522004968487,1.0,0.5200347900390625,49.14113235473633,0,0.9948510178075379,0.10134873973088149,8.591499999999997e-06,4.295749999999999e-06,0.0016585837583988905,76.53337860107422,50.375919342041016,45.37035369873047,44.45660400390625,35.257259368896484,56.98790740966797,49.133155822753906,32.37235641479492,51.78325653076172
17,428.8,26.642,7.627696454524994,0.00058419684501132,1.0,0.5226898193359375,49.14238950941298,0,0.9910837364322387,0.13324072824252467,9.090999999999998e-06,4.545499999999999e-06,0.0016614632913842797,76.53791809082031,50.377845764160156,45.37111282348633,44.457435607910156,35.256080627441406,56.99094772338867,49.13428497314453,32.371456146240234,51.784423828125
18,456.0,27.227,8.921432495117188,0.0005841329402755946,1.0,0.5218048095703125,49.14358011881511,0,0.9931259673097675,0.11705022517276252,9.590499999999997e-06,4.795249999999999e-06,0.0016636729706078768,76.54283142089844,50.37987518310547,45.3717041015625,44.458213806152344,35.254356384277344,56.994300842285156,49.135311126708984,32.37006378173828,51.78556442260742
19,478.5,22.57,8.680178940296173,0.0005840695739607327,1.0,0.5209503173828125,49.14477242363824,0,0.9943823173974213,0.10584833880825523,1.0089999999999998e-05,5.044999999999999e-06,0.0016664577415212989,76.54792785644531,50.38193130493164,45.37228012084961,44.45892333984375,35.25252151489258,56.997737884521484,49.13636016845703,32.36859893798828,51.78667068481445
20,503.5,24.958,8.400134205818176,0.0005840036974404939,1.0,0.521575927734375,49.145906660291885,0,0.9914340120551308,0.13060900413795581,1.05895e-05,5.29475e-06,0.0016694174846634269,76.55338287353516,50.384056091308594,45.37271499633789,44.45952224731445,35.250328063964844,57.001373291015625,49.137245178222656,32.36685562133789,51.787681579589844
21,529.3,25.836,7.690203428268433,0.0005839337318320759,1.0,0.51837158203125,49.14718288845486,0,0.9924676154303828,0.12250613531501393,1.1088999999999998e-05,5.544499999999999e-06,0.0016721405554562807,76.55918884277344,50.38631057739258,45.37326431274414,44.46025466918945,35.24824142456055,57.0052490234375,49.138309478759766,32.36500549316406,51.788822174072266
22,559.3,29.956,7.5435826778411865,0.0005838610231876373,1.0,0.5172576904296875,49.14824634128147,0,0.9902596254157832,0.1392333230098553,1.1588499999999998e-05,5.794249999999999e-06,0.0016753138042986393,76.56544494628906,50.388633728027344,45.37345886230469,44.46084976196289,35.24517059326172,57.00951385498047,49.13904571533203,32.362300872802734,51.789798736572266
23,582.6,23.265,7.923271298408508,0.0005837830540258437,1.0,0.5202484130859375,49.149193657769096,0,0.992184470014376,0.12477924067808865,1.2087999999999997e-05,6.043999999999998e-06,0.001678716973401606,76.5714340209961,50.39080047607422,45.37354278564453,44.46139144897461,35.242034912109375,57.01354217529297,49.13962936401367,32.35969543457031,51.790672302246094
24,609.6,27.024,8.22884225845337,0.0005836955897393636,1.0,0.517547607421875,49.15038638644749,0,0.9780861945879227,0.20820010772399106,1.2587499999999996e-05,6.293749999999998e-06,0.0016825204947963357,76.57826232910156,50.393333435058594,45.3737907409668,44.46212387084961,35.23872375488281,57.018104553222656,49.14043426513672,32.356956481933594,51.791748046875
25,632.5,22.96,7.197556257247925,0.0005836047566845082,1.0,0.519439697265625,49.151944902208115,0,0.9930494536791842,0.11769769545945442,1.3086999999999995e-05,6.5434999999999976e-06,0.0016861172625795007,76.58538055419922,50.396175384521484,45.37443923950195,44.463104248046875,35.23594284057617,57.022865295410156,49.14168167114258,32.354713439941406,51.7932014465332
26,661.8,29.266,8.508461713790894,0.0005835104602738284,1.0,0.5192108154296875,49.153728061252174,0,0.9826541383392747,0.1854475714204905,1.3586499999999996e-05,6.793249999999998e-06,0.0016905715456232429,76.59318542480469,50.39928436279297,45.37522888183594,44.4642448425293,35.23313522338867,57.02806091308594,49.14311218261719,32.35244369506836,51.794857025146484
27,688.4,26.625,7.972952783107758,0.0005834053154103458,1.0,0.5166015625,49.15583419799805,0,0.9910326116096223,0.13361961227081876,1.4085999999999997e-05,7.0429999999999985e-06,0.001694928272627294,76.60171508789062,50.402740478515625,45.376304626464844,44.465484619140625,35.23048400878906,57.033851623535156,49.14494323730469,32.35020446777344,51.79677963256836
28,711.2,22.788,8.925882339477539,0.0005833022441947833,1.0,0.5215606689453125,49.15786022610134,0,0.9953262289229226,0.09657042268075586,1.4585499999999998e-05,7.292749999999999e-06,0.0016993802273645997,76.60983276367188,50.40609359741211,45.37737274169922,44.46669006347656,35.227848052978516,57.03940200805664,49.14677047729492,32.3480339050293,51.79869842529297
29,738.4,27.135,7.202135324478149,0.0005831976523040794,1.0,0.516876220703125,49.15970272488064,0,0.9917183390079054,0.12843105324348983,1.5084999999999997e-05,7.5424999999999985e-06,0.001703864661976695,76.61736297607422,50.40922546386719,45.378318786621094,44.46783447265625,35.22516632080078,57.04459762573242,49.148441314697266,32.34589385986328,51.80048370361328
30,759.4,21.015,9.158988356590271,0.0005830798545503058,1.0,0.5233154296875,49.16072294447157,0,0.9890188698689697,0.14779000202316037,1.5584499999999996e-05,7.792249999999998e-06,0.001708408584818244,76.62489318847656,50.41181945800781,45.37822723388672,44.46855926513672,35.22064971923828,57.0496826171875,49.14896011352539,32.34230041503906,51.801414489746094
31,784.0,24.626,7.3576754331588745,0.0005829733054270037,1.0,0.519195556640625,49.16134177313911,0,0.991019571557342,0.1337170448457951,1.6083999999999994e-05,8.041999999999997e-06,0.0017128193285316229,76.63168334960938,50.41392517089844,45.37778091430664,44.46910858154297,35.21589279174805,57.05418014526367,49.14897918701172,32.33863830566406,51.80188751220703
32,810.3,26.292,7.696052730083466,0.0005828614594065584,1.0,0.5184173583984375,49.162540435791016,0,0.993729785647617,0.1118088770343393,1.6583499999999995e-05,8.291749999999997e-06,0.00171767792198807,76.63856506347656,50.41646957397461,45.37804412841797,44.46999740600586,35.21221923828125,57.058799743652344,49.14977264404297,32.336002349853516,51.80299377441406
33,836.0,25.733,8.129066348075867,0.0005827413260703906,1.0,0.5222015380859375,49.16370052761501,0,0.9914065276101207,0.130817207688417,1.7082999999999996e-05,8.541499999999998e-06,0.0017224142793565989,76.64598846435547,50.41911697387695,45.37812805175781,44.470706939697266,35.20820999145508,57.06357955932617,49.15036392211914,32.333221435546875,51.80398941040039
34,858.2,22.152,8.484095096588135,0.0005826215783599764,1.0,0.52191162109375,49.16518317328559,0,0.9910913517414913,0.1331837294748161,1.7582499999999996e-05,8.791249999999998e-06,0.0017280110623687506,76.65392303466797,50.422157287597656,45.378543853759766,44.471649169921875,35.20423889160156,57.068824768066406,49.15135955810547,32.33056640625,51.80538558959961
35,884.9,26.722,7.94702285528183,0.0005824950712849386,1.0,0.5187225341796875,49.1672977871365,0,0.9918686324337631,0.127265418895466,1.8081999999999997e-05,9.040999999999999e-06,0.0017330050468444824,76.662841796875,50.42584228515625,45.37950134277344,44.47339630126953,35.200538635253906,57.07478713989258,49.15302276611328,32.328189849853516,51.807559967041016
36,908.5,23.567,7.721186459064484,0.0005823730607517064,1.0,0.51715087890625,49.16915978325738,0,0.9898331109418318,0.1422340455499592,1.8581499999999998e-05,9.290749999999999e-06,0.001738280989229679,76.6707992553711,50.42917251586914,45.38030242919922,44.47509002685547,35.19681167602539,57.080196380615234,49.15446090698242,32.32602310180664,51.8095817565918
37,929.9,21.446,8.09968614578247,0.0005822443126817234,1.0,0.518218994140625,49.17126337687175,0,0.9917545838446014,0.12815195954688738,1.9081e-05,9.5405e-06,0.00174374645575881,76.6799087524414,50.432891845703125,45.38125991821289,44.47662353515625,35.19305419921875,57.08644104003906,49.15623092651367,32.32327651977539,51.811683654785156
