epoch,time_total_sec,time_interval_sec,loss_vol,loss_bias,loss_l2_lam,loss_l2_vol,loss_l2_reg,loss_l2_dvol,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm_lam,gnorm_sig,gnorm_reg,gnorm_dvol,lr,fwd_bias_diag_bp,delta_norm,W_norm,d_vol_norm,lam_1Y_norm,lam_5Y_norm,lam_10Y_norm,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
0,8.4,8.415,0.15709952358156443,0.3916265442967415,0.0004735718612209894,0.001121824752772227,1.0179062996940047e-06,1.0393721702465944e-14,1.0,1.0,5.2951848771837025,0,1.999999523162785,0.0587641988577799,6.838000685894732e-05,0.9512112587798245,6.860000000000001e-06,-13.4,5.203101864026394e-06,0.03189608454704285,5.649292234011227e-06,0.4060273766517639,0.3918854296207428,0.3938772678375244,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
1,19.3,10.926,0.24825815111398697,0.8949282318353653,0.00047356865979963914,0.0011218934378121048,1.0061927468996146e-06,4.535648341927139e-12,1.0,1.0,,0,1.9999998211860577,0.20083349898801067,0.0001666774192855411,1.999999165534799,1.3520000000000003e-05,-15.549999999999995,0.00011717473535099998,0.03142789006233215,0.0001400252222083509,0.4060150384902954,0.39188504219055176,0.3938782215118408,,,,,,,,,
2,32.5,13.165,0.19372311048209667,0.6309840977191925,0.00047355306742247194,0.0011221648601349443,9.663935571779803e-07,6.286866296653648e-11,1.0,1.0,,0,1.9999997615814067,0.04981427007004757,6.520723110149635e-05,0.1346092906803303,2.0180000000000007e-05,-17.912499999999998,0.00041248329216614366,0.030515536665916443,0.0003932270046789199,0.4059906601905823,0.3918920159339905,0.3938687741756439,,,,,,,,,
3,47.7,15.23,0.12832161784172058,0.47436270117759705,0.00047352926048915833,0.0011225432390347123,9.011298516270472e-07,2.604451376786443e-10,1.0,1.0,,0,1.999999880790707,0.06581502355145591,6.152032150338822e-05,1.9999993443488,2.684000000000001e-05,18.4625,0.0007190768956206739,0.029178867116570473,0.0006217907648533583,0.40596407651901245,0.3919108808040619,0.39384597539901733,,,,,,,,,
4,66.6,18.837,0.15657677873969078,0.5296856611967087,0.00047351387183880433,0.0011227681825403124,8.147438563810283e-07,4.3389836862361975e-10,1.0,1.0,,0,1.999999523162785,0.10187383248001693,6.80265256024204e-05,1.9999997615814067,3.3500000000000015e-05,38.7,0.0010119332000613213,0.027454238384962082,0.0007382275653071702,0.40593597292900085,0.39196497201919556,0.3938208520412445,,,,,,,,,
5,87.0,20.445,0.1515286574140191,0.5668683052062988,0.00047352403635159135,0.0011229911469854414,7.130879993155759e-07,8.521761629687319e-10,1.0,1.0,,0,1.9999998211860577,0.09367316793165104,5.4770824415689415e-05,1.9999996423720994,4.0160000000000015e-05,41.462500000000006,0.00124079966917634,0.025403786450624466,0.0012446170439943671,0.4059256911277771,0.39202040433883667,0.3937966525554657,,,,,,,,,
6,110.1,23.083,0.9355989564210176,0.6594741940498352,0.0004735263137263246,0.0011233867553528398,6.042191529331831e-07,2.2118716858088305e-09,1.0,1.0,,0,1.999999582767443,0.09676684198456577,5.6251556371059704e-05,1.999999523162785,4.6820000000000016e-05,47.462500000000006,0.001433580182492733,0.023138275370001793,0.0018943786853924394,0.4059102535247803,0.3920680284500122,0.39375242590904236,,,,,,,,,
7,134.2,24.079,0.22585723921656609,0.49817807972431183,0.00047353003901662305,0.0011241536412853748,4.959942927484917e-07,5.0439607490737615e-09,1.0,1.0,,0,1.999999582767443,0.18192111170607872,5.925570736414319e-05,1.999999463558125,5.3480000000000017e-05,39.0875,0.0016107821138575673,0.02071894146502018,0.0027392548508942127,0.40591028332710266,0.39211779832839966,0.3937089145183563,,,,,,,,,
8,155.8,21.658,1.539939273148775,0.6531190201640129,0.00047349797387141734,0.0011250546085648239,3.9502116067069437e-07,9.041411619392647e-09,1.0,0.9998779296875,,0,1.999999701976754,0.1076312441481438,4.651761269426604e-05,1.999999582767443,6.014000000000002e-05,-22.924999999999997,0.002011859556660056,0.018299393355846405,0.0033645108342170715,0.4058782160282135,0.3921055495738983,0.39365312457084656,,,,,,,,,
9,181.1,25.302,0.8921280363574624,0.553101047873497,0.000473410589620471,0.0011259492894168943,3.0756043400970157e-07,1.2448341246695804e-08,1.0,1.0,,0,2.0,0.1497717779559191,3.9017238713078766e-05,1.9999989867207821,6.680000000000002e-05,-5.7125,0.002476413268595934,0.01594262197613716,0.003752968041226268,0.4058082699775696,0.3921043872833252,0.39360010623931885,,,,,,,,,
