date,expiry,tenor,model_vol_bps,market_vol_bps
2023-01-31,5,5,316.8382058911853,90.1
2023-01-31,5,10,296.11995855324375,85.8
2023-01-31,10,1,210.56896640849016,85.7
2023-01-31,10,5,208.09585907693148,79.8
2023-01-31,10,10,194.12223136691156,74.2
2022-12-30,1,1,684.1757698290221,116.6
2022-12-30,1,5,770.0569305805919,124.6
2022-12-30,1,10,750.0131856416982,120.3
2022-12-30,5,1,295.58027026038303,110.9
2022-12-30,5,5,312.197048566464,104.0
2022-12-30,5,10,300.9958381038626,98.7
2022-12-30,10,1,225.7056192933473,97.7
2022-12-30,10,5,217.59064480201383,89.4
2022-12-30,10,10,204.2910332196387,81.7
2022-11-30,1,1,676.5119449920838,118.8
2022-11-30,1,5,763.6232819995863,128.6
2022-11-30,1,10,717.6631224668399,127.4
2022-11-30,5,1,308.27992672099236,115.5
2022-11-30,5,5,304.916716766921,109.0
2022-11-30,5,10,284.93229017426074,102.2
2022-11-30,10,1,212.31681287033337,99.6
2022-11-30,10,5,209.15025013239867,91.1
2022-11-30,10,10,192.4207740242792,83.1
2022-10-31,1,1,663.0592433375482,129.1
2022-10-31,1,5,787.5466541453558,140.3
2022-10-31,1,10,748.8180660497688,143.2
2022-10-31,5,1,317.34687155735423,123.5
2022-10-31,5,5,301.73219604126086,115.3
2022-10-31,5,10,284.2873348861067,108.2
2022-10-31,10,1,226.6484113959539,104.1
2022-10-31,10,5,222.42167916082605,94.9
2022-10-31,10,10,204.73221582986935,86.2
2022-09-30,1,1,696.3255714887198,155.8
2022-09-30,1,5,779.6037934568892,162.6
2022-09-30,1,10,751.1556177060427,155.3
2022-09-30,5,1,311.16494269388573,134.0
2022-09-30,5,5,312.87749590783136,123.3
2022-09-30,5,10,296.26621097466307,112.5
2022-09-30,10,1,229.2185747738416,109.9
2022-09-30,10,5,225.5340776578313,100.4
2022-09-30,10,10,214.0272413601972,91.7
2022-08-31,1,1,675.8755757433745,152.0
2022-08-31,1,5,764.4931238941901,142.6
2022-08-31,1,10,719.2193158856014,125.6
2022-08-31,5,1,312.0688030956233,114.8
2022-08-31,5,5,316.1492633530172,102.0
2022-08-31,5,10,292.0196070225244,91.9
2022-08-31,10,1,213.99593060718271,93.5
2022-08-31,10,5,210.95816519428968,86.2
2022-08-31,10,10,190.6560885886007,77.3
2022-07-29,1,1,702.3568434853235,127.0
2022-07-29,1,5,790.9341477772564,121.0
2022-07-29,1,10,706.9317902058149,106.9
2022-07-29,5,1,318.4188596493804,95.2
2022-07-29,5,5,302.3608834407468,89.5
2022-07-29,5,10,274.84611265698766,85.3
2022-07-29,10,1,220.35153837170404,81.6
2022-07-29,10,5,207.08649496561165,77.7
2022-07-29,10,10,182.39258844332835,72.8
2022-06-30,1,1,667.7001013087648,126.6
2022-06-30,1,5,765.7087391761744,120.5
2022-06-30,1,10,710.951407050788,109.9
2022-06-30,5,1,301.86961821235525,100.5
2022-06-30,5,5,301.7596753856493,93.2
2022-06-30,5,10,283.484991288679,86.2
2022-06-30,10,1,201.61144464499847,85.6
2022-06-30,10,5,201.997586587129,78.8
2022-06-30,10,10,188.6805818449047,71.7
2022-05-31,1,1,692.094721176531,104.5
2022-05-31,1,5,755.6884772454313,99.0
2022-05-31,1,10,690.2063085779406,91.5
2022-05-31,5,1,302.262666950971,91.3
2022-05-31,5,5,291.281583059593,85.5
2022-05-31,5,10,269.8321519587977,79.9
2022-05-31,10,1,200.8003534921453,76.9
2022-05-31,10,5,201.272834439587,72.7
2022-05-31,10,10,186.63633944346176,67.5
2022-04-29,1,1,703.2707175176159,114.9
2022-04-29,1,5,735.5320145173289,108.9
2022-04-29,1,10,672.617228914627,100.8
2022-04-29,5,1,306.7411466459706,97.5
2022-04-29,5,5,294.35397792124223,91.0
2022-04-29,5,10,271.25280879825266,83.5
2022-04-29,10,1,218.1579185914425,78.7
2022-04-29,10,5,197.9843671256791,75.0
2022-04-29,10,10,181.9208309942238,71.5
2022-03-31,1,1,668.4295187283973,112.2
2022-03-31,1,5,739.6494967147394,101.4
2022-03-31,1,10,660.6854457262557,84.0
2022-03-31,5,1,301.32811215614817,103.5
2022-03-31,5,5,298.84926293143815,88.7
2022-03-31,5,10,271.16612992223867,75.9
2022-03-31,10,1,219.77234026700597,80.0
2022-03-31,10,5,202.2497887266105,73.2
2022-03-31,10,10,179.1938275432269,67.6
2022-02-28,1,1,682.9523375037616,81.4
2022-02-28,1,5,802.4312589412106,80.8
2022-02-28,1,10,686.7395192981606,73.4
2022-02-28,5,1,320.3261329413207,83.4
2022-02-28,5,5,300.11409282801134,75.5
2022-02-28,5,10,267.0778440937057,69.3
2022-02-28,10,1,201.16694238231383,71.4
2022-02-28,10,5,187.8405119146305,68.0
2022-02-28,10,10,165.78557063599945,64.2
2022-01-31,1,1,711.6488032087601,65.9
2022-01-31,1,5,798.2150894527505,68.2
2022-01-31,1,10,668.7206962528885,64.6
2022-01-31,5,1,317.1835692426443,71.7
2022-01-31,5,5,296.5399121983449,67.4
2022-01-31,5,10,256.40405611480304,63.2
2022-01-31,10,1,193.5068252774073,65.7
2022-01-31,10,5,180.96648125205436,63.3
2022-01-31,10,10,159.5627783668131,60.7
2021-12-31,1,1,718.022722629513,48.6
2021-12-31,1,5,745.1953170057412,59.7
2021-12-31,1,10,639.4725366358111,63.4
2021-12-31,5,1,329.598221686595,67.8
2021-12-31,5,5,293.122289422894,63.6
2021-12-31,5,10,254.83605597628204,61.0
2021-12-31,10,1,195.2700978575251,63.6
2021-12-31,10,5,187.0301924525897,61.2
2021-12-31,10,10,159.78649486626924,58.6
2021-11-30,1,1,734.5244930870184,40.2
2021-11-30,1,5,755.2368998084901,57.6
2021-11-30,1,10,633.3645302300195,61.4
2021-11-30,5,1,340.11034254786836,65.4
2021-11-30,5,5,306.63403614228935,63.5
2021-11-30,5,10,255.77019923621785,61.9
2021-11-30,10,1,192.4817385327972,63.2
2021-11-30,10,5,184.69416845489556,61.4
2021-11-30,10,10,154.78886191103425,59.9
2021-10-29,1,1,739.373882240397,62.8
2021-10-29,1,5,756.8901769395288,73.5
2021-10-29,1,10,638.8031652119471,67.7
2021-10-29,5,1,332.27168750938324,73.6
2021-10-29,5,5,295.89931930888696,71.1
2021-10-29,5,10,253.958496468892,67.3
2021-10-29,10,1,199.49769006194467,69.6
2021-10-29,10,5,185.60173150355047,67.7
2021-10-29,10,10,155.0932280989487,65.2
2021-09-30,1,1,728.3589141827918,19.0
2021-09-30,1,5,742.4161742067614,39.8
2021-09-30,1,10,622.4591147893141,48.9
2021-09-30,5,1,321.4872567136171,51.8
2021-09-30,5,5,305.0126142695061,55.2
2021-09-30,5,10,256.9878970446575,56.0
2021-09-30,10,1,201.68661101757016,58.2
2021-09-30,10,5,183.1604764882399,57.7
2021-09-30,10,10,157.89978074307058,56.6
2021-08-31,1,1,759.7046978210032,16.8
2021-08-31,1,5,777.6896685821031,33.7
2021-08-31,1,10,649.5511602613915,44.5
2021-08-31,5,1,321.4912970846259,46.6
2021-08-31,5,5,296.1018340426104,51.2
2021-08-31,5,10,253.58868872722675,54.2
2021-08-31,10,1,196.6586035035792,54.8
2021-08-31,10,5,173.6778166755836,55.2
2021-08-31,10,10,147.89025163709303,55.4
2021-07-30,1,1,761.7806430619361,16.7
2021-07-30,1,5,743.3967203248765,33.3
2021-07-30,1,10,622.3231143291376,44.5
2021-07-30,5,1,316.7248304363743,45.4
2021-07-30,5,5,300.2191747139844,50.0
2021-07-30,5,10,258.4891775417966,53.8
2021-07-30,10,1,194.40043389883252,54.8
2021-07-30,10,5,174.38845026460982,55.3
2021-07-30,10,10,147.575829925649,55.7
2021-06-30,1,1,763.7179451242001,18.6
2021-06-30,1,5,733.7029864365048,35.8
2021-06-30,1,10,629.9668553620918,45.8
2021-06-30,5,1,347.88854824284925,49.4
2021-06-30,5,5,303.7391388858867,53.6
2021-06-30,5,10,256.88966347626547,55.9
2021-06-30,10,1,198.45424433175,56.7
2021-06-30,10,5,178.33628231429816,57.2
2021-06-30,10,10,155.7079497333817,57.3
2021-05-31,1,1,764.2819032545867,18.6
2021-05-31,1,5,748.8094507095084,40.7
2021-05-31,1,10,625.6145623574091,48.6
2021-05-31,5,1,323.2041484665197,54.3
2021-05-31,5,5,292.321528258663,57.3
2021-05-31,5,10,252.8838199547092,58.4
2021-05-31,10,1,197.21915143015363,58.0
2021-05-31,10,5,180.80144614655237,58.0
2021-05-31,10,10,155.59662239434414,57.5
2021-04-30,1,1,769.2967181984022,19.0
2021-04-30,1,5,753.8537803766507,41.1
2021-04-30,1,10,636.2879007023398,52.6
2021-04-30,5,1,320.5007881403543,51.9
2021-04-30,5,5,293.58736206493455,57.0
2021-04-30,5,10,255.1696745447594,58.8
2021-04-30,10,1,194.16400297997697,57.2
2021-04-30,10,5,179.0504643226005,58.3
2021-04-30,10,10,156.40035417801155,58.3
2021-03-31,1,1,744.8952123707105,18.6
2021-03-31,1,5,744.80024450757,37.2
2021-03-31,1,10,626.15494818963,49.7
2021-03-31,5,1,339.86954893546186,49.2
2021-03-31,5,5,298.88632516094026,54.2
2021-03-31,5,10,256.6673156824575,56.1
2021-03-31,10,1,195.5585780209886,55.3
2021-03-31,10,5,175.8083551844232,56.0
2021-03-31,10,10,150.9397933940049,56.1
2021-02-26,1,1,771.7223249408753,22.7
2021-02-26,1,5,757.2535690178051,40.0
2021-02-26,1,10,635.5825057871111,50.4
2021-02-26,5,1,337.4810002734815,46.5
2021-02-26,5,5,297.69089824326466,51.8
2021-02-26,5,10,257.30643391563405,55.0
2021-02-26,10,1,200.8386456931607,55.3
2021-02-26,10,5,182.89280698694677,55.4
2021-02-26,10,10,158.43112386530552,55.1
2021-01-29,1,1,729.7951284298905,18.0
