expiry,tenor,model_bps,market_bps,abs_err_bps,rel_err_pct,n_obs
1,1,708.2659851240669,46.654658385093164,661.6113267389737,2267.759931900634,161
1,5,757.4409745074199,61.75776397515528,695.6832105322646,1374.7201106303194,161
1,10,678.028310626028,68.39254658385093,609.6357640421771,985.2253455232229,161
5,1,312.5123213553533,71.68012422360249,240.83219713175083,375.36423335043867,161
5,5,297.92470737873504,71.48260869565217,226.4420986830829,338.00387268936765,161
5,10,269.82765293158803,71.6608695652174,198.16678336637068,287.5149881613555,161
10,1,204.1122192700767,70.94844720496894,133.1637720651078,193.80582051408405,161
10,5,195.99525618216754,69.38447204968944,126.61078413247807,186.05992265849827,161
10,10,178.7692845433323,67.78571428571429,110.98357025761798,165.09979367157118,161
