date,expiry,tenor,split,sigma_mkt,sigma_exp,s_expiry,path_frac,ae
2011-07-29,10,10,train,18.8,56.9,0.14065,1.0,38.099999999999994
2011-08-31,1,1,train,75.4,307.3,0.12916,1.0,231.9
2011-08-31,1,5,train,42.4,81.4,0.12916,1.0,39.00000000000001
2011-08-31,1,10,train,33.6,62.3,0.12916,1.0,28.699999999999996
2011-08-31,5,1,train,29.2,156.8,0.13328,1.0,127.60000000000001
2011-08-31,5,5,train,23.6,85.4,0.13328,1.0,61.800000000000004
2011-08-31,5,10,train,22.2,72.9,0.13328,1.0,50.7
2011-08-31,10,1,train,20.1,114.5,0.14065,1.0,94.4
2011-08-31,10,5,train,18.7,74.1,0.14065,1.0,55.39999999999999
2011-08-31,10,10,train,19.8,61.6,0.14065,1.0,41.8
2011-09-30,1,1,train,69.4,267.8,0.12916,1.0,198.4
2011-09-30,1,5,train,43.1,91.4,0.12916,1.0,48.300000000000004
2011-09-30,1,10,train,40.0,78.3,0.12916,1.0,38.3
2011-09-30,5,1,train,33.4,162.7,0.13328,1.0,129.29999999999998
2011-09-30,5,5,train,27.8,94.1,0.13328,1.0,66.3
2011-09-30,5,10,train,26.9,81.6,0.13328,1.0,54.699999999999996
2011-09-30,10,1,train,23.4,114.0,0.14065,1.0,90.6
2011-09-30,10,5,train,22.3,75.0,0.14065,1.0,52.7
2011-09-30,10,10,train,23.8,63.4,0.14065,1.0,39.599999999999994
2011-10-31,1,1,train,73.9,275.1,0.12916,1.0,201.20000000000002
2011-10-31,1,5,train,43.8,89.3,0.12916,1.0,45.5
2011-10-31,1,10,train,37.3,76.1,0.12916,1.0,38.8
2011-10-31,5,1,train,33.4,155.4,0.13328,1.0,122.0
2011-10-31,5,5,train,27.5,91.5,0.13328,1.0,64.0
2011-10-31,5,10,train,26.2,80.3,0.13328,1.0,54.099999999999994
2011-10-31,10,1,train,23.1,115.9,0.14065,1.0,92.80000000000001
2011-10-31,10,5,train,22.0,74.3,0.14065,1.0,52.3
2011-10-31,10,10,train,23.6,64.6,0.14065,1.0,40.99999999999999
2011-11-30,1,1,train,74.5,291.9,0.12916,1.0,217.39999999999998
2011-11-30,1,5,train,41.2,78.0,0.12916,1.0,36.8
2011-11-30,1,10,train,37.3,70.0,0.12916,1.0,32.7
2011-11-30,5,1,train,30.4,168.9,0.13328,1.0,138.5
2011-11-30,5,5,train,26.0,86.9,0.13328,1.0,60.900000000000006
2011-11-30,5,10,train,25.1,77.0,0.13328,1.0,51.9
2011-11-30,10,1,train,22.4,117.3,0.14065,1.0,94.9
2011-11-30,10,5,train,21.5,66.8,0.14065,1.0,45.3
2011-11-30,10,10,train,23.5,61.0,0.14065,1.0,37.5
2011-12-30,1,1,train,59.2,279.9,0.12916,1.0,220.7
2011-12-30,1,5,train,43.5,98.0,0.12916,1.0,54.5
2011-12-30,1,10,train,38.9,88.0,0.12916,1.0,49.1
2011-12-30,5,1,train,33.8,170.8,0.13328,1.0,137.0
2011-12-30,5,5,train,28.5,91.9,0.13328,1.0,63.400000000000006
2011-12-30,5,10,train,27.4,87.5,0.13328,1.0,60.1
2011-12-30,10,1,train,24.0,123.9,0.14065,1.0,99.9
2011-12-30,10,5,train,23.3,80.6,0.14065,1.0,57.3
2011-12-30,10,10,train,25.4,67.1,0.14065,1.0,41.699999999999996
2012-01-31,1,1,train,68.6,280.4,0.12916,1.0,211.79999999999998
2012-01-31,1,5,train,42.5,97.4,0.12916,1.0,54.900000000000006
2012-01-31,1,10,train,36.3,85.5,0.12916,1.0,49.2
2012-01-31,5,1,train,35.6,171.3,0.13328,1.0,135.70000000000002
2012-01-31,5,5,train,28.8,99.3,0.13328,1.0,70.5
2012-01-31,5,10,train,27.6,92.3,0.13328,1.0,64.69999999999999
2012-01-31,10,1,train,24.5,124.5,0.14065,1.0,100.0
2012-01-31,10,5,train,24.1,83.3,0.14065,1.0,59.199999999999996
2012-01-31,10,10,train,26.1,70.6,0.14065,1.0,44.49999999999999
2012-02-29,1,1,train,59.1,269.8,0.12916,1.0,210.70000000000002
2012-02-29,1,5,train,40.4,98.3,0.12916,1.0,57.9
2012-02-29,1,10,train,34.7,78.2,0.12916,1.0,43.5
2012-02-29,5,1,train,34.4,171.9,0.13328,1.0,137.5
2012-02-29,5,5,train,28.2,98.3,0.13328,1.0,70.1
2012-02-29,5,10,train,26.6,75.8,0.13328,1.0,49.199999999999996
2012-02-29,10,1,train,24.2,125.5,0.14065,1.0,101.3
2012-02-29,10,5,train,23.0,82.6,0.14065,1.0,59.599999999999994
2012-02-29,10,10,train,24.7,73.9,0.14065,1.0,49.2
2012-03-30,1,1,train,57.2,274.5,0.12916,1.0,217.3
2012-03-30,1,5,train,38.3,84.6,0.12916,1.0,46.3
2012-03-30,1,10,train,32.5,82.4,0.12916,1.0,49.900000000000006
2012-03-30,5,1,train,33.8,179.4,0.13328,1.0,145.60000000000002
2012-03-30,5,5,train,27.5,98.6,0.13328,1.0,71.1
2012-03-30,5,10,train,25.7,76.2,0.13328,1.0,50.5
2012-03-30,10,1,train,23.5,123.8,0.14065,1.0,100.3
2012-03-30,10,5,train,22.5,79.0,0.14065,1.0,56.5
2012-03-30,10,10,train,24.3,67.3,0.14065,1.0,43.0
2012-04-30,1,1,train,67.8,264.1,0.12916,1.0,196.3
2012-04-30,1,5,train,40.4,100.2,0.12916,1.0,59.800000000000004
2012-04-30,1,10,train,32.3,74.9,0.12916,1.0,42.60000000000001
2012-04-30,5,1,train,34.9,182.7,0.13328,1.0,147.79999999999998
2012-04-30,5,5,train,28.4,97.5,0.13328,1.0,69.1
2012-04-30,5,10,train,26.6,81.0,0.13328,1.0,54.4
2012-04-30,10,1,train,24.2,132.0,0.14065,1.0,107.8
2012-04-30,10,5,train,23.1,79.6,0.14065,1.0,56.49999999999999
2012-04-30,10,10,train,25.1,65.1,0.14065,1.0,39.99999999999999
2012-05-31,1,1,train,84.4,247.4,0.12916,1.0,163.0
2012-05-31,1,5,train,54.2,101.2,0.12916,1.0,47.0
