time,max_mahal_dist,mean_mahal_dist,frac_mahal_gt_threshold,n_paths_absG0_lt_1e_3,n_paths_absG0_lt_1e_4,n_paths_absG0_lt_floor,min_absG0_all_paths,decoder_min_G_abs0_valid_paths,decoder_max_short_rate_err_valid_paths,n_valid_decode,frac_valid_decode,batch_error
0.0,2.337241511557093,2.337241511557093,0.0,0,0,0,0.019888208640354448,0.019888208640354448,4.3553691081096857e-07,500,1.0,
0.08333333333333333,2.8506244773437586,2.3289461148097694,0.0,0,0,0,0.019336906570286007,0.019336906570286007,2.068727419812788e-06,500,1.0,
0.16666666666666666,3.1380441942566053,2.297842806457129,0.0,0,0,0,0.019086573665965962,0.019086573665965962,3.0814879162718856e-06,500,1.0,
0.25,3.4540573684823315,2.281067632910682,0.0,0,0,0,0.018865146422722086,0.018865146422722086,3.4869153433397804e-06,500,1.0,
0.3333333333333333,3.56994645004505,2.2829260244874496,0.0,0,0,0,0.018646860335784346,0.018646860335784346,3.5348006111289576e-06,500,1.0,
0.41666666666666663,3.892323019584795,2.2693069180973717,0.0,0,0,0,0.018554681590972868,0.018554681590972868,4.047212817000212e-06,500,1.0,
0.5,4.031138052714065,2.2623038937760187,0.004,0,0,0,0.0184912669624539,0.0184912669624539,5.81468410934885e-06,500,1.0,
0.5833333333333333,3.8717147919008035,2.2494279244831725,0.0,0,0,0,0.01820128509817019,0.01820128509817019,4.367449375930477e-06,500,1.0,
0.6666666666666666,3.8351999224800175,2.241430700206596,0.0,0,0,0,0.018060424690941865,0.018060424690941865,4.971213031206706e-06,500,1.0,
0.75,4.107271710258051,2.2320375054277544,0.002,0,0,0,0.018084940314002877,0.018084940314002877,5.403952561943565e-06,500,1.0,
0.8333333333333333,4.020904431795934,2.2184540365758707,0.002,0,0,0,0.017933168192034814,0.017933168192034814,5.561645428697748e-06,500,1.0,
0.9166666666666666,4.227448872426718,2.2077022390161773,0.008,0,0,0,0.017611785641296007,0.017611785641296007,5.911769910774828e-06,500,1.0,
1.0,4.315978765620197,2.195189354539171,0.01,0,0,0,0.017567943070790668,0.017567943070790668,5.7055118301528596e-06,500,1.0,
1.0833333333333333,4.459190606890184,2.188218860951546,0.008,0,0,0,0.017507430256733347,0.017507430256733347,6.454138082648969e-06,500,1.0,
1.1666666666666665,5.015273489487342,2.1790791599834036,0.004,0,0,0,0.017554163367400316,0.017554163367400316,7.74238174705219e-06,500,1.0,
1.25,4.890408160790088,2.1618034045196297,0.004,0,0,0,0.017655069066761755,0.017655069066761755,7.187004674565067e-06,500,1.0,
1.3333333333333333,4.796869596669199,2.139772583478467,0.008,0,0,0,0.01747752428265643,0.01747752428265643,7.525750954941873e-06,500,1.0,
1.4166666666666665,4.811429327098043,2.1242603516800056,0.008,0,0,0,0.01741418607834886,0.01741418607834886,6.57304132549788e-06,500,1.0,
1.5,4.657768340256664,2.1175411072840324,0.012,0,0,0,0.017521863809202905,0.017521863809202905,5.958926485652438e-06,500,1.0,
1.5833333333333333,4.695582279570699,2.107926038263134,0.008,0,0,0,0.017591070484887582,0.017591070484887582,6.378401142335954e-06,500,1.0,
1.6666666666666665,4.633080871963591,2.104754683381456,0.006,0,0,0,0.01770198325008694,0.01770198325008694,7.613407742447509e-06,500,1.0,
1.75,5.036649904434969,2.101367757290818,0.008,0,0,0,0.01763360326129821,0.01763360326129821,7.428527937870799e-06,500,1.0,
1.8333333333333333,5.272194474238241,2.0947402541351474,0.006,0,0,0,0.01748719678757377,0.01748719678757377,8.296800717084302e-06,500,1.0,
1.9166666666666665,5.084284697440912,2.0910261637071024,0.008,0,0,0,0.01726115774975095,0.01726115774975095,7.6179964249509236e-06,500,1.0,
2.0,5.1171533505859195,2.0962456737694493,0.012,0,0,0,0.017108199636074357,0.017108199636074357,7.788383809631538e-06,500,1.0,
2.083333333333333,5.220737813888922,2.0861483689067843,0.01,0,0,0,0.01686503052727044,0.01686503052727044,8.001231381331297e-06,500,1.0,
2.1666666666666665,5.1878692156033965,2.07710541505688,0.012,0,0,0,0.016447608709822356,0.016447608709822356,7.758299700708765e-06,500,1.0,
2.25,5.058939044209911,2.0672375052569896,0.008,0,0,0,0.016789979265560067,0.016789979265560067,7.825542738117836e-06,500,1.0,
2.333333333333333,5.005497609139569,2.0717267606723295,0.004,0,0,0,0.016342270795753046,0.016342270795753046,7.98500647217551e-06,500,1.0,
2.4166666666666665,5.274799443947395,2.0715012965146236,0.006,0,0,0,0.016272818579141753,0.016272818579141753,7.461376866572944e-06,500,1.0,
