time,max_mahal_dist,mean_mahal_dist,frac_mahal_gt_threshold,n_paths_absG0_lt_1e_3,n_paths_absG0_lt_1e_4,n_paths_absG0_lt_floor,min_absG0_all_paths,decoder_min_G_abs0_valid_paths,decoder_max_short_rate_err_valid_paths,n_valid_decode,frac_valid_decode,batch_error
0.0,2.337241511557093,2.337241511557093,0.0,0,0,0,0.019888208640354448,0.019888208640354448,4.3553691081096857e-07,500,1.0,
0.08333333333333333,3.4061057642957704,2.3453886899695204,0.0,0,0,0,0.018792119663500487,0.018792119663500487,3.739273827390449e-06,500,1.0,
0.16666666666666666,4.030158822463119,2.3092849999283507,0.002,0,0,0,0.0182977956083076,0.0182977956083076,5.641808373674229e-06,500,1.0,
0.25,4.661999879666131,2.302322454979871,0.01,0,0,0,0.017859445454610046,0.017859445454610046,7.86100399558648e-06,500,1.0,
0.3333333333333333,4.9101175047009304,2.330524280314442,0.022,0,0,0,0.017429331631265203,0.017429331631265203,7.403287397969582e-06,500,1.0,
0.41666666666666663,5.557207501701074,2.3301038923478217,0.036,0,0,0,0.01724616989211314,0.01724616989211314,8.669016583140454e-06,500,1.0,
0.5,5.878639047158084,2.345656964993565,0.038,0,0,0,0.01712625274953676,0.01712625274953676,1.4353189284076195e-05,500,1.0,
0.5833333333333333,5.561322848461563,2.340939711248468,0.05,0,0,0,0.016552377309178867,0.016552377309178867,9.789325766174084e-06,500,1.0,
0.6666666666666666,5.507432591996963,2.3486824814801577,0.058,0,0,0,0.01627423231644874,0.01627423231644874,1.1151094617703472e-05,500,1.0,
0.75,6.0671952076071385,2.3622848331890474,0.064,0,0,0,0.016325040208252848,0.016325040208252848,1.2124345901809441e-05,500,1.0,
0.8333333333333333,5.899719865215808,2.35166977367755,0.076,0,0,0,0.016024681092146574,0.016024681092146574,1.2325084870621478e-05,500,1.0,
0.9166666666666666,6.3190635601244916,2.3569529939018294,0.068,0,0,0,0.015387541510534095,0.015387541510534095,1.3407261691938954e-05,500,1.0,
1.0,6.556844206192911,2.344789097766191,0.072,0,0,0,0.015297470316038994,0.015297470316038994,1.3331884901324198e-05,500,1.0,
1.0833333333333333,6.848552512556344,2.3536224744261465,0.078,0,0,0,0.01518270372491659,0.01518270372491659,1.7685599181894995e-05,500,1.0,
1.1666666666666665,7.994515434645181,2.3468698954512885,0.086,0,0,0,0.015276119620700263,0.015276119620700263,1.9045543549176674e-05,500,1.0,
1.25,7.746794285983452,2.3470742487603964,0.092,0,0,0,0.015469730347957188,0.015469730347957188,1.812005337133507e-05,500,1.0,
1.3333333333333333,7.561550618294728,2.3377873985375253,0.09,0,0,0,0.015117014885114844,0.015117014885114844,1.7389354555918946e-05,500,1.0,
1.4166666666666665,7.596202711187234,2.3235937862894116,0.09,0,0,0,0.014990618150705182,0.014990618150705182,1.748603131047216e-05,500,1.0,
1.5,7.285239580741791,2.3371576736605624,0.082,0,0,0,0.015201482928284566,0.015201482928284566,1.5755520084551056e-05,500,1.0,
1.5833333333333333,7.383001900217352,2.3365689745749223,0.09,0,0,0,0.015336656030761842,0.015336656030761842,1.6465916091095573e-05,500,1.0,
1.6666666666666665,7.2885161222182235,2.346014890181702,0.108,0,0,0,0.015552430769462913,0.015552430769462913,1.6645362817702125e-05,500,1.0,
