time,U,tau_remaining,disc_bond_mean,disc_bond_std,disc_bond_sem,initial_disc_bond_value,relative_mean_error,n_valid_paths,frac_valid_paths
0.0,5.0,5.0,0.9227531888646956,0.0,0.0,0.9227531888646956,0.0,100,1.0
0.0,10.0,10.0,0.8064067505665572,3.3306690738754696e-16,3.3306690738754695e-17,0.8064067505665575,4.130259415035204e-16,100,1.0
0.0,20.0,20.0,0.6057128676472994,2.220446049250313e-16,2.2204460492503132e-17,0.6057128676472996,3.665839323960435e-16,100,1.0
0.0,30.0,30.0,0.4745480334979464,5.551115123125783e-17,5.551115123125783e-18,0.47454803349794644,1.1697688603212396e-16,100,1.0
0.0833333333,5.0,4.9166666667,0.9245868752076339,0.010795960372510892,0.0010795960372510893,0.9227531888646956,0.001987190469852953,100,1.0
0.0833333333,10.0,9.9166666667,0.8350640331496149,0.007662336782862913,0.0007662336782862913,0.8064067505665575,0.035537007301741426,100,1.0
0.0833333333,20.0,19.9166666667,0.6827503073132923,0.023841780072737653,0.002384178007273765,0.6057128676472996,0.12718475003712626,100,1.0
0.0833333333,30.0,29.9166666667,0.5700373067524024,0.03289638949682444,0.003289638949682444,0.47454803349794644,0.2012215129216612,100,1.0
0.1666666666,5.0,4.8333333334,0.9299383219400279,0.013945885633121028,0.0013945885633121027,0.9227531888646956,0.007786625028272724,100,1.0
0.1666666666,10.0,9.8333333334,0.8565453067023842,0.010877071592838,0.0010877071592838,0.8064067505665575,0.06217526837492464,100,1.0
0.1666666666,20.0,19.8333333334,0.7292382016566152,0.02335762520637992,0.002335762520637992,0.6057128676472996,0.2039338118886442,100,1.0
0.1666666666,30.0,29.8333333334,0.6280816493443239,0.0325170855199854,0.0032517085519985405,0.47454803349794644,0.32353651265745226,100,1.0
0.24999999990000002,5.0,4.7500000001,0.9381604282160732,0.013709296801625012,0.0013709296801625013,0.9227531888646956,0.016697031814470097,100,1.0
0.24999999990000002,10.0,9.7500000001,0.8757040159720403,0.013643904200122646,0.0013643904200122646,0.8064067505665575,0.08593338951688655,100,1.0
0.24999999990000002,20.0,19.7500000001,0.7663319051123213,0.01793171007944326,0.001793171007944326,0.6057128676472996,0.2651735600217569,100,1.0
0.24999999990000002,30.0,29.7500000001,0.6757123829624929,0.024005471475788635,0.0024005471475788635,0.47454803349794644,0.4239072449246953,100,1.0
0.3333333332,5.0,4.6666666668,0.9469520380586454,0.014023043826769405,0.0014023043826769405,0.9227531888646956,0.02622461724973575,100,1.0
0.3333333332,10.0,9.6666666668,0.8937787521711453,0.015509044726371497,0.0015509044726371498,0.8064067505665575,0.10834730927438643,100,1.0
0.3333333332,20.0,19.6666666668,0.7978175591128537,0.02033296696475126,0.002033296696475126,0.6057128676472996,0.31715471426539793,100,1.0
0.3333333332,30.0,29.6666666668,0.7164255366487646,0.026957288293714913,0.0026957288293714913,0.47454803349794644,0.5097007806942369,100,1.0
0.41666666650000006,5.0,4.5833333335,0.9526517622484841,0.012236830243105486,0.0012236830243105485,0.9227531888646956,0.03240148475734241,100,1.0
0.41666666650000006,10.0,9.5833333335,0.9076166838573873,0.01525077565222228,0.001525077565222228,0.8064067505665575,0.1255072991635085,100,1.0
0.41666666650000006,20.0,19.5833333335,0.8264410241040485,0.019553807389941055,0.0019553807389941055,0.6057128676472996,0.364410545402639,100,1.0
0.41666666650000006,30.0,29.5833333335,0.7549545557628115,0.02543976279839469,0.0025439762798394687,0.47454803349794644,0.5908917590448269,100,1.0
0.49999999980000004,5.0,4.5000000002,0.9575851563260707,0.013884992776145058,0.0013884992776145059,0.9227531888646956,0.03774787004987801,100,1.0
0.49999999980000004,10.0,9.5000000002,0.919788150050307,0.018307940944350863,0.0018307940944350862,0.8064067505665575,0.1406007568811782,100,1.0
0.49999999980000004,20.0,19.5000000002,0.8506539092810325,0.025998204724007802,0.00259982047240078,0.6057128676472996,0.40438474187469226,100,1.0
0.49999999980000004,30.0,29.5000000002,0.7880659899158771,0.03474384063354321,0.003474384063354321,0.47454803349794644,0.6606664326621582,100,1.0
0.5833333331,5.0,4.4166666669,0.9624939794751903,0.01406821015329431,0.001406821015329431,0.9227531888646956,0.0430676274978682,100,1.0
0.5833333331,10.0,9.4166666669,0.9313241434090962,0.019196169775489904,0.0019196169775489904,0.8064067505665575,0.15490618444696228,100,1.0
0.5833333331,20.0,19.4166666669,0.8739762275536195,0.028160959843497833,0.0028160959843497833,0.6057128676472996,0.4428886593548924,100,1.0
0.5833333331,30.0,29.4166666669,0.8202879870276263,0.03834151910267779,0.0038341519102677787,0.47454803349794644,0.7285668238496157,100,1.0
0.6666666664,5.0,4.3333333336,0.9671512624380191,0.013600018474958014,0.0013600018474958014,0.9227531888646956,0.04811478747415483,100,1.0
0.6666666664,10.0,9.3333333336,0.9412346383977409,0.018955334699068564,0.0018955334699068565,0.8064067505665575,0.16719588190011714,100,1.0
0.6666666664,20.0,19.3333333336,0.8927866332631406,0.028922170398234914,0.0028922170398234916,0.6057128676472996,0.47394364714569853,100,1.0
0.6666666664,30.0,29.3333333336,0.8466086848251946,0.04023450654307689,0.004023450654307689,0.47454803349794644,0.7840315944094165,100,1.0
0.7499999997000001,5.0,4.2500000003,0.9730438513333874,0.011743016869359399,0.00117430168693594,0.9227531888646956,0.054500665048436946,100,1.0
0.7499999997000001,10.0,9.2500000003,0.9523868616219505,0.019628392586683814,0.0019628392586683815,0.8064067505665575,0.18102540802495973,100,1.0
0.7499999997000001,20.0,19.2500000003,0.9138149138463415,0.03439005705484192,0.0034390057054841917,0.6057128676472996,0.5086602293851987,100,1.0
0.7499999997000001,30.0,29.2500000003,0.8767016495197585,0.04959600982692013,0.0049596009826920135,0.47454803349794644,0.8474455431992688,100,1.0
