time,max_mahal_dist,mean_mahal_dist,frac_mahal_gt_threshold,n_paths_absG0_lt_1e_3,n_paths_absG0_lt_1e_4,n_paths_absG0_lt_floor,min_absG0_all_paths,decoder_min_G_abs0_valid_paths,decoder_max_short_rate_err_valid_paths,n_valid_decode,frac_valid_decode,batch_error
0.0,0.2071806719530873,0.20718067195308726,0.0,0,0,0,0.009317005591433863,0.009317005591433863,0.0004968758103671318,100,1.0,
0.0833333333,3.9280066936211715,1.5088827703377696,0.0,0,0,0,0.0024514583168639414,0.0024514583168639414,0.000607955437440199,100,1.0,
0.1666666666,5.7756157095896405,2.3933640665665243,0.12,2,0,0,0.00032510440151642395,0.00032510440151642395,0.010203864301248214,100,1.0,
0.24999999990000002,5.4568259862119515,2.7606120445628926,0.18,2,0,0,0.0001853998778728605,0.0001853998778728605,0.012012566395313182,100,1.0,
0.3333333332,5.434472865585014,2.990745235223562,0.23,6,0,0,0.00019366618162247606,0.00019366618162247606,0.011177755528906225,100,1.0,
0.41666666650000006,6.016615365324376,3.430092057129335,0.26,10,0,0,0.00013467468794847726,0.00013467468794847726,0.01786094758558758,100,1.0,
0.49999999980000004,7.422498144571204,3.7520125281681986,0.47,13,1,0,7.028830998812019e-05,7.028830998812019e-05,0.011144462630839526,100,1.0,
0.5833333331,7.132371025285508,4.190974050542259,0.56,21,4,0,2.598528824748758e-05,2.598528824748758e-05,0.02297196741732793,100,1.0,
0.6666666664,8.400846988596152,4.383538071981054,0.56,26,3,0,1.9386001423316035e-05,1.9386001423316035e-05,0.028101553193746104,100,1.0,
0.7499999997000001,8.434274929277132,4.4409817225823245,0.6,26,0,0,0.00011906839698028193,0.00011906839698028193,0.005744584928909688,100,1.0,
0.8333333330000001,6.990692862673146,4.256211118021652,0.55,29,3,1,9.009112115987428e-06,2.620254977975245e-05,0.01037773048483955,99,0.99,"G(z,0) too close to zero: min |G(z,0)| = 9.009e-06. Decoder ODE becomes ill-conditioned."
0.9166666663,7.992320157035055,4.4848521710275575,0.65,29,2,0,4.7789068972042825e-05,4.7789068972042825e-05,0.012860007042161463,100,1.0,
0.9999999996000001,7.804086025184715,4.7611826495587515,0.74,27,1,0,6.995416046506886e-05,6.995416046506886e-05,0.006583175877005796,100,1.0,
