time_index,G0_min,G0_max,absG0_min,absG0_mean,absG0_median,absG0_1pct,absG0_5pct,count_absG0_lt_1e_2,count_absG0_lt_1e_3,count_absG0_lt_1e_4,count_absG0_lt_1e_5
0,0.019888208640354448,0.019888208640354448,0.019888208640354448,0.019888208640354448,0.019888208640354448,0.019888208640354448,0.019888208640354448,0,0,0,0
1,0.019336906570286007,0.020471118409169688,0.019336906570286007,0.01987625817362351,0.019870986469247665,0.019475586244051112,0.01958587602417588,0,0,0,0
2,0.019086573665965962,0.020920952742398476,0.019086573665965962,0.01988031988046609,0.019881928128857754,0.019299596327108398,0.019440323888485104,0,0,0,0
3,0.018865146422722086,0.020788180817655884,0.018865146422722086,0.01986655201048646,0.019876052813059604,0.019106593319491754,0.019332443867282747,0,0,0,0
4,0.018646860335784346,0.02110478341683726,0.018646860335784346,0.019844121284044773,0.019848090266389593,0.01893083898710527,0.01923968573193589,0,0,0,0
5,0.018554681590972868,0.02109671973620919,0.018554681590972868,0.019832669810829748,0.019833880088519315,0.018840756164797003,0.019170692535419392,0,0,0,0
6,0.0184912669624539,0.021091811099624904,0.0184912669624539,0.019843090272827636,0.01985165007187003,0.018715303822845926,0.019069640229161463,0,0,0,0
7,0.01820128509817019,0.02119854841334213,0.01820128509817019,0.019842672801156445,0.019831449113232064,0.01873337869734549,0.01906013990794437,0,0,0,0
8,0.018060424690941865,0.021503847674412373,0.018060424690941865,0.01983046994122385,0.01983511593718239,0.0185982445937133,0.018961183669290563,0,0,0,0
9,0.018084940314002877,0.021764543542834712,0.018084940314002877,0.019828975689200654,0.01981314903240025,0.018491890235332493,0.0188863947800565,0,0,0,0
10,0.017933168192034814,0.02189103145599984,0.017933168192034814,0.019823829312846736,0.019796458600931516,0.018451911024427822,0.018811495198846798,0,0,0,0
11,0.017611785641296007,0.021870677355477687,0.017611785641296007,0.019813282937165128,0.019823559279490206,0.018353510860390755,0.01884140584566707,0,0,0,0
12,0.017567943070790668,0.021680819518455567,0.017567943070790668,0.0198227935014903,0.01982990205530468,0.01823211845222462,0.018817913523386208,0,0,0,0
13,0.017507430256733347,0.02180087456709207,0.017507430256733347,0.019817822433456412,0.019821741527603378,0.018137448116367763,0.018765148237045903,0,0,0,0
14,0.017554163367400316,0.021543958268068486,0.017554163367400316,0.019815811326362977,0.019816053699308514,0.01819298789955049,0.01872864689144942,0,0,0,0
15,0.017655069066761755,0.021746568081231998,0.017655069066761755,0.019814025420421905,0.019848225173436762,0.018134596070433114,0.018644359212479478,0,0,0,0
16,0.01747752428265643,0.021957356011513836,0.01747752428265643,0.0198178273740409,0.01982125149883128,0.01818013140208519,0.018681914041081386,0,0,0,0
17,0.01741418607834886,0.02194103250181285,0.01741418607834886,0.01980315917097579,0.019812114645954223,0.01816916830710414,0.01856736927031009,0,0,0,0
18,0.017521863809202905,0.021958403920906113,0.017521863809202905,0.019803532686471576,0.01978358897276152,0.0180768945560848,0.018540876984101763,0,0,0,0
19,0.017591070484887582,0.022161999539708415,0.017591070484887582,0.019811024900394433,0.019804085369500332,0.017967680812454295,0.01850842736426833,0,0,0,0
20,0.01770198325008694,0.022375210377681583,0.01770198325008694,0.019812917199710192,0.01979544806614602,0.018074857122679526,0.01847145747897329,0,0,0,0
21,0.01763360326129821,0.0224465016194651,0.01763360326129821,0.019803603274202563,0.019848004876541963,0.018044676145228294,0.018424001518312888,0,0,0,0
22,0.01748719678757377,0.02207827456793348,0.01748719678757377,0.01979996790633053,0.019805406928704486,0.017888106189591232,0.01836290511778511,0,0,0,0
23,0.01726115774975095,0.022044318098044646,0.01726115774975095,0.019804099496259255,0.019800944152097065,0.017879741752637485,0.018337763058347157,0,0,0,0
24,0.017108199636074357,0.022113307236698423,0.017108199636074357,0.01980373078358646,0.01984232749968997,0.017853662774767236,0.018303142467490305,0,0,0,0
25,0.01686503052727044,0.022203892120666164,0.01686503052727044,0.019807311735753907,0.019855160284994913,0.01775055109077286,0.01824996844975362,0,0,0,0
26,0.016447608709822356,0.02224447752874634,0.016447608709822356,0.0198187480243689,0.0198180428403461,0.01778174731005523,0.01832012574434102,0,0,0,0
27,0.016789979265560067,0.02234834782421735,0.016789979265560067,0.019809809856365868,0.019794224421371246,0.017556588867486237,0.01833361125927138,0,0,0,0
28,0.016342270795753046,0.022517665515413777,0.016342270795753046,0.01980423543146206,0.019840772268203462,0.017532919686476016,0.018260722390297912,0,0,0,0
29,0.016272818579141753,0.022479604240269742,0.016272818579141753,0.019817207243060016,0.019804940220705326,0.01759118738945428,0.018310217624088895,0,0,0,0
30,0.0164109337498074,0.02262124905524034,0.0164109337498074,0.01980307348805716,0.019831997734044367,0.01760003571845871,0.01817409026569268,0,0,0,0
31,0.016633056826210274,0.02265579304804278,0.016633056826210274,0.019812311292653168,0.019866737067850134,0.017441142971479966,0.018187447472030913,0,0,0,0
32,0.016390028345729626,0.022469256085498327,0.016390028345729626,0.01982778390303338,0.019867149792637616,0.017401451351739594,0.018269044242186946,0,0,0,0
33,0.016412849791034634,0.02279673284812584,0.016412849791034634,0.019825574603352693,0.01984677243554899,0.017360894461680706,0.018072775550397106,0,0,0,0
34,0.016361858637357667,0.02285745930036752,0.016361858637357667,0.019823215390828243,0.01987138579602201,0.017363911501890445,0.018143993988010386,0,0,0,0
35,0.01660017859479781,0.022618275583130072,0.01660017859479781,0.01982054785165807,0.019872302752838293,0.017304099917779713,0.018037652321541326,0,0,0,0
36,0.0164207558747084,0.02282705476803372,0.0164207558747084,0.019823670803836017,0.019863495950752513,0.017115712711567838,0.01803378836279706,0,0,0,0
37,0.016328930968429488,0.0229000811520554,0.016328930968429488,0.019837213171310642,0.0199316073384876,0.017195828197249796,0.01797250218524644,0,0,0,0
38,0.016148740881818155,0.023050539014675967,0.016148740881818155,0.019839425326845187,0.019920979293010864,0.0172257752803028,0.01792501808197844,0,0,0,0
39,0.015844133693433345,0.02291674507106769,0.015844133693433345,0.019848039076400693,0.01986680369947036,0.01725008193338566,0.017832401115272498,0,0,0,0
40,0.0156834999091105,0.022973364562149833,0.0156834999091105,0.019849959169533016,0.019898695626960526,0.017271343053525647,0.017854105348541288,0,0,0,0
41,0.01569114179679405,0.022946726998107625,0.01569114179679405,0.019837494201886262,0.01987592581468699,0.017237799337989128,0.01790478685114655,0,0,0,0
42,0.015792116326954448,0.02313942566480983,0.015792116326954448,0.019842770242146358,0.019874395318906626,0.01709584391871899,0.017876294043322256,0,0,0,0
43,0.015914560131467463,0.02311949593339461,0.015914560131467463,0.019842783118839646,0.019847685310539733,0.017056212791118054,0.017818048807309868,0,0,0,0
44,0.01594218070742489,0.02342155100884575,0.01594218070742489,0.019838492813595607,0.019846980529934825,0.017007798799671472,0.017819578025370535,0,0,0,0
45,0.01613590548938955,0.02324423555843426,0.01613590548938955,0.019831811279193545,0.019831602857360305,0.016813823631431517,0.017795714720599806,0,0,0,0
46,0.01589592002437334,0.023042279182903157,0.01589592002437334,0.019844707771759642,0.019872998891162473,0.016944286397505802,0.017792121577015967,0,0,0,0
47,0.01601748249587245,0.02331499934051575,0.01601748249587245,0.019864655707711995,0.01987987892752975,0.01685868386557908,0.017771823776815292,0,0,0,0
48,0.01592665549434389,0.023417457729948903,0.01592665549434389,0.019874382873155256,0.01988569277402308,0.01687338508135948,0.01778211405414915,0,0,0,0
49,0.0159766452298129,0.023579482254231378,0.0159766452298129,0.019874623616440993,0.019914147754113494,0.016912792791496017,0.017704546204213127,0,0,0,0
50,0.015779624250105023,0.023556248721231778,0.015779624250105023,0.01989230645692068,0.019871414176833,0.016703023280041678,0.017720673052119388,0,0,0,0
51,0.015897971738120083,0.02371083757426959,0.015897971738120083,0.019911278490380126,0.019894978328376584,0.01670254300612826,0.017734080973790166,0,0,0,0
52,0.016236304071393676,0.023698984952369825,0.016236304071393676,0.019911173048323724,0.01995429626803311,0.01667529723332055,0.017623557209414734,0,0,0,0
53,0.01604688459747714,0.023770953595232205,0.01604688459747714,0.019912446502781202,0.019946436258369837,0.016739899531480727,0.017651354612803153,0,0,0,0
54,0.015901992625378336,0.02408396996184692,0.015901992625378336,0.019909746883576475,0.019970088273186866,0.01677031036025461,0.017556168411969192,0,0,0,0
55,0.015566748183335723,0.02404314613324253,0.015566748183335723,0.01992305721194892,0.019984896355753238,0.0165142457081433,0.017586654061189123,0,0,0,0
56,0.01534290616692056,0.023998183905427656,0.01534290616692056,0.01994296888403825,0.019978682919623687,0.01673747899293011,0.01769251469952224,0,0,0,0
57,0.015431542088559957,0.023955700173638756,0.015431542088559957,0.019952404556622505,0.020028569430570558,0.016693678486612566,0.017618708277404846,0,0,0,0
58,0.015287385608220096,0.02401914499416483,0.015287385608220096,0.019963402312145377,0.020012875436487904,0.01651178820645389,0.017703813905516216,0,0,0,0
59,0.015053127691788223,0.02397933083846069,0.015053127691788223,0.01997470341533737,0.02002703039816106,0.016628888470354954,0.017575794411213926,0,0,0,0
60,0.014567674246704129,0.024096250200050046,0.014567674246704129,0.019975346232303452,0.019943055269157232,0.016512096436890653,0.017595506921621845,0,0,0,0
61,0.014478945791957363,0.024054503659827597,0.014478945791957363,0.019981590827059803,0.019989946497229592,0.016700307355378568,0.01765893458365593,0,0,0,0
62,0.014247389891253726,0.024056640826998474,0.014247389891253726,0.019989569058662806,0.019999524198574502,0.016648605125653533,0.017712161181161985,0,0,0,0
63,0.014490006110394514,0.023875875531003083,0.014490006110394514,0.019991370490486937,0.01999270431436445,0.016545825294908455,0.017695394350798,0,0,0,0
64,0.014272067026861658,0.0242527693386528,0.014272067026861658,0.01999421276288451,0.020028238709748347,0.016349496568531408,0.01762050045869728,0,0,0,0
65,0.01446432734136827,0.02465945323216058,0.01446432734136827,0.019998425739718953,0.01997140997269615,0.016345417833410602,0.017544508469166813,0,0,0,0
66,0.01455756007152313,0.02466046444747563,0.01455756007152313,0.02001025403493145,0.020042161270838566,0.016379240376244893,0.017579841021725225,0,0,0,0
67,0.014871899104202732,0.024762019360106913,0.014871899104202732,0.020018819307811943,0.020025164122844063,0.016501255934287824,0.017528629192009197,0,0,0,0
68,0.015178434708548034,0.024835892126797994,0.015178434708548034,0.020018209928016863,0.020000169023226093,0.016504923586835057,0.017559746223382647,0,0,0,0
69,0.015572909153322129,0.024900909715192227,0.015572909153322129,0.020005660182730346,0.0200157912829684,0.016456142240275126,0.017488282040395927,0,0,0,0
70,0.015457310582020354,0.024944376513750144,0.015457310582020354,0.020006964506138578,0.02002362092750754,0.016462546927901913,0.017578327832960292,0,0,0,0
71,0.015569074827699945,0.024959734683768702,0.015569074827699945,0.020017404056613102,0.020010413122302673,0.01647581782686246,0.01754877997011797,0,0,0,0
72,0.015341380142086896,0.024796856764137135,0.015341380142086896,0.020016844180802913,0.020036166747963574,0.016346274769976486,0.017574594519207797,0,0,0,0
73,0.015383153538853393,0.024966400813142862,0.015383153538853393,0.0200269886608605,0.020015591920282592,0.016365972017666944,0.017419446416583842,0,0,0,0
74,0.015279632209820829,0.02520102592193013,0.015279632209820829,0.020028247036589515,0.02002537245013327,0.016437951208800924,0.017412808189743757,0,0,0,0
75,0.015109803377293021,0.02530249502254535,0.015109803377293021,0.0200243508165375,0.02001042517288766,0.01633848587546352,0.017298142225260573,0,0,0,0
76,0.0148871386908783,0.025357725952752257,0.0148871386908783,0.02003041775562965,0.020039879741660452,0.01622052680641391,0.017294780401239315,0,0,0,0
77,0.014776907263449502,0.025253927029704113,0.014776907263449502,0.020053721078980295,0.02006674586399456,0.016506287687935373,0.01729259762343758,0,0,0,0
78,0.014618635140026724,0.025254298259394115,0.014618635140026724,0.02005774389763225,0.02003236712802557,0.016484010299154018,0.017357399665674376,0,0,0,0
79,0.01447328359430361,0.025109681826289313,0.01447328359430361,0.020071988193400826,0.02002601317963529,0.01655540167784919,0.01737563981450182,0,0,0,0
80,0.014470684689431312,0.025538983723536083,0.014470684689431312,0.02007586552580812,0.02004169966727643,0.016487345678488616,0.017375731985759733,0,0,0,0
81,0.01437183272921291,0.02550079724700515,0.01437183272921291,0.020076237287614474,0.020096327508668133,0.01646881648000659,0.017269909565091928,0,0,0,0
82,0.014359570938320207,0.025653470081878373,0.014359570938320207,0.020077431823724574,0.020114960307852647,0.016264292341526192,0.01728148876570102,0,0,0,0
83,0.014276617239650995,0.025568743101890303,0.014276617239650995,0.020083725186186976,0.02011643763510681,0.016136814854951775,0.017282627626810543,0,0,0,0
