time,U,tau_remaining,disc_bond_mean,disc_bond_std,disc_bond_sem,initial_disc_bond_value,relative_mean_error
0.0,5.0,5.0,0.9084479915878557,0.0,0.0,0.9084479915878557,0.0
0.0,10.0,10.0,0.8001508629694414,0.0,0.0,0.7650537617162814,0.04587533975968568
0.0,20.0,20.0,0.5763797850734654,0.0,0.0,0.4918536735137974,0.17185215057115344
0.0,30.0,30.0,0.4087727095611543,5.551115123125783e-17,5.551115123125783e-18,0.2635568885131768,0.55098472996549
0.08333333333333333,5.0,4.916666666666667,0.9087119568117835,0.009426380770263186,0.0009426380770263187,0.9084479915878557,0.0002905672381601274
0.08333333333333333,10.0,9.916666666666666,0.8040781976595354,0.018547193490020025,0.0018547193490020025,0.7650537617162814,0.0510087498370162
0.08333333333333333,20.0,19.916666666666668,0.5927145981787969,0.029379509504796692,0.0029379509504796693,0.4918536735137974,0.20506286746716793
0.08333333333333333,30.0,29.916666666666668,0.4327044062978594,0.03202658068835291,0.003202658068835291,0.2635568885131768,0.6417875045456299
0.16666666666666666,5.0,4.833333333333333,0.9082261539463704,0.012316597572531595,0.0012316597572531594,0.9084479915878557,0.00024419410196236643
0.16666666666666666,10.0,9.833333333333334,0.806011723669326,0.02376700621748975,0.002376700621748975,0.7650537617162814,0.053536057206178225
0.16666666666666666,20.0,19.833333333333332,0.60433927879677,0.036573437332232415,0.0036573437332232416,0.4918536735137974,0.22869729624946505
0.16666666666666666,30.0,29.833333333333332,0.4506067273339825,0.03972445639205566,0.003972445639205566,0.2635568885131768,0.709713336942259
0.25,5.0,4.75,0.9092870504611867,0.013644459907306918,0.0013644459907306919,0.9084479915878557,0.0009236179518262242
0.25,10.0,9.75,0.8103201231298811,0.02604253382088124,0.002604253382088124,0.7650537617162814,0.059167556162395135
0.25,20.0,19.75,0.6178233952469215,0.03932866356012033,0.003932866356012033,0.4918536735137974,0.25611219050820094
0.25,30.0,29.75,0.46940164596506945,0.04268801368868308,0.004268801368868308,0.2635568885131768,0.7810259053107663
0.3333333333333333,5.0,4.666666666666667,0.9115062739417213,0.013421114089935312,0.0013421114089935313,0.9084479915878557,0.0033664914031238313
0.3333333333333333,10.0,9.666666666666666,0.8163577047853819,0.02564448259856828,0.0025644482598568283,0.7650537617162814,0.06705926516067055
