time,max_mahal_dist,mean_mahal_dist,frac_mahal_gt_threshold,decoder_min_G_abs0,decoder_max_short_rate_err,decoder_short_rate_tau_used,decoder_P_min,decoder_P_max
0.0,0.2071806719530873,0.20718067195308726,0.0,0.009317005591433863,0.0005201226084436961,0.019230769230769232,0.46973618845589554,0.9997163957731808
0.08333333333333333,2.1307465921510302,1.409502567495515,0.0,0.005232238527765276,0.0004163772203175462,0.019230769230769232,0.5510409183468606,0.9997499521905042
0.16666666666666666,3.169493893612379,2.270536577381391,0.0,0.0035395318310513235,0.00034243241840969593,0.019230769230769232,0.5991197241807226,0.9997804496975208
0.25,3.523526716021321,2.76259567526735,0.0,0.0029485175854387924,0.0002938970215204586,0.019230769230769232,0.6590779941292232,0.9998119515619194
0.3333333333333333,3.7637248163187014,3.101464870441277,0.0,0.002560676430624048,0.00025472017839773577,0.019230769230769232,0.6927719641734432,0.9998403438833358
0.41666666666666663,4.1214557755413415,3.4391534318107713,0.03,0.0019831868579901213,0.0002349956196830271,0.019230769230769232,0.7324650488495288,0.9998711939018984
0.5,4.767105008668971,3.7136099023666462,0.15,0.0009410298017690777,0.0005937791505591693,0.019230769230769232,0.7647309210794245,0.9998978831685512
0.5833333333333333,4.7991283024142986,4.002044010290767,0.49,0.0008938453315015527,0.0005373065990945235,0.019230769230769232,0.7858587112118965,0.9999075873886321
0.6666666666666666,5.281215291945358,4.197368604693678,0.66,0.00010930820205273806,0.005334955009623898,0.019230769230769232,0.820295289238866,0.9999288228778176
0.75,5.43743481050289,4.348309190246592,0.85,2.253573043278778e-05,0.01942517321308001,0.019230769230769232,0.8422141091856938,1.0002622150499718
0.8333333333333333,5.154322935765057,4.41228269719018,0.89,0.00034762474684690847,0.0008854355405061203,0.019230769230769232,0.8662829237608963,0.9999646801089851
