epoch,time_total_sec,time_interval_sec,loss_vol,loss_drift,loss_eig,loss_l2,swaption_priced_frac,path_finite_frac,recon_rmse_bps,nan_batches,gnorm,gnorm_scale,lr,lambda_min_KQ,Lambda_norm_fro,sigma_scale_mean,sigma_s1,sigma_s2,sigma_s3,sigma_s4,fwd_bias_diag_bp,rmse_bps_AUD,rmse_bps_CAD,rmse_bps_DKK,rmse_bps_EUR,rmse_bps_JPY,rmse_bps_NOK,rmse_bps_SEK,rmse_bps_GBP,rmse_bps_USD
10,80.3,7.319,0.8471724539995193,21.689023971557617,0.0,9.031452391505823e-10,1.0,0.74072265625,5.2951848771837025,0,4.999999809265133,2.000000119209286,0.00011038999999999998,0.00037886318750679493,0.003251368412747979,0.1642504185438156,0.1678650826215744,0.16276392340660095,0.16275838017463684,0.16361431777477264,-395.225,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
11,87.6,7.253,1.467596247792244,15.089974641799927,0.0,1.153808076859164e-09,1.0,0.76422119140625,5.2951848771837025,0,4.999999809265133,2.0,0.00012037999999999998,0.0003969745012000203,0.003642179537564516,0.16419216990470886,0.16807259619235992,0.16284997761249542,0.1628243625164032,0.1630217730998993,-307.85,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
12,95.2,7.637,1.416669487953186,20.730022430419922,0.0,1.4446827345526714e-09,1.0,0.73046875,5.2951848771837025,0,5.000000381469712,2.0,0.00013037,0.00026556639932096004,0.004085227381438017,0.16420893371105194,0.16865430772304535,0.1627122312784195,0.16297148168087006,0.16249771416187286,-466.9,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
13,103.3,8.035,1.1071421205997467,24.65281057357788,0.0,1.860555820520915e-09,1.0,0.7216796875,5.2951848771837025,0,5.00000019073486,2.000000119209286,0.00014036,0.0001711838413029909,0.004715674556791782,0.1642472892999649,0.16893714666366577,0.16265180706977844,0.16315323114395142,0.1622469574213028,-457.42499999999995,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
14,111.0,7.737,1.4469808489084244,23.551547050476074,0.0,2.4990076119557614e-09,1.0,0.74505615234375,5.2951848771837025,0,5.00000019073486,2.0,0.00015035,0.0001215594238601625,0.005471819080412388,0.16422240436077118,0.16915342211723328,0.16244809329509735,0.16357187926769257,0.16171622276306152,-527.3,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
15,118.7,7.749,1.1903550922870636,19.28157615661621,0.0,3.3548677169648045e-09,1.0,0.73529052734375,5.2951848771837025,0,5.0000005722045575,1.999999880790707,0.00016034,0.000513632083311677,0.006332423537969589,0.16415883600711823,0.16956135630607605,0.16222333908081055,0.16333618760108948,0.16151444613933563,-447.32500000000005,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
16,127.1,8.371,0.9568856507539749,16.790390253067017,0.0,4.424444699502317e-09,1.0,0.68939208984375,5.2951848771837025,0,5.00000019073486,2.000000119209286,0.00017033,0.0009733416954986751,0.007222582586109638,0.16405326128005981,0.16984571516513824,0.16186897456645966,0.16324776411056519,0.16125057637691498,-393.1625,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
17,135.1,7.952,1.6011514961719513,20.126155376434326,0.0,5.81689640899441e-09,1.0,0.73394775390625,5.2951848771837025,0,5.00000019073486,2.0,0.00018032,0.0013915991876274347,0.008309118449687958,0.1642487347126007,0.17046485841274261,0.1617489755153656,0.16357684135437012,0.1612042635679245,-333.4625,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
18,142.9,7.842,1.3882735073566437,17.45072317123413,0.0,7.677612767764685e-09,1.0,0.73431396484375,5.2951848771837025,0,5.00000019073486,2.0,0.00019031,0.0019377110293135047,0.00950118713080883,0.16419664025306702,0.1710829883813858,0.16160491108894348,0.1629786491394043,0.1611199975013733,-367.6625,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
19,151.4,8.485,1.1954950839281082,17.996466875076294,0.0,9.938303069390031e-09,1.0,0.724609375,5.2951848771837025,0,5.0,2.0,0.00020030000000000002,0.0025302539579570293,0.01070395763963461,0.1639580875635147,0.1721789836883545,0.16066087782382965,0.16205498576164246,0.16093750298023224,-307.9625,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
20,159.2,7.842,1.1921658515930176,19.915077924728394,0.0,1.241344804725486e-08,1.0,0.73431396484375,5.2951848771837025,0,5.000000381469712,2.0,0.00021029,0.0028252892661839724,0.011860398575663567,0.16368111968040466,0.17334473133087158,0.15918490290641785,0.16116775572299957,0.16102710366249084,-295.9375,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
21,167.2,8.014,0.7213719338178635,23.212416410446167,0.0,1.5153975185810964e-08,1.0,0.72430419921875,5.2951848771837025,0,5.0000005722045575,2.000000119209286,0.00022027999999999997,0.0031880405731499195,0.013042149133980274,0.16344429552555084,0.17422430217266083,0.15797336399555206,0.16035231947898865,0.16122718155384064,-372.1,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
22,174.9,7.626,1.4349871277809143,22.390059232711792,0.0,1.8407951163368352e-08,1.0,0.73077392578125,5.2951848771837025,0,5.00000019073486,1.9999997615814067,0.00023026999999999998,0.0034223401453346014,0.01446580234915018,0.16301444172859192,0.17405332624912262,0.15722151100635529,0.1596367359161377,0.16114622354507446,-343.9375,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
23,182.8,7.887,1.3888985216617584,13.378634810447693,0.0,2.2903056340339845e-08,1.0,0.728515625,5.2951848771837025,0,5.00000019073486,1.999999880790707,0.00024025999999999998,0.0036017345264554024,0.016245350241661072,0.16245122253894806,0.17408069968223572,0.156424880027771,0.1589946299791336,0.16030468046665192,-328.32500000000005,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
24,190.4,7.67,1.207358330488205,17.697861552238464,0.0,2.8834449050663125e-08,1.0,0.73480224609375,5.2951848771837025,0,5.0,2.000000119209286,0.00025025,0.0038943272083997726,0.018212206661701202,0.16190648078918457,0.17449070513248444,0.15544186532497406,0.15832005441188812,0.15937329828739166,-422.7875,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
25,197.4,6.995,1.7827943414449692,15.124946355819702,0.0,3.6091137189941946e-08,1.0,0.77264404296875,5.2951848771837025,0,4.999999618530259,1.999999880790707,0.00026023999999999996,0.004115717951208353,0.020216019824147224,0.16136343777179718,0.17460662126541138,0.1540953814983368,0.15866784751415253,0.15808391571044922,-403.2,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
26,205.1,7.654,0.8467432111501694,16.686573266983032,0.0,4.411454757047295e-08,1.0,0.7230224609375,5.2951848771837025,0,4.999999618530259,2.0,0.00027022999999999994,0.00430872431024909,0.02223137952387333,0.1607828587293625,0.17340177297592163,0.15306000411510468,0.15900549292564392,0.15766416490077972,-387.63750000000005,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
27,212.8,7.728,0.9448447376489639,13.617205619812012,0.0,5.282626958091896e-08,1.0,0.73486328125,5.2951848771837025,0,4.999999809265133,2.0,0.0002802199999999999,0.004654007498174906,0.02424432337284088,0.16045258939266205,0.17236237227916718,0.15381790697574615,0.15883506834506989,0.15679502487182617,-407.0375,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
28,221.0,8.177,1.1578148156404495,27.04094648361206,0.0,6.23197244919993e-08,1.0,0.70245361328125,5.2951848771837025,0,5.000000381469712,1.999999880790707,0.00029020999999999995,0.005355737172067165,0.02619851566851139,0.16013884544372559,0.17244917154312134,0.15404292941093445,0.15853044390678406,0.1555328220129013,-449.0875,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
29,228.9,7.951,1.140375867486,16.50604820251465,0.0,7.150934600019809e-08,1.0,0.72625732421875,5.2951848771837025,0,5.00000019073486,1.999999880790707,0.0003001999999999999,0.006004780996590853,0.02760583534836769,0.15987788140773773,0.17304135859012604,0.15343190729618073,0.15806791186332703,0.15497036278247833,-389.67499999999995,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
30,236.1,7.187,2.5145037174224854,15.812530994415283,0.0,7.97567114574349e-08,1.0,0.76593017578125,5.2951848771837025,0,4.999999809265133,2.0,0.0003101899999999999,0.006651170086115599,0.029268775135278702,0.15945550799369812,0.1732369363307953,0.1526360958814621,0.15770763158798218,0.15424136817455292,-421.05,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
31,244.0,7.884,1.524111956357956,11.967851758003235,0.0,8.912024007656782e-08,1.0,0.7301025390625,5.2951848771837025,0,5.00000019073486,2.000000119209286,0.0003201799999999999,0.007320311851799488,0.030899018049240112,0.1590697020292282,0.1734694242477417,0.151230588555336,0.15718325972557068,0.15439555048942566,-219.46250000000003,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
32,251.4,7.433,1.633528232574463,12.86841505765915,0.0,9.97375462219452e-08,1.0,0.75653076171875,5.2951848771837025,0,4.999999809265133,1.9999997615814067,0.0003301699999999999,0.007581651210784912,0.03266006335616112,0.1585458517074585,0.17309913039207458,0.14995110034942627,0.15630784630775452,0.15482531487941742,-167.4,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
33,259.4,7.999,1.2741997689008713,14.92142629623413,0.0,1.1171737135384774e-07,1.0,0.7501220703125,5.2951848771837025,0,4.999999809265133,1.9999999403953543,0.0003401599999999999,0.007632424123585224,0.03464403375983238,0.15756800770759583,0.17207899689674377,0.14808402955532074,0.15592436492443085,0.15418460965156555,-231.7375,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
34,267.0,7.558,1.1092386990785599,16.383692026138306,0.0,1.2492833789679025e-07,1.0,0.757568359375,5.2951848771837025,0,5.000000381469712,2.0,0.0003501499999999999,0.00785738043487072,0.03645225241780281,0.15658852458000183,0.17091821134090424,0.1467837691307068,0.15516526997089386,0.15348686277866364,-240.2,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
35,275.1,8.111,1.083051711320877,12.979159355163574,0.0,1.3782948826701613e-07,1.0,0.72332763671875,5.2951848771837025,0,4.999999427795378,1.9999998211860577,0.0003601399999999999,0.007822999730706215,0.038173507899045944,0.15545064210891724,0.17046120762825012,0.1458192616701126,0.15283744037151337,0.15268461406230927,-202.3375,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
36,282.9,7.807,1.3346949368715286,18.30614471435547,0.0,1.5137863229597315e-07,1.0,0.74468994140625,5.2951848771837025,0,4.999999618530259,2.0,0.00037012999999999993,0.007935922592878342,0.03997347131371498,0.15430814027786255,0.16966570913791656,0.14463086426258087,0.1510542333126068,0.15188175439834595,-301.475,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
37,290.6,7.645,1.9338483661413193,17.93059754371643,0.0,1.6355938470269393e-07,1.0,0.75628662109375,5.2951848771837025,0,4.999999427795378,2.0,0.00038011999999999996,0.007325135171413422,0.04131702333688736,0.15308459103107452,0.16728147864341736,0.14299540221691132,0.1503293812274933,0.15173213183879852,-268.98749999999995,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
38,297.7,7.1,1.6940893232822418,16.34256100654602,0.0,1.767850825729056e-07,1.0,0.789794921875,5.2951848771837025,0,4.999999809265133,1.9999999403953543,0.00039010999999999994,0.006277880631387234,0.04327362775802612,0.15126393735408783,0.16453321278095245,0.14098267257213593,0.1486300826072693,0.15090976655483246,-300.1,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
39,305.3,7.644,0.8199375122785568,15.626976490020752,0.0,1.9346289192867516e-07,1.0,0.7530517578125,5.2951848771837025,0,5.0,1.999999880790707,0.0004000999999999999,0.005251728929579258,0.04517338052392006,0.14932957291603088,0.16242335736751556,0.13806413114070892,0.14689406752586365,0.1499367356300354,-307.175,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
40,313.0,7.679,1.4391771256923676,13.46465802192688,0.0,2.1056187193835285e-07,1.0,0.74432373046875,5.2951848771837025,0,5.00000019073486,1.9999999403953543,0.0004100899999999999,0.005149737000465393,0.047055840492248535,0.14803794026374817,0.16172508895397186,0.13590353727340698,0.14630308747291565,0.1482200175523758,-262.5625,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
41,320.2,7.257,2.525399088859558,13.843312740325928,0.0,2.2790199949440648e-07,1.0,0.78662109375,5.2951848771837025,0,5.000000381469712,2.000000119209286,0.00042007999999999987,0.005342666059732437,0.04873696714639664,0.14595893025398254,0.15963372588157654,0.13267238438129425,0.1451362520456314,0.1463933289051056,-287.95,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
42,328.0,7.752,1.2414650917053223,14.32952070236206,0.0,2.4343860616227175e-07,1.0,0.739501953125,5.2951848771837025,0,4.999999809265133,2.0,0.00043006999999999984,0.004949972964823246,0.05028208717703819,0.1434834599494934,0.1570407748222351,0.12957997620105743,0.14385974407196045,0.14345335960388184,-255.55,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
43,335.8,7.829,1.307966098189354,10.574113965034485,0.0,2.600285213816278e-07,1.0,0.74505615234375,5.2951848771837025,0,5.0,2.000000119209286,0.0004400599999999998,0.004575635772198439,0.052199073135852814,0.1413489431142807,0.15546107292175293,0.12729579210281372,0.14256635308265686,0.14007256925106049,-251.0,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
44,343.9,8.04,1.0242194384336472,18.98578405380249,0.0,2.7991826101469997e-07,1.0,0.73760986328125,5.2951848771837025,0,5.0,1.9999999403953543,0.00045004999999999985,0.003913473337888718,0.054029617458581924,0.13961398601531982,0.15346814692020416,0.12628309428691864,0.14119631052017212,0.13750842213630676,-365.425,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
45,351.7,7.823,1.720439225435257,19.108342170715332,0.0,2.9884382968248246e-07,1.0,0.76239013671875,5.2951848771837025,0,5.00000019073486,2.0,0.00046003999999999983,0.0034274104982614517,0.05590406060218811,0.13827447593212128,0.1516140103340149,0.12566204369068146,0.13951323926448822,0.13630861043930054,-378.4875,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
46,359.2,7.479,1.984591782093048,9.275365054607391,0.0,3.2191214671684065e-07,1.0,0.77880859375,5.2951848771837025,0,4.999999809265133,2.0,0.0004700299999999998,0.0030011008493602276,0.05811653286218643,0.13720166683197021,0.15045683085918427,0.12483303993940353,0.13842925429344177,0.13508754968643188,-353.6875,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
47,367.3,8.181,0.5286508202552795,27.768374919891357,0.0,3.4939248649834553e-07,1.0,0.7308349609375,5.2951848771837025,0,4.999999618530259,1.9999999403953543,0.0004800199999999998,0.0027866200543940067,0.06085488945245743,0.13624265789985657,0.1499890685081482,0.1240137591958046,0.13623850047588348,0.1347293257713318,-425.41249999999997,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
48,375.6,8.213,1.1334124505519867,15.575340032577515,0.0,3.8020621673240385e-07,1.0,0.7554931640625,5.2951848771837025,0,4.999999618530259,1.9999998211860577,0.0004900099999999998,0.0022431802935898304,0.06270241737365723,0.1356460452079773,0.14923647046089172,0.12275483459234238,0.13488903641700745,0.13570380210876465,-419.48749999999995,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
49,383.9,8.32,1.557956650853157,11.606180906295776,0.0,4.0061505757194027e-07,1.0,0.768310546875,5.2951848771837025,0,5.00000019073486,1.999999880790707,0.0005,0.0023604531306773424,0.06446109712123871,0.13511691987514496,0.14849743247032166,0.12076523154973984,0.1347702294588089,0.13643477857112885,-275.775,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
50,392.3,8.443,0.6973334550857544,19.01334238052368,0.0,4.242321907099722e-07,1.0,0.73602294921875,5.2951848771837025,0,5.00000019073486,2.0,0.0004999986332934228,0.002333821030333638,0.06636607646942139,0.13470955193042755,0.1476934254169464,0.11964746564626694,0.1345788836479187,0.13691844046115875,-450.2875,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
51,400.5,8.173,1.6180909276008606,11.42109727859497,0.0,4.520948095887434e-07,1.0,0.76318359375,5.2951848771837025,0,5.000000381469712,1.9999997615814067,0.0004999945331886371,0.00210188259370625,0.06894171983003616,0.13419519364833832,0.1484103798866272,0.11895690858364105,0.13345377147197723,0.1359596699476242,-349.70000000000005,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
52,409.2,8.661,1.3884291350841522,21.99290108680725,0.0,4.880201913692872e-07,1.0,0.77618408203125,5.2951848771837025,0,5.0,2.0,0.0004999876997304812,0.002234051004052162,0.07150595635175705,0.13372528553009033,0.14868924021720886,0.11834350228309631,0.13196469843387604,0.13590368628501892,-400.3,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
53,417.2,8.034,0.7713065519928932,22.118079662322998,0.0,5.27241439840509e-07,1.0,0.77874755859375,5.2951848771837025,0,5.000000381469712,1.9999999403953543,0.0004999781329936845,0.0018675511237233877,0.07448048144578934,0.13339488208293915,0.14921073615550995,0.11784783750772476,0.13251732289791107,0.1340036541223526,-453.0625,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
54,425.1,7.904,0.5120992809534073,23.49384641647339,0.0,5.729506398211015e-07,1.0,0.75360107421875,5.2951848771837025,0,5.000000762939395,1.999999880790707,0.0004999658330828676,0.001984050264582038,0.07789455354213715,0.13272005319595337,0.14995738863945007,0.11651875078678131,0.1320306807756424,0.1323733627796173,-477.47499999999997,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
55,432.3,7.217,0.8391079008579254,20.18985342979431,0.0,6.266862726533873e-07,1.0,0.7938232421875,5.2951848771837025,0,5.00000019073486,1.9999999403953543,0.0004999508001325401,0.0022251105401664972,0.08097199350595474,0.131792813539505,0.1500142365694046,0.11458300799131393,0.1313314586877823,0.13124258816242218,-245.35000000000002,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
56,439.8,7.484,2.218735456466675,20.161892890930176,0.0,6.70911646238892e-07,1.0,0.79119873046875,5.2951848771837025,0,5.00000019073486,2.0,0.0004999330343071,0.0029909578152000904,0.08362358063459396,0.130827397108078,0.14946287870407104,0.11297920346260071,0.13078787922859192,0.13007965683937073,-441.59999999999997,5.022269248962402,5.311029434204102,5.1728596687316895,5.970280170440674,7.064372539520264,4.893686771392822,5.252888202667236,3.8208413124084473,5.148436546325684
