epoch,train_nll,train_jac,train_total,val_nll,val_total,curve_rmse_bp,kappa,hl_y,sigma_mean,jac_1y,jac_5y,jac_10y,lr_kh,lr_g,time_sec
0,-9.745534173608238,1.4685099214967273e-06,-9.745460748112166,-7.135220910206427,-7.135220910206427,74.41259845371603,0.16771586039283315,9.20748976444682,0.022008340284658538,47.56462813345269,45.213542829032306,38.36868849407697,9.999728588359285e-05,9.999753262144805e-06,2.5707231999840587
1,-9.746407636113123,1.406732737482086e-06,-9.746337299476249,-7.132728011974664,-7.132728011974664,74.41052800224558,0.16773338671619242,9.205951098241009,0.02199222802533929,47.52617501645875,45.17028285102192,38.402731435366626,9.998914383200485e-05,9.999013075636806e-06,5.097490499989362
2,-9.74721854529619,1.265824786544705e-06,-9.747155254056866,-7.130067939135855,-7.130067939135855,74.40373569351999,0.1677379208870151,9.20643517327882,0.02197580849008203,47.48746359938156,45.11056231105415,38.6220450266713,9.997557473810371e-05,9.997779521645793e-06,7.663403799990192
3,-9.748036553784468,1.7866869751493788e-06,-9.74794721943571,-7.127302510055871,-7.127302510055871,74.40059908729808,0.16774469617057713,9.209797796222833,0.021959279986929075,47.450146825180475,45.07147912087087,38.62921244802292,9.995658008989348e-05,9.996052735444863e-06,10.152127899986226
4,-9.748880837909311,1.15066514153772e-06,-9.748823304652236,-7.124619430176266,-7.124619430176266,74.39726906068641,0.1677483883333084,9.215775204098835,0.021942952813757178,47.413336622627924,45.01571986420378,38.811971026886376,9.993216197035139e-05,9.993832906395583e-06,12.885246799996821
5,-9.749702882344288,1.2732187556955118e-06,-9.749639221406506,-7.121885362118572,-7.121885362118572,74.39489958717365,0.16775931376751424,9.219240311306187,0.02192656843333854,47.37646459537859,44.95425577610455,39.05651655501417,9.990232305719943e-05,9.991120277927222e-06,15.4940466999833
6,-9.750510815808767,1.4829068678034421e-06,-9.750436670465374,-7.119085953474886,-7.119085953474886,74.3919349510425,0.16776890335924943,9.223914284621733,0.021910197958156043,47.34039384043524,44.89034734743703,39.346189778458864,9.986706662261065e-05,9.98791514751006e-06,18.04335490000085
7,-9.751344217539804,1.5727598686608897e-06,-9.75126557954637,-7.116559394882431,-7.116559394882431,74.38876886291114,0.16777241773924914,9.231793369170976,0.0218943094115425,47.30454469532471,44.833393404335595,39.57258418327308,9.982639653285045e-05,9.98421786662277e-06,20.57549739998649
8,-9.752156655065429,1.0912207008489974e-06,-9.752102094030386,-7.11430241988557,-7.11430241988557,74.38875379159352,0.16776011608300073,9.250846463514163,0.021878818485882544,47.26713858557523,44.77999151369416,39.70910919910758,9.978031724785244e-05,9.980028840713859e-06,23.129317599989008
9,-9.752961523042924,1.686609190928476e-06,-9.752877192583377,-7.111864356248741,-7.111864356248741,74.38535882508965,0.16775751498743002,9.263218502332109,0.021863060039209348,47.23117528221165,44.71592355056864,40.02205460848517,9.972883382072951e-05,9.975348529157229e-06,25.679332300001988
