Currency,RMSE_bps
JPY,26.031644821166992
GBP,30.890544891357422
DKK,39.243927001953125
NOK,39.51644515991211
EUR,42.44685745239258
AUD,43.496795654296875
CAD,44.90473937988281
SEK,45.73013687133789
USD,53.17159652709961
Average,40.6036319732666
