Currency,RMSE_bps
CAD,11.127706527709961
NOK,11.996504783630371
AUD,12.431857109069824
GBP,12.522502899169922
SEK,12.78812026977539
DKK,13.249778747558594
JPY,13.493278503417969
USD,14.077014923095703
EUR,20.13675308227539
Average,13.535946316189236
