,RMSE (bps)
GBP,12.625856399536133
CAD,13.448607444763184
NOK,13.4752197265625
AUD,14.016042709350586
DKK,14.598864555358887
SEK,14.696935653686523
JPY,14.918854713439941
USD,15.442557334899902
EUR,22.177288055419922
Average,15.044469621446398
