Currency,RMSE_bps
JPY,24.2764892578125
GBP,28.816146850585938
NOK,36.53497314453125
AUD,37.182769775390625
DKK,37.296119689941406
CAD,37.40687942504883
EUR,41.663780212402344
SEK,46.188148498535156
USD,51.7739372253418
Average,37.90436045328776
