,RMSE (bps)
GBP,11.33572006225586
NOK,13.505680084228516
CAD,13.547579765319824
AUD,15.581137657165527
DKK,16.194122314453125
USD,16.784318923950195
JPY,16.96489715576172
SEK,19.98873519897461
EUR,23.236574172973633
Average,16.34875170389811
