date,expiry,tenor,split,s_roll
2012-06-29,10,10,train,0.14896
2012-07-31,1,1,train,0.10731
2012-07-31,1,5,train,0.08678
2012-07-31,1,10,train,0.07838
2012-07-31,5,1,train,0.08555
2012-07-31,5,5,train,0.09167
2012-07-31,5,10,train,0.10389
2012-07-31,10,1,train,0.09332
2012-07-31,10,5,train,0.11615
2012-07-31,10,10,train,0.15553
2012-08-31,1,1,train,0.11325
2012-08-31,1,5,train,0.0882
2012-08-31,1,10,train,0.07929
2012-08-31,5,1,train,0.08605
2012-08-31,5,5,train,0.09268
2012-08-31,5,10,train,0.10502
2012-08-31,10,1,train,0.09339
2012-08-31,10,5,train,0.11681
2012-08-31,10,10,train,0.15702
2012-09-28,1,1,train,0.12007
2012-09-28,1,5,train,0.08953
2012-09-28,1,10,train,0.07976
2012-09-28,5,1,train,0.08737
2012-09-28,5,5,train,0.09356
2012-09-28,5,10,train,0.10647
2012-09-28,10,1,train,0.09452
2012-09-28,10,5,train,0.11871
2012-09-28,10,10,train,0.15881
2012-10-31,1,1,train,0.12473
2012-10-31,1,5,train,0.09
2012-10-31,1,10,train,0.07907
2012-10-31,5,1,train,0.08781
2012-10-31,5,5,train,0.09394
2012-10-31,5,10,train,0.10677
2012-10-31,10,1,train,0.09381
2012-10-31,10,5,train,0.11829
2012-10-31,10,10,train,0.15782
2012-11-30,1,1,train,0.12651
2012-11-30,1,5,train,0.0896
2012-11-30,1,10,train,0.07828
2012-11-30,5,1,train,0.08762
2012-11-30,5,5,train,0.09387
2012-11-30,5,10,train,0.10694
2012-11-30,10,1,train,0.09323
2012-11-30,10,5,train,0.11753
2012-11-30,10,10,train,0.1575
2012-12-31,1,1,train,0.13419
2012-12-31,1,5,train,0.08928
2012-12-31,1,10,train,0.07722
2012-12-31,5,1,train,0.08898
2012-12-31,5,5,train,0.09332
2012-12-31,5,10,train,0.10774
2012-12-31,10,1,train,0.0925
2012-12-31,10,5,train,0.11648
2012-12-31,10,10,train,0.15699
2013-01-31,1,1,train,0.13842
2013-01-31,1,5,train,0.08974
2013-01-31,1,10,train,0.07677
2013-01-31,5,1,train,0.08967
2013-01-31,5,5,train,0.09312
2013-01-31,5,10,train,0.10651
2013-01-31,10,1,train,0.09177
2013-01-31,10,5,train,0.11557
2013-01-31,10,10,train,0.15455
2013-02-28,1,1,train,0.13739
2013-02-28,1,5,train,0.09008
2013-02-28,1,10,train,0.07567
2013-02-28,5,1,train,0.08945
2013-02-28,5,5,train,0.09285
2013-02-28,5,10,train,0.10566
2013-02-28,10,1,train,0.0907
2013-02-28,10,5,train,0.11418
2013-02-28,10,10,train,0.15326
2013-03-29,1,1,train,0.14285
2013-03-29,1,5,train,0.09116
2013-03-29,1,10,train,0.07562
2013-03-29,5,1,train,0.08963
2013-03-29,5,5,train,0.09235
2013-03-29,5,10,train,0.10478
2013-03-29,10,1,train,0.08983
2013-03-29,10,5,train,0.11305
2013-03-29,10,10,train,0.15133
2013-04-30,1,1,train,0.14601
2013-04-30,1,5,train,0.09179
2013-04-30,1,10,train,0.07564
2013-04-30,5,1,train,0.09093
2013-04-30,5,5,train,0.09247
2013-04-30,5,10,train,0.10466
2013-04-30,10,1,train,0.08975
2013-04-30,10,5,train,0.11264
2013-04-30,10,10,train,0.15052
2013-05-31,1,1,train,0.14918
2013-05-31,1,5,train,0.09275
2013-05-31,1,10,train,0.07553
2013-05-31,5,1,train,0.09267
2013-05-31,5,5,train,0.09287
2013-05-31,5,10,train,0.10461
2013-05-31,10,1,train,0.08954
2013-05-31,10,5,train,0.11211
2013-05-31,10,10,train,0.14977
2013-06-28,1,1,train,0.14985
2013-06-28,1,5,train,0.09196
2013-06-28,1,10,train,0.07368
2013-06-28,5,1,train,0.09082
2013-06-28,5,5,train,0.09014
2013-06-28,5,10,train,0.10168
2013-06-28,10,1,train,0.08601
2013-06-28,10,5,train,0.10801
2013-06-28,10,10,train,0.14346
2013-07-31,1,1,train,0.15084
2013-07-31,1,5,train,0.09277
2013-07-31,1,10,train,0.0733
2013-07-31,5,1,train,0.09013
2013-07-31,5,5,train,0.08971
2013-07-31,5,10,train,0.10009
2013-07-31,10,1,train,0.08518
2013-07-31,10,5,train,0.10683
2013-07-31,10,10,train,0.14043
2013-08-30,1,1,train,0.1465
2013-08-30,1,5,train,0.09154
2013-08-30,1,10,train,0.07133
2013-08-30,5,1,train,0.08971
2013-08-30,5,5,train,0.08827
2013-08-30,5,10,train,0.09857
2013-08-30,10,1,train,0.08432
2013-08-30,10,5,train,0.10523
2013-08-30,10,10,train,0.1374
2013-09-30,1,1,train,0.14016
2013-09-30,1,5,train,0.09077
2013-09-30,1,10,train,0.06966
2013-09-30,5,1,train,0.08885
2013-09-30,5,5,train,0.0872
2013-09-30,5,10,train,0.09662
2013-09-30,10,1,train,0.08331
2013-09-30,10,5,train,0.10354
2013-09-30,10,10,train,0.13503
2013-10-31,1,1,train,0.13958
2013-10-31,1,5,train,0.09044
2013-10-31,1,10,train,0.06989
2013-10-31,5,1,train,0.08854
2013-10-31,5,5,train,0.08708
2013-10-31,5,10,train,0.09655
2013-10-31,10,1,train,0.08351
2013-10-31,10,5,train,0.10367
2013-10-31,10,10,train,0.1351
2013-11-29,1,1,train,0.13819
2013-11-29,1,5,train,0.09038
2013-11-29,1,10,train,0.06941
2013-11-29,5,1,train,0.089
2013-11-29,5,5,train,0.08687
2013-11-29,5,10,train,0.09549
2013-11-29,10,1,train,0.08312
2013-11-29,10,5,train,0.10336
2013-11-29,10,10,train,0.13461
2013-12-31,1,1,train,0.13573
2013-12-31,1,5,train,0.09047
2013-12-31,1,10,train,0.06885
2013-12-31,5,1,train,0.08861
2013-12-31,5,5,train,0.08686
2013-12-31,5,10,train,0.09481
2013-12-31,10,1,train,0.08316
2013-12-31,10,5,train,0.10286
2013-12-31,10,10,train,0.13402
2014-01-31,1,1,train,0.13025
2014-01-31,1,5,train,0.08959
2014-01-31,1,10,train,0.06817
2014-01-31,5,1,train,0.08739
2014-01-31,5,5,train,0.08655
2014-01-31,5,10,train,0.09459
2014-01-31,10,1,train,0.08298
2014-01-31,10,5,train,0.103
2014-01-31,10,10,train,0.13427
2014-02-28,1,1,train,0.13447
2014-02-28,1,5,train,0.08991
2014-02-28,1,10,train,0.06826
2014-02-28,5,1,train,0.08778
2014-02-28,5,5,train,0.08654
2014-02-28,5,10,train,0.09466
2014-02-28,10,1,train,0.08326
2014-02-28,10,5,train,0.10323
2014-02-28,10,10,train,0.13419
2014-03-31,1,1,train,0.1318
2014-03-31,1,5,train,0.08859
2014-03-31,1,10,train,0.06753
2014-03-31,5,1,train,0.0871
2014-03-31,5,5,train,0.0866
2014-03-31,5,10,train,0.09405
2014-03-31,10,1,train,0.08296
2014-03-31,10,5,train,0.10369
2014-03-31,10,10,train,0.1345
2014-04-30,1,1,train,0.13097
2014-04-30,1,5,train,0.0883
2014-04-30,1,10,train,0.06732
2014-04-30,5,1,train,0.08754
2014-04-30,5,5,train,0.08665
2014-04-30,5,10,train,0.09386
2014-04-30,10,1,train,0.08331
2014-04-30,10,5,train,0.10346
2014-04-30,10,10,train,0.134
2014-05-30,1,1,train,0.13001
2014-05-30,1,5,train,0.08758
2014-05-30,1,10,train,0.06644
2014-05-30,5,1,train,0.08687
2014-05-30,5,5,train,0.08612
2014-05-30,5,10,train,0.0936
2014-05-30,10,1,train,0.08327
2014-05-30,10,5,train,0.10338
2014-05-30,10,10,train,0.13317
2014-06-30,1,1,train,0.13047
2014-06-30,1,5,train,0.08619
2014-06-30,1,10,train,0.06484
2014-06-30,5,1,train,0.08788
2014-06-30,5,5,train,0.08577
2014-06-30,5,10,train,0.09318
2014-06-30,10,1,train,0.08357
2014-06-30,10,5,train,0.10327
