,IS mean (bps),IS std (bps),OOS mean (bps),OOS std (bps)
AUD,557.0216212272644,1375.5406612247918,610.9660573439164,1432.3291639686654
Average,247.05721714462896,635.2860623630484,470.2453771641278,1120.6751694987638
CAD,6.810511430104573,0.8920095087301835,503.60328884124755,1011.4443317409945
DKK,8.775312582651773,1.6686822150334697,714.4564429283142,2155.2241776043925
EUR,12.46390830145942,2.592978656451984,27.482270134819878,10.212964605535333
GBP,8.618747234344482,1.788201451308278,13.68529584672716,2.731817259268757
JPY,11.439277754889595,2.070299927389399,9.103209813435873,1.3361343794071134
NOK,585.0011296705766,1403.6450041215483,748.2263699531555,1721.6473726121262
SEK,641.3818508148194,1998.4673115173382,810.2792145729065,2330.7621624084104
USD,9.375885327657064,0.9885505661753045,536.6004940986634,974.9403972831145
