date,expiry,tenor,split,sigma_mkt,sigma_drift
2012-02-29,10,5,train,23.0,0.0
2012-02-29,10,10,train,24.7,0.0
2012-03-30,1,1,train,57.2,118.5
2012-03-30,1,5,train,38.3,0.0
2012-03-30,1,10,train,32.5,0.0
2012-03-30,5,1,train,33.8,0.2
2012-03-30,5,5,train,27.5,0.0
2012-03-30,5,10,train,25.7,0.0
2012-03-30,10,1,train,23.5,0.0
2012-03-30,10,5,train,22.5,0.0
2012-03-30,10,10,train,24.3,0.0
2012-04-30,1,1,train,67.8,68.8
2012-04-30,1,5,train,40.4,0.0
2012-04-30,1,10,train,32.3,0.0
2012-04-30,5,1,train,34.9,0.0
2012-04-30,5,5,train,28.4,0.0
2012-04-30,5,10,train,26.6,0.0
2012-04-30,10,1,train,24.2,0.0
2012-04-30,10,5,train,23.1,0.0
2012-04-30,10,10,train,25.1,0.0
2012-05-31,1,1,train,84.4,2.2
2012-05-31,1,5,train,54.2,0.0
2012-05-31,1,10,train,47.4,0.0
2012-05-31,5,1,train,50.0,0.0
2012-05-31,5,5,train,40.2,0.0
2012-05-31,5,10,train,37.9,0.0
2012-05-31,10,1,train,35.1,0.0
2012-05-31,10,5,train,33.6,0.0
2012-05-31,10,10,train,37.1,0.0
2012-06-29,1,1,train,74.7,20.1
2012-06-29,1,5,train,45.2,0.0
2012-06-29,1,10,train,40.8,0.0
2012-06-29,5,1,train,37.7,0.0
2012-06-29,5,5,train,31.5,0.0
2012-06-29,5,10,train,30.5,0.0
2012-06-29,10,1,train,25.3,0.0
2012-06-29,10,5,train,25.6,0.0
2012-06-29,10,10,train,28.8,0.0
2012-07-31,1,1,train,116.8,1.1
2012-07-31,1,5,train,55.5,0.0
2012-07-31,1,10,train,45.1,0.0
2012-07-31,5,1,train,40.6,0.0
2012-07-31,5,5,train,34.5,0.0
2012-07-31,5,10,train,32.8,0.0
2012-07-31,10,1,train,26.8,0.0
2012-07-31,10,5,train,27.1,0.0
2012-07-31,10,10,train,30.5,0.0
2012-08-31,1,1,train,128.7,0.5
2012-08-31,1,5,train,56.3,0.0
2012-08-31,1,10,train,43.6,0.0
2012-08-31,5,1,train,43.6,0.0
2012-08-31,5,5,train,33.7,0.0
2012-08-31,5,10,train,31.3,0.0
2012-08-31,10,1,train,27.0,0.0
2012-08-31,10,5,train,26.1,0.0
2012-08-31,10,10,train,28.7,0.0
2012-09-28,1,1,train,117.0,0.2
2012-09-28,1,5,train,51.4,0.0
2012-09-28,1,10,train,39.0,0.0
2012-09-28,5,1,train,40.7,0.0
